Date,LAND.L
2015-08-24,1292.05029296875
2015-08-25,1337.7021484375
2015-08-26,1303.72900390625
2015-08-27,1338.7637939453125
2015-08-28,1329.2086181640625
2015-09-01,1299.4820556640625
2015-09-02,1323.90087890625
2015-09-03,1323.90087890625
2015-09-04,1296.2969970703125
2015-09-07,1298.4205322265625
2015-09-08,1312.2218017578125
2015-09-09,1324.9620361328125
2015-09-10,1319.7401123046875
2015-09-11,1295.3199462890625
2015-09-14,1285.7647705078125
2015-09-15,1279.3939208984375
2015-09-16,1295.3199462890625
2015-09-17,1303.8140869140625
2015-09-18,1313.3695068359375
2015-09-21,1313.3695068359375
2015-09-22,1295.3199462890625
2015-09-23,1323.9874267578125
2015-09-24,1330.357666015625
2015-09-25,1359.024658203125
2015-09-28,1331.419189453125
2015-09-29,1310.184326171875
2015-09-30,1336.7281494140625
2015-10-01,1329.29541015625
2015-10-02,1345.22216796875
2015-10-05,1386.6295166015625
2015-10-06,1372.8272705078125
2015-10-07,1339.9132080078125
2015-10-08,1362.209228515625
2015-10-09,1361.147705078125
2015-10-12,1359.024658203125
2015-10-13,1369.6419677734375
2015-10-14,1367.518310546875
2015-10-15,1377.0740966796875
2015-10-16,1376.011962890625
2015-10-19,1391.9383544921875
2015-10-20,1396.1849365234375
2015-10-21,1397.2469482421875
2015-10-22,1418.4815673828125
2015-10-23,1421.6671142578125
2015-10-26,1417.42041015625
2015-10-27,1416.358154296875
2015-10-28,1435.46923828125
2015-10-29,1424.852294921875
2015-10-30,1421.6671142578125
2015-11-02,1419.543212890625
2015-11-03,1404.6790771484375
2015-11-04,1380.259033203125
2015-11-05,1404.6790771484375
2015-11-06,1388.7530517578125
2015-11-09,1356.9010009765625
2015-11-10,1319.7401123046875
2015-11-11,1317.6162109375
2015-11-12,1296.3817138671875
2015-11-13,1295.3199462890625
2015-11-16,1305.937744140625
2015-11-17,1322.9254150390625
2015-11-18,1315.4931640625
2015-11-19,1327.1719970703125
2015-11-20,1325.048583984375
2015-11-23,1299.56689453125
2015-11-24,1287.8876953125
2015-11-25,1308.0611572265625
2015-11-26,1300.628662109375
2015-11-27,1309.1226806640625
2015-11-30,1306.9991455078125
2015-12-01,1317.6162109375
2015-12-02,1319.7401123046875
2015-12-03,1270.9837646484375
2015-12-04,1280.53955078125
2015-12-07,1293.281494140625
2015-12-08,1278.416259765625
2015-12-09,1272.0452880859375
2015-12-10,1259.3038330078125
2015-12-11,1228.5108642578125
2015-12-14,1210.4609375
2015-12-15,1231.6966552734375
2015-12-16,1260.36572265625
2015-12-17,1259.3038330078125
2015-12-18,1243.376220703125
2015-12-21,1232.7581787109375
2015-12-22,1234.8824462890625
2015-12-23,1255.056640625
2015-12-24,1259.3038330078125
2015-12-29,1276.2926025390625
2015-12-30,1261.42724609375
2015-12-31,1249.747314453125
2016-01-04,1238.0675048828125
2016-01-05,1259.3038330078125
2016-01-06,1237.005615234375
2016-01-07,1212.5841064453125
2016-01-08,1187.1007080078125
2016-01-11,1187.1007080078125
2016-01-12,1194.5335693359375
2016-01-13,1193.4715576171875
2016-01-14,1164.8023681640625
2016-01-15,1142.504638671875
2016-01-18,1134.01025390625
2016-01-19,1147.813720703125
2016-01-20,1125.515625
2016-01-21,1140.3812255859375
2016-01-22,1160.555419921875
2016-01-25,1161.61767578125
2016-01-26,1155.2462158203125
2016-01-27,1153.1231689453125
2016-01-28,1132.9486083984375
2016-01-29,1162.67919921875
2016-02-01,1173.2972412109375
2016-02-02,1153.1231689453125
2016-02-03,1137.196044921875
2016-02-04,1126.577880859375
2016-02-05,1131.8865966796875
2016-02-08,1081.9820556640625
2016-02-09,1066.0546875
2016-02-10,1085.167236328125
2016-02-11,1043.7567138671875
2016-02-12,1057.5601806640625
2016-02-15,1087.29052734375
2016-02-16,1079.858154296875
2016-02-17,1102.1563720703125
2016-02-18,1096.8470458984375
2016-02-19,1100.032470703125
2016-02-22,1075.6112060546875
2016-02-23,1052.7818603515625
2016-02-24,1026.7674560546875
2016-02-25,1058.0909423828125
2016-02-26,1068.17822265625
2016-02-29,1071.363525390625
2016-03-01,1103.2177734375
2016-03-02,1110.6505126953125
2016-03-03,1119.1451416015625
2016-03-04,1125.515625
2016-03-07,1105.341552734375
2016-03-08,1109.5889892578125
2016-03-09,1100.032470703125
2016-03-10,1087.376220703125
2016-03-11,1116.0469970703125
2016-03-14,1142.5946044921875
2016-03-15,1144.71826171875
2016-03-16,1135.161376953125
2016-03-17,1144.71826171875
2016-03-18,1162.7706298828125
2016-03-21,1165.9560546875
2016-03-22,1146.842529296875
2016-03-23,1145.780517578125
2016-03-24,1127.72802734375
2016-03-29,1146.842529296875
2016-03-30,1156.3988037109375
2016-03-31,1169.1419677734375
2016-04-01,1157.4613037109375
2016-04-04,1164.89404296875
2016-04-05,1169.1419677734375
2016-04-06,1186.1322021484375
2016-04-07,1177.6375732421875
2016-04-08,1190.379638671875
2016-04-11,1191.44189453125
2016-04-12,1190.379638671875
2016-04-13,1223.29833984375
2016-04-14,1202.0606689453125
2016-04-15,1178.6988525390625
2016-04-18,1164.89404296875
2016-04-19,1172.327392578125
2016-04-20,1182.9464111328125
2016-04-21,1176.5753173828125
2016-04-22,1140.4710693359375
2016-04-25,1162.7706298828125
2016-04-26,1195.6893310546875
2016-04-27,1214.80322265625
2016-04-28,1210.5557861328125
2016-04-29,1202.0606689453125
2016-05-03,1204.1842041015625
2016-05-04,1203.122314453125
2016-05-05,1212.6795654296875
2016-05-06,1230.7315673828125
2016-05-09,1249.8458251953125
2016-05-10,1251.9696044921875
2016-05-11,1222.23681640625
2016-05-12,1211.617919921875
2016-05-13,1215.86474609375
2016-05-16,1209.4937744140625
2016-05-17,1233.9169921875
2016-05-18,1225.4219970703125
2016-05-19,1214.80322265625
2016-05-20,1247.7218017578125
2016-05-23,1260.4647216796875
2016-05-24,1276.39306640625
2016-05-25,1253.0311279296875
2016-05-26,1262.5880126953125
2016-05-27,1261.5264892578125
2016-05-31,1238.1646728515625
2016-06-01,1215.86474609375
2016-06-02,1219.051025390625
2016-06-03,1234.9793701171875
2016-06-06,1234.9793701171875
2016-06-07,1234.9793701171875
2016-06-08,1237.1029052734375
2016-06-09,1237.1029052734375
2016-06-10,1211.617919921875
2016-06-13,1193.565673828125
2016-06-14,1170.2037353515625
2016-06-15,1177.6375732421875
2016-06-16,1159.5849609375
2016-06-17,1167.0181884765625
2016-06-20,1239.2265625
2016-06-21,1258.3409423828125
2016-06-22,1261.5264892578125
2016-06-23,1263.761962890625
2016-06-24,1067.295166015625
2016-06-27,966.4066162109375
2016-06-28,1050.3035888671875
2016-06-29,1085.348876953125
2016-06-30,1103.402587890625
2016-07-01,1103.402587890625
2016-07-04,1040.745849609375
2016-07-05,1002.5139770507812
2016-07-06,979.6815795898438
2016-07-07,1022.1605834960938
2016-07-08,1071.5428466796875
2016-07-11,1122.5184326171875
2016-07-12,1114.022705078125
2016-07-13,1102.3409423828125
2016-07-14,1110.8365478515625
2016-07-15,1109.774658203125
2016-07-18,1106.58837890625
2016-07-19,1140.572509765625
2016-07-20,1168.184326171875
2016-07-21,1154.3780517578125
2016-07-22,1158.6263427734375
2016-07-25,1170.3079833984375
2016-07-26,1160.749755859375
2016-07-27,1162.8740234375
2016-07-28,1156.501708984375
2016-07-29,1161.8118896484375
2016-08-01,1167.1221923828125
2016-08-02,1149.0679931640625
2016-08-03,1140.572509765625
2016-08-04,1161.8118896484375
2016-08-05,1168.184326171875
2016-08-08,1167.1221923828125
2016-08-09,1166.059814453125
2016-08-10,1170.3079833984375
2016-08-11,1154.3780517578125
2016-08-12,1174.555908203125
2016-08-15,1173.4940185546875
2016-08-16,1150.130126953125
2016-08-17,1142.696044921875
2016-08-18,1150.130126953125
2016-08-19,1151.1920166015625
2016-08-22,1160.749755859375
2016-08-23,1174.555908203125
2016-08-24,1183.0518798828125
2016-08-25,1162.8740234375
2016-08-26,1160.749755859375
2016-08-30,1157.5638427734375
2016-08-31,1161.8118896484375
2016-09-01,1176.6800537109375
2016-09-02,1166.059814453125
2016-09-05,1164.99755859375
2016-09-06,1152.2537841796875
2016-09-07,1152.2537841796875
2016-09-08,1147.0391845703125
2016-09-09,1123.6732177734375
2016-09-12,1103.49365234375
2016-09-13,1076.94189453125
2016-09-14,1081.1900634765625
2016-09-15,1075.8800048828125
2016-09-16,1069.5074462890625
2016-09-19,1085.4384765625
2016-09-20,1101.3695068359375
2016-09-21,1099.24560546875
2016-09-22,1124.735107421875
2016-09-23,1116.238525390625
2016-09-26,1110.92822265625
2016-09-27,1118.3629150390625
2016-09-28,1114.114501953125
2016-09-29,1109.8660888671875
2016-09-30,1123.6732177734375
2016-10-03,1123.6732177734375
2016-10-04,1119.4251708984375
2016-10-05,1085.4384765625
2016-10-06,1075.8800048828125
2016-10-07,1047.203369140625
2016-10-10,1031.272705078125
2016-10-11,1042.9554443359375
2016-10-12,1029.148681640625
2016-10-13,1047.735107421875
2016-10-14,1055.7003173828125
2016-10-17,1047.735107421875
2016-10-18,1063.1346435546875
2016-10-19,1063.1346435546875
2016-10-20,1083.314453125
2016-10-21,1073.7557373046875
2016-10-24,1080.1278076171875
2016-10-25,1088.6246337890625
2016-10-26,1066.3214111328125
2016-10-27,1046.141845703125
2016-10-28,1053.576416015625
2016-10-31,1061.0106201171875
2016-11-01,1044.548583984375
2016-11-02,1044.0177001953125
2016-11-03,1069.5074462890625
2016-11-04,1041.893798828125
2016-11-07,1056.762451171875
2016-11-08,1056.2310791015625
2016-11-09,1056.762451171875
2016-11-10,1036.05224609375
2016-11-11,1048.796630859375
2016-11-14,1046.141845703125
2016-11-15,1064.19677734375
2016-11-16,1048.26611328125
2016-11-17,1068.4454345703125
2016-11-18,1056.2310791015625
2016-11-21,1040.831787109375
2016-11-22,1050.39013671875
2016-11-23,1029.148681640625
2016-11-24,1029.679443359375
2016-11-25,1031.272705078125
2016-11-28,1031.8035888671875
2016-11-29,1035.5211181640625
2016-11-30,1030.2105712890625
2016-12-01,997.3785400390625
2016-12-02,1019.1528930664062
2016-12-05,1008.0000610351562
2016-12-06,1029.2435302734375
2016-12-07,1058.984130859375
2016-12-08,1068.5439453125
2016-12-09,1077.041259765625
2016-12-12,1058.984130859375
2016-12-13,1081.2900390625
2016-12-14,1084.4766845703125
2016-12-15,1084.4766845703125
2016-12-16,1094.0360107421875
2016-12-19,1096.16064453125
2016-12-20,1106.78173828125
2016-12-21,1113.1549072265625
2016-12-22,1114.21728515625
2016-12-23,1136.522705078125
2016-12-28,1103.5955810546875
2016-12-29,1114.21728515625
2016-12-30,1132.2740478515625
2017-01-03,1108.90673828125
2017-01-04,1109.96826171875
2017-01-05,1107.84423828125
2017-01-06,1122.7147216796875
2017-01-09,1098.2850341796875
2017-01-10,1103.5955810546875
2017-01-11,1098.2850341796875
2017-01-12,1087.6629638671875
2017-01-13,1083.4144287109375
2017-01-16,1073.85498046875
2017-01-17,1083.4144287109375
2017-01-18,1078.1036376953125
2017-01-19,1049.425048828125
2017-01-20,1045.7071533203125
2017-01-23,1061.639892578125
2017-01-24,1048.8935546875
2017-01-25,1053.673828125
2017-01-26,1068.5439453125
2017-01-27,1053.673828125
2017-01-30,1047.3001708984375
2017-01-31,1055.7977294921875
2017-02-01,1064.294921875
2017-02-02,1055.266845703125
2017-02-03,1066.4197998046875
2017-02-06,1061.639892578125
2017-02-07,1075.979248046875
2017-02-08,1089.787841796875
2017-02-09,1111.03076171875
2017-02-10,1113.1549072265625
2017-02-13,1108.90673828125
2017-02-14,1116.3416748046875
2017-02-15,1119.5284423828125
2017-02-16,1117.4036865234375
2017-02-17,1119.5284423828125
2017-02-20,1123.777099609375
2017-02-21,1123.777099609375
2017-02-22,1124.8389892578125
2017-02-23,1130.1494140625
2017-02-24,1133.33642578125
2017-02-27,1121.65234375
2017-02-28,1132.2740478515625
2017-03-01,1134.3985595703125
2017-03-02,1124.8389892578125
2017-03-03,1126.9632568359375
2017-03-06,1129.087646484375
2017-03-07,1123.777099609375
2017-03-08,1119.5284423828125
2017-03-09,1117.4986572265625
2017-03-10,1104.751953125
2017-03-13,1109.0009765625
2017-03-14,1100.5023193359375
2017-03-15,1094.12890625
2017-03-16,1107.9383544921875
2017-03-17,1101.564697265625
2017-03-20,1111.1251220703125
2017-03-21,1115.3740234375
2017-03-22,1104.751953125
2017-03-23,1118.5611572265625
2017-03-24,1120.6854248046875
2017-03-27,1109.0009765625
2017-03-28,1101.564697265625
2017-03-29,1109.0009765625
2017-03-30,1090.942138671875
2017-03-31,1124.9345703125
2017-04-03,1109.0009765625
2017-04-04,1119.62353515625
2017-04-05,1137.6815185546875
2017-04-06,1156.80224609375
2017-04-07,1167.4251708984375
2017-04-10,1163.17578125
2017-04-11,1184.4215087890625
2017-04-12,1187.60791015625
2017-04-13,1186.5457763671875
2017-04-18,1195.0438232421875
2017-04-19,1182.296875
2017-04-20,1178.047607421875
2017-04-21,1165.30029296875
2017-04-24,1180.1719970703125
2017-04-25,1189.7325439453125
2017-04-26,1195.0438232421875
2017-04-27,1187.60791015625
2017-04-28,1174.8607177734375
2017-05-02,1192.919189453125
2017-05-03,1187.60791015625
2017-05-04,1176.9854736328125
2017-05-05,1179.1099853515625
2017-05-08,1199.2928466796875
2017-05-09,1203.541748046875
2017-05-10,1198.2305908203125
2017-05-11,1199.2928466796875
2017-05-12,1202.479736328125
2017-05-15,1201.417236328125
2017-05-16,1201.417236328125
2017-05-17,1186.5457763671875
2017-05-18,1159.9888916015625
2017-05-19,1135.556884765625
2017-05-22,1144.0550537109375
2017-05-23,1141.930908203125
2017-05-24,1141.930908203125
2017-05-25,1137.6815185546875
2017-05-26,1141.930908203125
2017-05-30,1140.8685302734375
2017-05-31,1136.6192626953125
2017-06-01,1148.3043212890625
2017-06-02,1140.8685302734375
2017-06-05,1133.4327392578125
2017-06-06,1129.18359375
2017-06-07,1133.4327392578125
2017-06-08,1135.556884765625
2017-06-09,1125.9970703125
2017-06-12,1130.245361328125
2017-06-13,1132.3702392578125
2017-06-14,1150.4288330078125
2017-06-15,1125.9970703125
2017-06-16,1133.4327392578125
2017-06-19,1122.81005859375
2017-06-20,1112.187744140625
2017-06-21,1099.4404296875
2017-06-22,1080.4415283203125
2017-06-23,1093.1900634765625
2017-06-26,1098.688232421875
2017-06-27,1082.5665283203125
2017-06-28,1068.75537109375
2017-06-29,1073.0050048828125
2017-06-30,1076.1920166015625
2017-07-03,1068.75537109375
2017-07-04,1075.1298828125
2017-07-05,1078.3167724609375
2017-07-06,1077.254638671875
2017-07-07,1077.254638671875
2017-07-10,1083.6292724609375
2017-07-11,1083.6292724609375
2017-07-12,1076.1920166015625
2017-07-13,1078.3167724609375
2017-07-14,1081.5042724609375
2017-07-17,1073.0050048828125
2017-07-18,1090.00341796875
2017-07-19,1091.0657958984375
2017-07-20,1096.3773193359375
2017-07-21,1086.8155517578125
2017-07-24,1067.693115234375
2017-07-25,1063.4437255859375
2017-07-26,1063.4437255859375
2017-07-27,1092.128173828125
2017-07-28,1078.3167724609375
2017-07-31,1084.6915283203125
