Date,KIE.L
2015-08-24,1163.56494140625
2015-08-25,1189.552490234375
2015-08-26,1171.9481201171875
2015-08-27,1219.7314453125
2015-08-28,1256.61669921875
2015-09-01,1253.2635498046875
2015-09-02,1248.233642578125
2015-09-03,1254.93994140625
2015-09-04,1242.3656005859375
2015-09-07,1253.2635498046875
2015-09-08,1251.5872802734375
2015-09-09,1256.61669921875
2015-09-10,1259.1317138671875
2015-09-11,1267.5146484375
2015-09-14,1268.3531494140625
2015-09-15,1264.999755859375
2015-09-16,1237.3358154296875
2015-09-17,1180.3310546875
2015-09-18,1156.858642578125
2015-09-21,1202.96533203125
2015-09-22,1176.1397705078125
2015-09-23,1163.56494140625
2015-09-24,1137.0345458984375
2015-09-25,1166.3822021484375
2015-09-28,1143.742431640625
2015-09-29,1129.4876708984375
2015-09-30,1132.003173828125
2015-10-01,1131.1646728515625
2015-10-02,1132.841796875
2015-10-05,1167.2210693359375
2015-10-06,1166.3822021484375
2015-10-07,1163.8668212890625
2015-10-08,1166.3822021484375
2015-10-09,1168.8980712890625
2015-10-12,1182.3143310546875
2015-10-13,1174.7677001953125
2015-10-14,1162.1898193359375
2015-10-15,1169.736572265625
2015-10-16,1148.7738037109375
2015-10-19,1156.3203125
2015-10-20,1165.5440673828125
2015-10-21,1169.736572265625
2015-10-22,1163.8668212890625
2015-10-23,1178.12158203125
2015-10-26,1169.736572265625
2015-10-27,1158.835693359375
2015-10-28,1152.9661865234375
2015-10-29,1155.4815673828125
2015-10-30,1154.6431884765625
2015-11-02,1148.7738037109375
2015-11-03,1148.7738037109375
2015-11-04,1137.0345458984375
2015-11-05,1127.8104248046875
2015-11-06,1132.003173828125
2015-11-09,1110.2012939453125
2015-11-10,1115.232666015625
2015-11-11,1110.2012939453125
2015-11-12,1097.623779296875
2015-11-13,1093.4312744140625
2015-11-16,1074.9837646484375
2015-11-17,1078.3377685546875
2015-11-18,1088.39990234375
2015-11-19,1087.5614013671875
2015-11-20,1073.306640625
2015-11-23,1064.9215087890625
2015-11-24,1059.052001953125
2015-11-25,1063.244384765625
2015-11-26,1079.1761474609375
2015-11-27,1107.68603515625
2015-11-30,1135.3572998046875
2015-12-01,1132.003173828125
2015-12-02,1133.6800537109375
2015-12-03,1119.4251708984375
2015-12-04,1121.940673828125
2015-12-07,1104.33203125
2015-12-08,1083.368896484375
2015-12-09,1093.4312744140625
2015-12-10,1088.39990234375
2015-12-11,1086.7230224609375
2015-12-14,1078.3377685546875
2015-12-15,1085.8843994140625
2015-12-16,1114.3941650390625
2015-12-17,1129.4876708984375
2015-12-18,1132.841796875
2015-12-21,1132.003173828125
2015-12-22,1131.1646728515625
2015-12-23,1152.127685546875
2015-12-24,1158.835693359375
2015-12-29,1158.835693359375
2015-12-30,1157.15869140625
2015-12-31,1166.3822021484375
2016-01-04,1124.4564208984375
2016-01-05,1118.5867919921875
2016-01-06,1103.4935302734375
2016-01-07,1085.046142578125
2016-01-08,1085.8843994140625
2016-01-11,1082.530517578125
2016-01-12,1074.9837646484375
2016-01-13,1077.4990234375
2016-01-14,1053.1822509765625
2016-01-15,1048.1510009765625
2016-01-18,1031.3807373046875
2016-01-19,1022.1568603515625
2016-01-20,981.0693969726562
2016-01-21,999.5169067382812
2016-01-22,1024.6724853515625
2016-01-25,1027.1878662109375
2016-01-26,1016.2872314453125
2016-01-27,1020.4799194335938
2016-01-28,1057.3746337890625
2016-01-29,1117.748046875
2016-02-01,1116.90966796875
2016-02-02,1103.4935302734375
2016-02-03,1067.43701171875
2016-02-04,1077.4990234375
2016-02-05,1076.6607666015625
2016-02-08,1019.6412963867188
2016-02-09,1039.765869140625
2016-02-10,1043.958251953125
2016-02-11,1007.0634765625
2016-02-12,1044.7969970703125
2016-02-15,1068.2757568359375
2016-02-16,1054.8592529296875
2016-02-17,1090.0770263671875
2016-02-18,1093.4312744140625
2016-02-19,1066.5982666015625
2016-02-22,1077.4990234375
2016-02-23,1066.5982666015625
2016-02-24,1092.5928955078125
2016-02-25,1106.847412109375
2016-02-26,1104.33203125
2016-02-29,1114.3941650390625
2016-03-01,1137.0345458984375
2016-03-02,1108.5245361328125
2016-03-03,1116.0712890625
2016-03-04,1133.6800537109375
2016-03-07,1107.68603515625
2016-03-08,1090.0770263671875
2016-03-09,1084.2076416015625
2016-03-10,1075.822509765625
2016-03-11,1087.5614013671875
2016-03-14,1090.0770263671875
2016-03-15,1080.0150146484375
2016-03-16,1090.0770263671875
2016-03-17,1089.2386474609375
2016-03-18,1079.1761474609375
2016-03-21,1081.6917724609375
2016-03-22,1080.8533935546875
2016-03-23,1078.3377685546875
2016-03-24,1066.7767333984375
2016-03-29,1085.2276611328125
2016-03-30,1098.6458740234375
2016-03-31,1077.67919921875
2016-04-01,1081.0341796875
2016-04-04,1067.615478515625
2016-04-05,1060.0675048828125
2016-04-06,1063.4222412109375
2016-04-07,1037.423583984375
2016-04-08,1055.8741455078125
2016-04-11,1048.326416015625
2016-04-12,1044.1329345703125
2016-04-13,1053.3583984375
2016-04-14,1044.1329345703125
2016-04-15,1021.4890747070312
2016-04-18,1025.682373046875
2016-04-19,1029.0372314453125
2016-04-20,1024.0052490234375
2016-04-21,1018.134521484375
2016-04-22,1012.2638549804688
2016-04-25,1027.359619140625
2016-04-26,1034.9075927734375
2016-04-27,1024.8438720703125
2016-04-28,1023.1665649414062
2016-04-29,998.0066528320312
2016-05-03,1018.97314453125
2016-05-04,988.7813720703125
2016-05-05,994.652099609375
2016-05-06,993.8133544921875
2016-05-09,985.4268798828125
2016-05-10,978.717529296875
2016-05-11,992.9747314453125
2016-05-12,979.5562133789062
2016-05-13,974.5242309570312
2016-05-16,981.2333984375
2016-05-17,992.9747314453125
2016-05-18,994.652099609375
2016-05-19,985.4268798828125
2016-05-20,992.1359252929688
2016-05-23,1020.6505126953125
2016-05-24,1040.778564453125
2016-05-25,1050.8421630859375
2016-05-26,1046.6490478515625
2016-05-27,1048.326416015625
2016-05-31,1035.7464599609375
2016-06-01,1042.455810546875
2016-06-02,1046.6490478515625
2016-06-03,1034.9075927734375
2016-06-06,1034.069091796875
2016-06-07,1030.7147216796875
2016-06-08,1026.5211181640625
2016-06-09,1029.0372314453125
2016-06-10,991.2973022460938
2016-06-13,974.5242309570312
2016-06-14,952.7189331054688
2016-06-15,944.3323364257812
2016-06-16,921.6885375976562
2016-06-17,972.0081176757812
2016-06-20,1004.7159423828125
2016-06-21,1011.42529296875
2016-06-22,1030.7147216796875
2016-06-23,1050.0035400390625
2016-06-24,953.5576782226562
2016-06-27,834.4677124023438
2016-06-28,883.110107421875
2016-06-29,888.9807739257812
2016-06-30,883.110107421875
2016-07-01,880.5941772460938
2016-07-04,827.7584838867188
2016-07-05,790.0186767578125
2016-07-06,781.6321411132812
2016-07-07,793.3734130859375
2016-07-08,804.6953125
2016-07-11,851.2410278320312
2016-07-12,894.0125732421875
