Date,ROL
2015-08-03,11.250874519348145
2015-08-04,11.543156623840332
2015-08-05,11.765289306640625
2015-08-06,11.507399559020996
2015-08-07,11.558197021484375
2015-08-10,11.605085372924805
2015-08-11,11.49567699432373
2015-08-12,11.55428695678711
2015-08-13,11.61290168762207
2015-08-14,11.663698196411133
2015-08-17,11.859068870544434
2015-08-18,11.792642593383789
2015-08-19,11.683235168457031
2015-08-20,11.355010986328125
2015-08-21,11.01896858215332
2015-08-24,10.401591300964355
2015-08-25,10.718097686767578
2015-08-26,10.925191879272461
2015-08-27,11.007246017456055
2015-08-28,10.944727897644043
2015-08-31,10.909564971923828
2015-09-01,10.702471733093262
2015-09-02,10.925191879272461
2015-09-03,11.085393905639648
2015-09-04,10.999432563781738
2015-09-08,11.159636497497559
2015-09-09,11.183085441589355
2015-09-10,11.05804443359375
2015-09-11,11.147913932800293
2015-09-14,11.050230979919434
2015-09-15,11.179174423217773
2015-09-16,11.226062774658203
2015-09-17,11.210433006286621
2015-09-18,10.995525360107422
2015-09-21,11.101025581359863
2015-09-22,10.952546119689941
2015-09-23,10.886117935180664
2015-09-24,10.776712417602539
2015-09-25,10.768893241882324
2015-09-28,10.444580078125
2015-09-29,10.260929107666016
2015-09-30,10.499279975891113
2015-10-01,10.468023300170898
2015-10-02,10.507096290588379
2015-10-05,10.557893753051758
2015-10-06,10.335166931152344
2015-10-07,10.675116539001465
2015-10-08,10.792340278625488
2015-10-09,10.909564971923828
2015-10-12,10.972081184387207
2015-10-13,10.882209777832031
2015-10-14,10.788431167602539
2015-10-15,10.725911140441895
2015-10-16,10.745451927185059
2015-10-19,10.596964836120605
2015-10-20,10.647762298583984
2015-10-21,10.596964836120605
2015-10-22,10.663393020629883
2015-10-23,10.815781593322754
2015-10-26,10.749357223510742
2015-10-27,10.639948844909668
2015-10-28,10.557893753051758
2015-10-29,10.56570816040039
2015-10-30,10.479744911193848
2015-11-02,10.405506134033203
2015-11-03,10.41722297668457
2015-11-04,10.350800514221191
2015-11-05,10.339077949523926
2015-11-06,10.453167915344238
2015-11-09,10.303668022155762
2015-11-10,10.398089408874512
2015-11-11,10.36268424987793
2015-11-12,10.224982261657715
2015-11-13,10.169904708862305
2015-11-16,10.224982261657715
2015-11-17,10.193513870239258
2015-11-18,10.421696662902832
2015-11-19,10.500377655029297
2015-11-20,10.594799041748047
2015-11-23,10.7482328414917
2015-11-24,10.567262649536133
2015-11-25,10.649879455566406
2015-11-27,10.712824821472168
2015-11-30,10.681352615356445
2015-12-01,10.807246208190918
2015-12-02,10.720693588256836
2015-12-03,10.586929321289062
2015-12-04,10.657745361328125
2015-12-07,10.693155288696289
2015-12-08,10.61840534210205
2015-12-09,10.559393882751465
2015-12-10,10.630208015441895
2015-12-11,10.38235092163086
2015-12-14,10.1974458694458
2015-12-15,10.232852935791016
2015-12-16,10.5239839553833
2015-12-17,10.429561614990234
2015-12-18,10.295797348022461
2015-12-21,10.142365455627441
2015-12-22,10.189577102661133
2015-12-23,10.358742713928223
2015-12-24,10.25645923614502
2015-12-28,10.464974403381348
2015-12-29,10.453167915344238
2015-12-30,10.504315376281738
2015-12-31,10.189577102661133
2016-01-04,9.953524589538574
2016-01-05,9.918116569519043
2016-01-06,9.784355163574219
2016-01-07,9.552237510681152
2016-01-08,9.489288330078125
2016-01-11,9.473553657531738
2016-01-12,10.185643196105957
2016-01-13,9.953524589538574
2016-01-14,10.087288856506348
2016-01-15,10.024340629577637
2016-01-19,10.036145210266113
2016-01-20,10.103028297424316
2016-01-21,10.028274536132812
2016-01-22,10.268259048461914
2016-01-25,10.173839569091797
2016-01-26,10.405957221984863
2016-01-27,10.299737930297852
2016-01-28,10.370548248291016
2016-01-29,10.838717460632324
2016-02-01,10.732498168945312
2016-02-02,10.642009735107422
2016-02-03,10.701021194458008
2016-02-04,10.590865135192871
2016-02-05,10.307602882385254
2016-02-08,10.070646286010742
2016-02-09,9.82579231262207
2016-02-10,9.948217391967773
2016-02-11,9.813946723937988
2016-02-12,10.145682334899902
2016-02-16,10.59589958190918
2016-02-17,10.635392189025879
2016-02-18,10.615647315979004
2016-02-19,10.726226806640625
2016-02-22,10.824957847595215
2016-02-23,10.690681457519531
2016-02-24,10.85655403137207
2016-02-25,10.931589126586914
2016-02-26,10.96318244934082
2016-02-29,10.872352600097656
2016-03-01,11.129053115844727
2016-03-02,11.129053115844727
2016-03-03,11.287023544311523
2016-03-04,11.322565078735352
2016-03-07,11.48448371887207
2016-03-08,11.17249584197998
2016-03-09,11.06981372833252
2016-03-10,10.939485549926758
2016-03-11,10.967132568359375
2016-03-14,10.896044731140137
2016-03-15,10.880247116088867
2016-03-16,10.907893180847168
2016-03-17,10.939485549926758
2016-03-18,11.046117782592773
2016-03-21,10.584051132202148
2016-03-22,10.702529907226562
2016-03-23,10.591950416564941
2016-03-24,10.58010196685791
2016-03-28,10.584051132202148
2016-03-29,10.9197416305542
2016-03-30,10.761768341064453
2016-03-31,10.710427284240723
2016-04-01,10.805208206176758
2016-04-04,10.777565956115723
2016-04-05,10.588003158569336
2016-04-06,10.659086227416992
2016-04-07,10.63144302368164
2016-04-08,10.647238731384277
2016-04-11,10.588003158569336
2016-04-12,10.611696243286133
2016-04-13,10.67093563079834
2016-04-14,10.599847793579102
2016-04-15,10.698578834533691
2016-04-18,10.706480026245117
2016-04-19,10.678834915161133
2016-04-20,10.726226806640625
2016-04-21,10.568255424499512
2016-04-22,10.639341354370117
2016-04-25,10.568255424499512
2016-04-26,10.57220458984375
2016-04-27,10.481369018554688
