Date,MSFT
2015-08-03,40.5885124206543
2015-08-04,41.22148895263672
2015-08-05,41.25616455078125
2015-08-06,40.423763275146484
2015-08-07,40.527809143066406
2015-08-10,41.039398193359375
2015-08-11,40.241676330566406
2015-08-12,40.527809143066406
2015-08-13,40.5191535949707
2015-08-14,40.753257751464844
2015-08-17,41.030738830566406
2015-08-18,41.25765609741211
2015-08-19,40.68158721923828
2015-08-20,39.8524284362793
2015-08-21,37.59186553955078
2015-08-24,36.378658294677734
2015-08-25,35.32255554199219
2015-08-26,37.27764892578125
2015-08-27,38.3162956237793
2015-08-28,38.34247589111328
2015-08-31,37.984622955322266
2015-09-01,36.5008544921875
2015-09-02,37.844974517822266
2015-09-03,37.9671745300293
2015-09-04,37.19036865234375
2015-09-08,38.30755615234375
2015-09-09,37.59186553955078
2015-09-10,37.78388214111328
2015-09-11,37.949710845947266
2015-09-14,37.56568908691406
2015-09-15,38.38611602783203
2015-09-16,38.6654167175293
2015-09-17,38.621768951416016
2015-09-18,37.949710845947266
2015-09-21,38.49958801269531
2015-09-22,38.3162956237793
2015-09-23,38.290103912353516
2015-09-24,38.32502746582031
2015-09-25,38.351200103759766
2015-09-28,37.78388214111328
2015-09-29,37.91478729248047
2015-09-30,38.63050079345703
2015-10-01,38.93598175048828
2015-10-02,39.77388000488281
2015-10-05,40.69905471801758
2015-10-06,40.803802490234375
2015-10-07,40.84743881225586
2015-10-08,41.41476058959961
2015-10-09,41.11800765991211
2015-10-12,41.02199172973633
2015-10-13,40.92597961425781
2015-10-14,40.742706298828125
2015-10-15,41.03072738647461
2015-10-16,41.46712875366211
2015-10-19,41.563133239746094
2015-10-20,41.69406509399414
2015-10-21,41.19656753540039
2015-10-22,41.92098617553711
2015-10-23,46.145381927490234
2015-10-26,47.34984588623047
2015-10-27,46.861087799072266
2015-10-28,47.11419677734375
2015-10-29,46.57307052612305
2015-10-30,45.94462966918945
2015-11-02,46.46832275390625
2015-11-03,47.26259231567383
2015-11-04,47.48078155517578
2015-11-05,47.46332931518555
2015-11-06,47.934635162353516
2015-11-09,47.27130889892578
2015-11-10,46.7039794921875
2015-11-11,46.82617950439453
2015-11-12,46.53813934326172
2015-11-13,46.119205474853516
