Date,HEI.DE
2015-08-24,49.57366180419922
2015-08-25,50.950706481933594
2015-08-26,50.827613830566406
2015-08-27,52.17388916015625
2015-08-28,51.97386932373047
2015-08-31,51.82001495361328
2015-09-01,50.40449905395508
2015-09-02,50.127559661865234
2015-09-03,50.98147201538086
2015-09-04,49.358253479003906
2015-09-07,49.619815826416016
2015-09-08,50.08908462524414
2015-09-09,50.61990737915039
2015-09-10,50.48143005371094
2015-09-11,50.86608123779297
2015-09-14,50.68913650512695
2015-09-15,51.250732421875
2015-09-16,51.59691619873047
2015-09-17,51.450748443603516
2015-09-18,49.98907470703125
2015-09-21,50.11216354370117
2015-09-22,48.227386474609375
2015-09-23,48.335086822509766
2015-09-24,46.61185073852539
2015-09-25,48.13507080078125
2015-09-28,46.79648208618164
2015-09-29,46.350284576416016
2015-09-30,47.12728500366211
2015-10-01,47.296531677246094
2015-10-02,47.296531677246094
2015-10-05,49.189002990722656
2015-10-06,49.28901290893555
2015-10-07,49.635196685791016
2015-10-08,50.18140411376953
2015-10-09,51.00455093383789
2015-10-12,49.765987396240234
2015-10-13,49.17361831665039
2015-10-14,48.46586227416992
2015-10-15,49.227474212646484
2015-10-16,48.98129653930664
2015-10-19,48.89667510986328
2015-10-20,48.38124084472656
2015-10-21,49.78136444091797
2015-10-22,50.081390380859375
2015-10-23,52.57392120361328
2015-10-26,52.473915100097656
2015-10-27,51.535369873046875
2015-10-28,52.350826263427734
2015-10-29,52.089256286621094
2015-10-30,52.14311599731445
2015-11-02,52.58161163330078
2015-11-03,52.3277473449707
2015-11-04,52.50468444824219
2015-11-05,53.889427185058594
2015-11-06,55.051063537597656
2015-11-09,53.91250991821289
2015-11-10,53.80480194091797
2015-11-11,54.73565673828125
2015-11-12,54.5202522277832
2015-11-13,54.497169494628906
2015-11-16,55.08183288574219
2015-11-17,56.21270751953125
2015-11-18,56.46658706665039
2015-11-19,56.92045974731445
2015-11-20,57.320499420166016
2015-11-23,57.36664581298828
2015-11-24,56.04347229003906
2015-11-25,57.26665115356445
2015-11-26,57.766693115234375
2015-11-27,57.4974365234375
2015-11-30,57.97440719604492
2015-12-01,58.02825927734375
2015-12-02,57.37435531616211
2015-12-03,55.23570251464844
2015-12-04,55.49726486206055
2015-12-07,56.48196792602539
2015-12-08,55.69728088378906
2015-12-09,56.005008697509766
2015-12-10,56.05884552001953
2015-12-11,54.46640396118164
2015-12-14,53.889427185058594
2015-12-15,55.49726486206055
2015-12-16,55.104915618896484
2015-12-17,55.70497512817383
2015-12-18,55.79728317260742
2015-12-21,55.45110321044922
2015-12-22,56.4127311706543
2015-12-23,58.09748458862305
2015-12-25,58.09748458862305
2015-12-28,57.38973617553711
2015-12-29,58.45906448364258
2015-12-30,58.17441940307617
2016-01-04,57.097408294677734
2016-01-05,56.874305725097656
2016-01-06,55.82036209106445
2016-01-07,54.620262145996094
2016-01-08,53.38938522338867
2016-01-11,53.0816650390625
2016-01-12,53.827877044677734
2016-01-13,53.10474395751953
2016-01-14,51.76615524291992
2016-01-15,49.412105560302734
2016-01-18,49.15053939819336
2016-01-19,50.319881439208984
2016-01-20,48.604339599609375
2016-01-21,49.642887115478516
2016-01-22,51.92771530151367
2016-01-25,50.78915023803711
2016-01-26,50.86608123779297
2016-01-27,52.0123405456543
2016-01-28,50.950706481933594
2016-01-29,51.9969482421875
2016-02-01,51.358436584472656
2016-02-02,51.066097259521484
2016-02-03,50.050621032714844
2016-02-04,50.227561950683594
2016-02-05,49.96599578857422
2016-02-08,46.88111114501953
2016-02-09,46.25028991699219
2016-02-10,47.95812225341797
2016-02-11,46.63493347167969
2016-02-12,48.44278335571289
2016-02-15,50.973785400390625
2016-02-16,49.258243560791016
2016-02-17,51.243038177490234
2016-02-18,51.45843505859375
2016-02-19,50.80453872680664
2016-02-22,51.68922805786133
2016-02-23,50.73530197143555
2016-02-24,49.52750015258789
2016-02-25,50.612205505371094
2016-02-26,51.48151397705078
2016-02-29,52.089256286621094
2016-03-01,53.30475616455078
2016-03-02,53.04319381713867
2016-03-03,53.73556137084961
2016-03-04,54.03559112548828
2016-03-07,53.68941116333008
2016-03-08,52.93550109863281
2016-03-09,53.48938751220703
2016-03-10,52.31236267089844
2016-03-11,54.45101547241211
2016-03-14,55.88190841674805
2016-03-15,55.44342041015625
2016-03-16,55.32032012939453
2016-03-17,56.73583221435547
2016-03-18,56.73583221435547
2016-03-21,56.32810974121094
2016-03-22,57.37435531616211
2016-03-23,57.720542907714844
2016-03-24,56.7666015625
2016-03-29,57.26665115356445
2016-03-30,58.428287506103516
2016-03-31,57.88978576660156
2016-04-01,57.65898513793945
2016-04-04,57.79747009277344
2016-04-05,56.120391845703125
2016-04-06,55.889610290527344
2016-04-07,55.53573226928711
2016-04-08,57.25126266479492
2016-04-11,57.16664505004883
2016-04-12,57.66667938232422
2016-04-13,60.12844467163086
2016-04-14,60.10536575317383
2016-04-15,59.905357360839844
2016-04-18,60.43616485595703
2016-04-19,60.97468566894531
2016-04-20,61.47471237182617
2016-04-21,60.46693420410156
2016-04-22,60.37462615966797
2016-04-25,60.682342529296875
2016-04-26,60.21305465698242
2016-04-27,60.55925369262695
2016-04-28,60.77465057373047
2016-04-29,59.689937591552734
2016-05-02,60.08229064941406
2016-05-03,59.54377365112305
2016-05-04,60.359230041503906
2016-05-05,60.19495391845703
2016-05-06,59.83512496948242
2016-05-09,60.73472595214844
2016-05-10,60.99286651611328
2016-05-11,59.40488052368164
2016-05-12,59.27971267700195
2016-05-13,58.810359954833984
2016-05-17,58.27060317993164
