Date,SK.SN
2015-08-24,799.6244506835938
2015-08-25,804.6220703125
2015-08-26,805.6217651367188
2015-08-27,803.6223754882812
2015-08-28,809.6199340820312
2015-08-31,814.617431640625
2015-09-01,814.617431640625
2015-09-02,808.450439453125
2015-09-03,803.3624877929688
2015-09-04,803.3624877929688
2015-09-07,795.726318359375
2015-09-08,805.6217651367188
2015-09-09,809.6099243164062
2015-09-10,809.6199340820312
2015-09-11,809.6199340820312
2015-09-14,810.6192016601562
2015-09-15,810.62939453125
2015-09-16,809.8800048828125
2015-09-17,808.1306762695312
2015-09-21,809.64013671875
2015-09-22,809.630126953125
2015-09-23,811.6290283203125
2015-09-24,811.6290283203125
2015-09-25,811.6290283203125
2015-09-28,819.6253051757812
2015-09-29,808.6304931640625
2015-09-30,819.6253051757812
2015-10-01,812.6282958984375
2015-10-02,812.6282958984375
2015-10-05,814.627685546875
2015-10-06,817.6263427734375
2015-10-07,817.6263427734375
2015-10-08,817.6263427734375
2015-10-09,817.6263427734375
2015-10-13,817.6263427734375
2015-10-14,809.630126953125
2015-10-15,808.6304931640625
2015-10-16,809.630126953125
2015-10-19,804.6422119140625
2015-10-20,809.630126953125
2015-10-21,804.6422119140625
2015-10-22,809.630126953125
2015-10-23,809.630126953125
2015-10-26,805.6318969726562
2015-10-27,805.8017578125
2015-10-28,809.630126953125
2015-10-29,809.630126953125
2015-10-30,829.0010375976562
2015-11-02,834.6185913085938
2015-11-03,824.623291015625
2015-11-04,830.6201782226562
2015-11-05,830.6201782226562
2015-11-06,824.623291015625
2015-11-09,819.6253051757812
2015-11-10,819.6253051757812
2015-11-11,820.625
2015-11-12,821.6244506835938
2015-11-13,821.6244506835938
2015-11-16,829.6207275390625
2015-11-17,835.617919921875
2015-11-18,839.6160888671875
2015-11-19,839.5960693359375
2015-11-20,834.6185913085938
2015-11-23,845.613525390625
2015-11-24,836.61767578125
2015-11-25,829.3109741210938
2015-11-26,825.6228637695312
2015-11-27,834.6185913085938
2015-11-30,824.623291015625
2015-12-01,824.623291015625
2015-12-02,814.627685546875
2015-12-03,817.6263427734375
2015-12-04,814.627685546875
2015-12-07,808.5305786132812
2015-12-09,824.623291015625
2015-12-10,830.6201782226562
2015-12-11,839.6160888671875
2015-12-14,829.6207275390625
2015-12-15,829.6207275390625
2015-12-16,839.6160888671875
2015-12-17,845.6248168945312
2015-12-18,845.6248168945312
2015-12-21,844.6253051757812
2015-12-22,844.6253051757812
2015-12-23,834.6297607421875
2015-12-24,834.6297607421875
2015-12-28,829.6318359375
2015-12-29,834.6297607421875
2015-12-30,839.6273803710938
2015-12-31,839.6273803710938
2016-01-04,829.6318359375
2016-01-05,824.6343383789062
2016-01-06,824.6343383789062
2016-01-07,828.482421875
2016-01-08,828.482421875
2016-01-11,821.635498046875
2016-01-12,819.6362915039062
2016-01-13,829.6318359375
2016-01-14,819.8461303710938
2016-01-15,819.6362915039062
2016-01-18,819.6362915039062
2016-01-19,819.6362915039062
2016-01-20,809.6409912109375
2016-01-21,809.6409912109375
2016-01-22,814.6386108398438
2016-01-25,814.6386108398438
2016-01-26,809.6409912109375
2016-01-27,814.6386108398438
2016-01-28,819.6362915039062
2016-01-29,819.6362915039062
2016-02-01,804.6430053710938
2016-02-02,804.6430053710938
2016-02-03,809.740966796875
2016-02-04,809.6409912109375
2016-02-05,808.771240234375
2016-02-08,797.0463256835938
2016-02-09,796.6466064453125
2016-02-10,796.6466064453125
2016-02-11,796.6466064453125
2016-02-12,805.4227294921875
2016-02-15,805.4227294921875
2016-02-16,814.6386108398438
2016-02-17,811.639892578125
2016-02-18,809.6409912109375
2016-02-19,804.6430053710938
2016-02-22,804.6430053710938
2016-02-23,805.6427001953125
2016-02-24,799.645263671875
2016-02-25,814.6386108398438
2016-02-26,825.6239013671875
2016-02-29,829.6318359375
2016-03-01,829.6318359375
2016-03-02,829.6318359375
2016-03-03,822.635009765625
2016-03-04,834.6297607421875
2016-03-07,834.6297607421875
2016-03-08,836.6889038085938
2016-03-09,837.6284790039062
2016-03-10,849.6231689453125
2016-03-11,849.6231689453125
2016-03-14,839.6273803710938
2016-03-15,839.6273803710938
2016-03-16,839.6273803710938
2016-03-17,839.6373291015625
2016-03-18,851.7420654296875
2016-03-21,851.7220458984375
2016-03-22,859.6187744140625
2016-03-23,872.0830688476562
2016-03-24,865.6161499023438
2016-03-28,874.6119384765625
2016-03-29,865.2462158203125
2016-03-30,879.6099243164062
2016-03-31,884.6076049804688
2016-04-01,884.6176147460938
2016-04-04,875.6117553710938
2016-04-05,885.607177734375
2016-04-06,885.607177734375
2016-04-07,876.2413940429688
2016-04-08,879.6099243164062
2016-04-11,864.6165161132812
2016-04-12,874.6119384765625
2016-04-13,869.6142578125
2016-04-14,869.6142578125
2016-04-15,869.6142578125
2016-04-18,869.6142578125
2016-04-19,869.6142578125
2016-04-20,869.6142578125
2016-04-21,869.6142578125
2016-04-22,872.7826538085938
2016-04-25,874.3319091796875
2016-04-26,887.0066528320312
2016-04-27,895.6026000976562
2016-04-28,899.6009521484375
2016-04-29,923.0006713867188
2016-05-02,922.5906982421875
2016-05-03,919.5919799804688
2016-05-04,919.5919799804688
2016-05-05,909.62109375
2016-05-06,895.6267700195312
2016-05-09,889.62939453125
2016-05-10,889.62939453125
2016-05-11,887.9701538085938
2016-05-12,884.6314697265625
2016-05-13,889.62939453125
2016-05-16,899.625244140625
2016-05-17,884.6314697265625
2016-05-18,884.6314697265625
2016-05-19,892.6281127929688
2016-05-20,899.625244140625
2016-05-23,899.625244140625
