Date,CDW
2015-08-03,34.49189758300781
2015-08-04,34.91154098510742
2015-08-05,35.46512985229492
2015-08-06,35.116905212402344
2015-08-07,34.741905212402344
2015-08-10,35.08119583129883
2015-08-11,35.17047882080078
2015-08-12,34.732975006103516
2015-08-13,34.661537170410156
2015-08-14,34.982975006103516
2015-08-17,35.47406768798828
2015-08-18,35.224056243896484
2015-08-19,35.224056243896484
2015-08-20,34.518680572509766
2015-08-21,34.2127799987793
2015-08-24,33.46144104003906
2015-08-25,33.58666229248047
2015-08-26,35.312957763671875
2015-08-27,35.867515563964844
2015-08-28,35.75123977661133
2015-08-31,35.55445098876953
2015-09-01,34.35589599609375
2015-09-02,34.69579315185547
2015-09-03,35.10723114013672
2015-09-04,34.61528015136719
2015-09-08,36.04640197753906
2015-09-09,36.13585662841797
2015-09-10,36.448909759521484
2015-09-11,36.761959075927734
2015-09-14,36.7261848449707
2015-09-15,37.17341613769531
2015-09-16,37.40597152709961
2015-09-17,36.922969818115234
2015-09-18,36.520469665527344
2015-09-21,36.27897262573242
2015-09-22,36.07324981689453
2015-09-23,36.19845962524414
2015-09-24,36.30580139160156
2015-09-25,36.475738525390625
2015-09-28,35.17877960205078
2015-09-29,35.61708068847656
2015-09-30,36.54730224609375
2015-10-01,36.68146896362305
2015-10-02,36.30580139160156
2015-10-05,37.36124801635742
2015-10-06,37.41493225097656
2015-10-07,38.103641510009766
2015-10-08,38.06787109375
2015-10-09,38.21992874145508
2015-10-12,38.49720764160156
2015-10-13,38.86392593383789
2015-10-14,38.774478912353516
2015-10-15,38.97126007080078
2015-10-16,39.31114196777344
2015-10-19,39.49898147583008
2015-10-20,39.35587692260742
2015-10-21,39.09648513793945
2015-10-22,40.143001556396484
2015-10-23,40.0982666015625
2015-10-26,39.65104293823242
2015-10-27,39.57948684692383
2015-10-28,40.12510681152344
2015-10-29,40.01777648925781
2015-10-30,39.973045349121094
2015-11-02,39.928314208984375
2015-11-03,39.767333984375
2015-11-04,41.08216857910156
2015-11-05,41.3773307800293
2015-11-06,39.015987396240234
2015-11-09,38.24675750732422
2015-11-10,38.40775680541992
2015-11-11,38.46143341064453
2015-11-12,38.11258316040039
2015-11-13,37.522247314453125
2015-11-16,38.17520523071289
2015-11-17,39.43637466430664
2015-11-18,39.49005126953125
2015-11-19,40.429222106933594
2015-11-20,40.33977127075195
2015-11-23,40.22142028808594
2015-11-24,39.584835052490234
2015-11-25,39.64759826660156
2015-11-27,39.584835052490234
2015-11-30,38.706172943115234
2015-12-01,39.60276794433594
2015-12-02,39.10963439941406
2015-12-03,38.97514343261719
2015-12-04,40.00624084472656
2015-12-07,39.53999710083008
