Date,AENA.MC
2015-08-24,95.20057678222656
2015-08-25,97.58155059814453
2015-08-26,97.36688995361328
2015-08-27,98.8989028930664
2015-08-28,99.43562316894531
2015-08-31,100.0210952758789
2015-09-01,97.58155059814453
2015-09-02,97.58155059814453
2015-09-03,97.92308044433594
2015-09-04,97.53278350830078
2015-09-07,96.63501739501953
2015-09-08,96.49840545654297
2015-09-09,96.50816345214844
2015-09-10,96.0495376586914
2015-09-11,96.44961547851562
2015-09-14,97.58155059814453
2015-09-15,97.37664031982422
2015-09-16,97.33761596679688
2015-09-17,99.77714538574219
2015-09-18,98.70375061035156
2015-09-21,98.60618591308594
2015-09-22,96.70333099365234
2015-09-23,94.97613525390625
2015-09-24,94.41016387939453
2015-09-25,96.50816345214844
2015-09-28,96.4593734741211
2015-09-29,94.94685363769531
2015-09-30,96.36178588867188
2015-10-01,98.02067565917969
2015-10-02,97.58155059814453
2015-10-05,100.55780792236328
2015-10-06,100.50900268554688
2015-10-07,100.46021270751953
2015-10-08,102.46063995361328
2015-10-09,98.75252532958984
2015-10-12,98.65495300292969
2015-10-13,99.72835540771484
2015-10-14,99.4843978881836
2015-10-15,100.75296020507812
2015-10-16,101.48481750488281
2015-10-19,101.2408676147461
2015-10-20,100.9969253540039
2015-10-21,100.9969253540039
2015-10-22,100.26506042480469
2015-10-23,100.16747283935547
2015-10-26,100.1186752319336
2015-10-27,99.77714538574219
2015-10-28,98.60618591308594
2015-10-29,98.99649047851562
2015-10-30,99.0452880859375
2015-11-02,98.11825561523438
2015-11-03,97.82551574707031
2015-11-04,96.50816345214844
2015-11-05,97.77671813964844
2015-11-06,98.8989028930664
2015-11-09,97.14244842529297
2015-11-10,97.58155059814453
2015-11-11,97.97188568115234
2015-11-12,97.92308044433594
2015-11-13,98.50858306884766
2015-11-16,99.33802795410156
2015-11-17,101.97274017333984
2015-11-18,101.48481750488281
2015-11-19,101.92394256591797
2015-11-20,102.80217742919922
2015-11-23,103.97315216064453
2015-11-24,100.80175018310547
2015-11-25,100.50900268554688
2015-11-26,101.92394256591797
2015-11-27,101.6312026977539
2015-11-30,104.75379943847656
2015-12-01,103.24129486083984
2015-12-02,102.16790008544922
