Date,PAMP.BA
2015-08-24,8.0
2015-08-25,8.0
2015-08-26,8.420000076293945
2015-08-27,8.890000343322754
2015-08-28,8.899999618530273
2015-08-31,8.899999618530273
2015-09-01,8.819999694824219
2015-09-02,8.880000114440918
2015-09-03,9.180000305175781
2015-09-04,9.229999542236328
2015-09-07,9.239999771118164
2015-09-08,9.4399995803833
2015-09-09,9.600000381469727
2015-09-10,9.5
2015-09-11,9.399999618530273
2015-09-14,9.1899995803833
2015-09-15,9.279999732971191
2015-09-16,9.0
2015-09-17,9.520000457763672
2015-09-18,9.40999984741211
2015-09-21,9.239999771118164
2015-09-22,8.800000190734863
2015-09-23,9.0
2015-09-24,9.0
2015-09-25,9.109999656677246
2015-09-28,8.550000190734863
2015-09-29,8.5
2015-09-30,8.399999618530273
2015-10-01,8.100000381469727
2015-10-02,8.5
2015-10-05,8.75
2015-10-06,8.630000114440918
2015-10-07,8.5
2015-10-08,8.6899995803833
2015-10-09,8.800000190734863
2015-10-13,9.130000114440918
2015-10-14,9.300000190734863
2015-10-15,9.369999885559082
2015-10-16,9.75
2015-10-19,9.970000267028809
2015-10-20,9.90999984741211
2015-10-21,9.760000228881836
2015-10-22,9.90999984741211
2015-10-23,10.699999809265137
2015-10-26,12.100000381469727
2015-10-27,12.350000381469727
2015-10-28,12.699999809265137
2015-10-29,12.949999809265137
2015-10-30,13.199999809265137
2015-11-02,13.300000190734863
2015-11-03,12.800000190734863
2015-11-04,13.0
2015-11-05,13.100000381469727
2015-11-09,13.0
2015-11-10,13.5
2015-11-11,14.050000190734863
2015-11-12,14.5
2015-11-13,14.699999809265137
2015-11-16,14.600000381469727
2015-11-17,14.649999618530273
2015-11-18,14.649999618530273
2015-11-19,14.649999618530273
2015-11-20,15.399999618530273
2015-11-24,13.0
2015-11-25,12.300000190734863
2015-11-26,12.199999809265137
2015-11-27,12.199999809265137
2015-11-30,12.800000190734863
2015-12-01,12.699999809265137
2015-12-02,12.300000190734863
2015-12-03,12.050000190734863
2015-12-04,12.5
2015-12-09,13.399999618530273
2015-12-10,13.649999618530273
2015-12-11,12.649999618530273
2015-12-14,12.0
2015-12-15,12.0
2015-12-16,11.75
2015-12-17,12.399999618530273
2015-12-18,11.75
2015-12-21,11.199999809265137
2015-12-22,11.5
2015-12-23,12.300000190734863
2015-12-28,11.850000381469727
2015-12-29,11.699999809265137
2015-12-30,11.600000381469727
2016-01-04,11.050000190734863
2016-01-05,11.0
2016-01-06,11.25
2016-01-07,11.149999618530273
