Date,HO.PA
2015-08-24,48.28473663330078
2015-08-25,50.09428024291992
2015-08-26,49.28080749511719
2015-08-27,50.32669448852539
2015-08-28,50.66701889038086
2015-08-31,50.974143981933594
2015-09-01,50.15237808227539
2015-09-02,50.376502990722656
2015-09-03,51.14846420288086
2015-09-04,50.04447937011719
2015-09-07,50.193885803222656
2015-09-08,50.50929641723633
2015-09-09,50.87453079223633
2015-09-10,50.741729736328125
2015-09-11,50.93263626098633
2015-09-14,50.343299865722656
2015-09-15,50.974143981933594
2015-09-16,51.25636672973633
2015-09-17,51.895511627197266
2015-09-18,51.28126907348633
2015-09-21,52.6674690246582
2015-09-22,51.6713981628418
2015-09-23,52.111328125
2015-09-24,50.42629623413086
2015-09-25,52.29393768310547
2015-09-28,51.4638786315918
2015-09-29,50.18557357788086
2015-09-30,51.60498809814453
2015-10-01,51.58838653564453
2015-10-02,51.978519439697266
2015-10-05,53.44772720336914
2015-10-06,53.69674301147461
2015-10-07,51.8125114440918
2015-10-08,51.33937072753906
2015-10-09,51.05713653564453
2015-10-12,49.89505386352539
2015-10-13,50.86623001098633
2015-10-14,50.86623001098633
2015-10-15,51.04884719848633
2015-10-16,52.036624908447266
2015-10-19,51.6962890625
2015-10-20,51.53858184814453
2015-10-21,53.522438049316406
2015-10-22,53.954071044921875
2015-10-23,55.489681243896484
2015-10-26,54.91694259643555
2015-10-27,54.32758712768555
2015-10-28,54.286094665527344
2015-10-29,54.70112991333008
2015-10-30,54.72602081298828
2015-11-02,55.04145431518555
2015-11-03,54.676231384277344
2015-11-04,55.17424774169922
2015-11-05,55.21576690673828
2015-11-06,55.77190017700195
2015-11-09,55.20745849609375
2015-11-10,55.46477508544922
2015-11-11,55.896419525146484
2015-11-12,54.88373565673828
2015-11-13,54.40229797363281
2015-11-16,56.19523239135742
2015-11-17,58.195682525634766
2015-11-18,57.29920959472656
2015-11-19,56.91739273071289
2015-11-20,57.564823150634766
2015-11-23,57.87195587158203
2015-11-24,57.46522521972656
2015-11-25,58.104373931884766
2015-11-26,58.104373931884766
2015-11-27,58.154178619384766
2015-11-30,58.494510650634766
2015-12-01,58.18738555908203
2015-12-02,57.8470573425293
2015-12-03,58.0047721862793
2015-12-04,58.0545768737793
2015-12-07,58.6024169921875
2015-12-08,58.0794677734375
2015-12-09,57.56224822998047
2015-12-10,57.5872688293457
2015-12-11,56.627899169921875
2015-12-14,56.08565902709961
2015-12-15,57.6873893737793
2015-12-16,58.27969741821289
2015-12-17,59.18900680541992
2015-12-18,57.862571716308594
2015-12-21,57.103431701660156
2015-12-22,56.744693756103516
2015-12-23,56.744693756103516
2015-12-24,57.26192092895508
2015-12-28,56.64459228515625
2015-12-29,57.92097854614258
2015-12-30,57.804168701171875
2016-01-04,56.76138687133789
2016-01-05,57.3870735168457
2016-01-06,57.103431701660156
2016-01-07,57.303627014160156
2016-01-08,57.770809173583984
2016-01-11,59.881431579589844
2016-01-12,60.45704650878906
2016-01-13,60.181739807128906
2016-01-14,58.429847717285156
2016-01-15,57.07004928588867
2016-01-18,56.477745056152344
2016-01-19,57.679054260253906
2016-01-20,55.7519645690918
2016-01-21,56.41934585571289
2016-01-22,58.346435546875
2016-01-25,59.222381591796875
2016-01-26,57.74578094482422
2016-01-27,57.8375358581543
2016-01-28,56.60288619995117
2016-01-29,58.53831481933594
2016-02-01,58.58836364746094
2016-02-02,57.35369110107422
2016-02-03,56.669620513916016
2016-02-04,55.017822265625
2016-02-05,52.91556167602539
2016-02-08,51.597469329833984
2016-02-09,51.205379486083984
2016-02-10,51.92281723022461
2016-02-11,50.25434494018555
2016-02-12,51.113609313964844
2016-02-15,52.807106018066406
2016-02-16,53.3743896484375
2016-02-17,54.39215087890625
2016-02-18,54.7508659362793
2016-02-19,55.16799545288086
2016-02-22,55.651859283447266
2016-02-23,59.14728546142578
2016-02-24,59.489322662353516
2016-02-25,60.140037536621094
2016-02-26,60.181739807128906
2016-02-29,61.24123001098633
2016-03-01,61.76679229736328
2016-03-02,60.04828643798828
2016-03-03,60.0899772644043
2016-03-04,60.48207092285156
2016-03-07,59.93982696533203
2016-03-08,59.75629425048828
2016-03-09,59.914798736572266
2016-03-10,58.74686050415039
2016-03-11,60.031593322753906
2016-03-14,60.07329177856445
2016-03-15,60.857479095458984
2016-03-16,61.1160888671875
2016-03-17,61.624977111816406
2016-03-18,62.43418502807617
2016-03-21,62.52594757080078
2016-03-22,62.951416015625
2016-03-23,64.0025405883789
2016-03-24,64.24449157714844
2016-03-29,64.41967010498047
2016-03-30,64.61152648925781
2016-03-31,64.23614501953125
2016-04-01,63.510345458984375
2016-04-04,63.91914749145508
2016-04-05,63.410240173339844
2016-04-06,63.85237121582031
2016-04-07,63.5437126159668
2016-04-08,63.81901931762695
2016-04-11,63.37687683105469
2016-04-12,63.47697830200195
2016-04-13,63.19334030151367
2016-04-14,63.301780700683594
2016-04-15,63.5437126159668
2016-04-18,63.52702331542969
2016-04-19,64.12767791748047
2016-04-20,63.101558685302734
2016-04-21,63.11826705932617
2016-04-22,63.18499755859375
2016-04-25,63.593780517578125
2016-04-26,63.77730178833008
2016-04-27,64.33624267578125
2016-04-28,64.01087188720703
2016-04-29,62.98478317260742
2016-05-02,62.809593200683594
2016-05-03,63.3184814453125
2016-05-04,63.468631744384766
2016-05-05,62.776222229003906
2016-05-06,62.96809768676758
2016-05-09,63.56040573120117
2016-05-10,63.85237121582031
2016-05-11,64.0359115600586
2016-05-12,63.98588180541992
2016-05-13,64.06929016113281
2016-05-16,64.59484100341797
