Date,IRM
2015-08-03,16.989797592163086
2015-08-04,16.843673706054688
2015-08-05,16.75374984741211
2015-08-06,16.45026206970215
2015-08-07,16.45026206970215
2015-08-10,16.33785629272461
2015-08-11,16.247934341430664
2015-08-12,16.720033645629883
2015-08-13,16.59076690673828
2015-08-14,16.96731948852539
2015-08-17,17.02352523803711
2015-08-18,16.98417854309082
2015-08-19,16.944841384887695
2015-08-20,16.995418548583984
2015-08-21,16.433401107788086
2015-08-24,15.522936820983887
2015-08-25,14.90471363067627
2015-08-26,15.404908180236816
2015-08-27,15.854523658752441
2015-08-28,16.03999137878418
2015-08-31,15.927589416503906
2015-09-01,15.528559684753418
2015-09-02,15.803943634033203
2015-09-03,15.983786582946777
2015-09-04,15.854523658752441
2015-09-08,15.995031356811523
2015-09-09,16.00931739807129
2015-09-10,16.02646255493164
2015-09-11,16.220792770385742
2015-09-14,16.312244415283203
2015-09-15,16.51228904724121
2015-09-16,16.683753967285156
2015-09-17,16.849510192871094
2015-09-18,17.146713256835938
2015-09-21,17.072416305541992
2015-09-22,16.855224609375
2015-09-23,17.038118362426758
2015-09-24,17.323898315429688
2015-09-25,17.461069107055664
2015-09-28,17.243877410888672
2015-09-29,17.352476119995117
2015-09-30,17.729707717895508
2015-10-01,17.80971908569336
2015-10-02,17.80971908569336
2015-10-05,18.12407684326172
2015-10-06,18.146944046020508
2015-10-07,18.192668914794922
2015-10-08,18.4612979888916
2015-10-09,17.878307342529297
2015-10-12,18.164087295532227
2015-10-13,18.1069278717041
2015-10-14,17.94118309020996
2015-10-15,17.861162185668945
2015-10-16,18.061208724975586
2015-10-19,18.1069278717041
2015-10-20,17.95261573791504
2015-10-21,17.912601470947266
2015-10-22,17.878307342529297
2015-10-23,17.752567291259766
2015-10-26,17.80971908569336
2015-10-27,17.28960609436035
2015-10-28,17.501081466674805
2015-10-29,17.318180084228516
2015-10-30,17.512514114379883
2015-11-02,18.181232452392578
2015-11-03,18.335556030273438
2015-11-04,17.95261573791504
2015-11-05,17.96976089477539
2015-11-06,17.312469482421875
2015-11-09,17.12385368347168
