Date,GUJGASLTD.NS
2015-09-15,121.50547790527344
2015-09-16,115.43020629882812
2015-09-18,109.66527557373047
2015-09-21,104.18248748779297
2015-09-22,100.19499206542969
2015-09-23,105.0853042602539
2015-09-24,100.35485076904297
2015-09-28,97.34544372558594
2015-09-29,94.99433898925781
2015-09-30,97.5429458618164
2015-10-01,91.50527954101562
2015-10-05,87.54600524902344
2015-10-06,87.18863677978516
2015-10-07,89.27642822265625
2015-10-08,92.22941589355469
2015-10-09,91.36422729492188
2015-10-12,90.3297348022461
2015-10-13,91.7215805053711
2015-10-14,92.58679962158203
2015-10-15,91.96611022949219
2015-10-16,91.32660675048828
2015-10-19,91.68397521972656
2015-10-20,92.93476867675781
2015-10-21,98.10720825195312
2015-10-23,99.0100326538086
2015-10-26,99.03824615478516
2015-10-27,98.58683013916016
2015-10-28,99.91285705566406
2015-10-29,104.51162719726562
2015-10-30,104.42699432373047
2015-11-02,101.7091064453125
2015-11-03,100.57117462158203
2015-11-04,103.7122573852539
2015-11-05,104.65270233154297
2015-11-06,100.19499206542969
2015-11-09,97.74983978271484
2015-11-10,97.3736572265625
2015-11-13,96.73416900634766
2015-11-16,94.59933471679688
2015-11-17,92.73726654052734
2015-11-18,90.63068389892578
2015-11-19,91.35481262207031
2015-11-20,96.37679290771484
2015-11-23,102.35802459716797
2015-11-24,103.34548950195312
2015-11-26,104.65270233154297
2015-11-27,104.97246551513672
2015-11-30,108.16056060791016
2015-12-01,108.92233276367188
2015-12-02,106.73108673095703
2015-12-03,103.79689025878906
2015-12-04,104.43640899658203
2015-12-07,104.08843994140625
2015-12-08,103.41131591796875
2015-12-09,100.73104095458984
2015-12-10,102.64956665039062
2015-12-11,103.27965545654297
2015-12-14,104.3705825805664
2015-12-15,107.42700958251953
2015-12-16,112.97564697265625
2015-12-17,114.54988098144531
2015-12-18,111.99884796142578
2015-12-21,111.4393310546875
2015-12-22,113.49722290039062
2015-12-23,114.6257553100586
2015-12-24,113.85758972167969
2015-12-28,114.1136474609375
2015-12-29,117.1483383178711
2015-12-30,117.2147216796875
2015-12-31,118.47599792480469
2016-01-01,119.2441635131836
2016-01-04,117.31903839111328
2016-01-05,124.25141143798828
2016-01-06,121.64347076416016
2016-01-07,120.66667175292969
2016-01-08,122.17454528808594
2016-01-11,122.06072998046875
2016-01-12,120.26837158203125
2016-01-13,115.24217987060547
2016-01-14,112.39714813232422
2016-01-15,106.6028060913086
2016-01-18,100.75154113769531
2016-01-19,102.80945587158203
2016-01-20,101.64299774169922
2016-01-21,102.55339813232422
2016-01-22,104.81043243408203
2016-01-25,107.38043975830078
2016-01-27,111.59105682373047
2016-01-28,109.10640716552734
2016-01-29,108.54689025878906
2016-02-01,104.68716430664062
2016-02-02,102.59132385253906
2016-02-03,96.47454833984375
2016-02-04,100.59982299804688
2016-02-05,102.34475708007812
2016-02-08,103.2362060546875
2016-02-09,101.12140655517578
2016-02-10,101.197265625
2016-02-11,96.34176635742188
2016-02-12,94.26492309570312
2016-02-15,98.93074035644531
2016-02-16,96.90128326416016
2016-02-17,99.57561492919922
2016-02-18,101.75678253173828
2016-02-19,101.05501556396484
2016-02-22,100.16358184814453
2016-02-23,100.50498962402344
2016-02-24,98.34276580810547
2016-02-25,94.8528823852539
2016-02-26,93.27864837646484
2016-02-29,91.25868225097656
2016-03-01,93.52521514892578
2016-03-02,92.8329086303711
2016-03-03,94.49251556396484
2016-03-04,94.95719909667969
2016-03-08,96.00038146972656
2016-03-09,95.68742370605469
2016-03-10,96.16158294677734
2016-03-11,96.48401641845703
2016-03-14,95.07100677490234
2016-03-15,94.938232421875
2016-03-16,95.39344024658203
2016-03-17,99.78424072265625
2016-03-18,98.66520690917969
2016-03-21,100.08770751953125
2016-03-22,103.35000610351562
2016-03-23,100.16358184814453
2016-03-28,99.24369812011719
2016-03-29,101.44383239746094
2016-03-30,101.33003997802734
2016-03-31,104.80096435546875
2016-04-01,102.48701477050781
2016-04-04,102.41114044189453
2016-04-05,102.18354034423828
2016-04-06,102.46803283691406
2016-04-07,101.12140655517578
2016-04-08,101.35848236083984
2016-04-11,101.54816436767578
2016-04-12,102.52495574951172
2016-04-13,104.31729888916016
2016-04-18,104.23194885253906
2016-04-20,102.85685729980469
2016-04-21,102.03181457519531
2016-04-22,101.25418090820312
2016-04-25,100.22047424316406
2016-04-26,99.41439056396484
2016-04-27,101.45331573486328
2016-04-28,101.51022338867188
2016-04-29,101.6240234375
2016-05-02,101.86111450195312
2016-05-03,102.13611602783203
2016-05-04,102.34475708007812
2016-05-05,102.43010711669922
2016-05-06,99.34800720214844
2016-05-09,98.25741577148438
2016-05-10,98.55139923095703
2016-05-11,98.57986450195312
2016-05-12,99.28162384033203
2016-05-13,98.60831451416016
2016-05-16,98.79796600341797
2016-05-17,98.24794006347656
2016-05-18,98.52295684814453
2016-05-19,96.63577270507812
2016-05-20,95.12789916992188
2016-05-23,93.89506530761719
2016-05-24,95.77275848388672
2016-05-25,95.3080825805664
2016-05-26,96.73058319091797
2016-05-27,97.71686553955078
2016-05-30,97.69789123535156
2016-05-31,98.8643569946289
2016-06-01,98.06775665283203
2016-06-02,97.44185638427734
2016-06-03,100.12565612792969
2016-06-06,102.02232360839844
2016-06-07,99.43336486816406
2016-06-08,98.63675689697266
2016-06-09,98.02032470703125
2016-06-10,98.28587341308594
2016-06-13,96.91078186035156
2016-06-14,98.06775665283203
2016-06-15,98.11517333984375
2016-06-16,97.77376556396484
2016-06-17,98.14361572265625
2016-06-20,98.56088256835938
