Date,MC.PA
2015-08-24,116.75989532470703
2015-08-25,123.67495727539062
2015-08-26,122.2500228881836
2015-08-27,126.69239807128906
2015-08-28,126.5248031616211
2015-08-31,124.5969467163086
2015-09-01,120.86701202392578
2015-09-02,123.33964538574219
2015-09-03,125.85426330566406
2015-09-04,122.33381652832031
2015-09-07,122.878662109375
2015-09-08,123.88449096679688
2015-09-09,125.51897430419922
2015-09-10,125.09984588623047
2015-09-11,124.17782592773438
2015-09-14,123.8006591796875
2015-09-15,125.6446762084961
2015-09-16,130.38043212890625
2015-09-17,130.42236328125
2015-09-18,126.27332305908203
2015-09-21,127.53057861328125
2015-09-22,123.54920196533203
2015-09-23,123.71686553955078
2015-09-24,120.74126434326172
2015-09-25,126.69239807128906
2015-09-28,123.33964538574219
2015-09-29,121.99858856201172
2015-09-30,127.57254028320312
2015-10-01,125.51897430419922
2015-10-02,125.05792236328125
2015-10-05,131.21864318847656
2015-10-06,133.4817657470703
2015-10-07,134.9486083984375
2015-10-08,136.08016967773438
2015-10-09,138.9300079345703
2015-10-12,139.5586395263672
2015-10-13,135.15814208984375
2015-10-14,133.4817657470703
2015-10-15,134.44570922851562
2015-10-16,132.9788360595703
2015-10-19,133.18841552734375
2015-10-20,132.68548583984375
2015-10-21,132.4759521484375
2015-10-22,138.4270782470703
2015-10-23,143.037109375
2015-10-26,141.7798309326172
2015-10-27,141.23501586914062
2015-10-28,140.56448364257812
2015-10-29,141.69601440429688
2015-10-30,142.1570587158203
2015-11-02,140.7321014404297
2015-11-03,142.2827606201172
2015-11-04,144.79733276367188
2015-11-05,145.4259490966797
2015-11-06,141.44459533691406
2015-11-09,140.229248046875
2015-11-10,141.15121459960938
2015-11-11,144.08485412597656
2015-11-12,139.93585205078125
2015-11-13,136.12203979492188
2015-11-16,134.23611450195312
2015-11-17,138.63665771484375
2015-11-18,137.12791442871094
2015-11-19,136.12203979492188
2015-11-20,135.99632263183594
2015-11-23,135.70297241210938
2015-11-24,129.87750244140625
2015-11-25,132.4340362548828
2015-11-26,133.35606384277344
2015-11-27,130.7157440185547
2015-11-30,133.06268310546875
2015-12-01,133.0626678466797
2015-12-02,133.9503173828125
2015-12-03,127.82130432128906
2015-12-04,128.70895385742188
2015-12-07,130.56883239746094
2015-12-08,127.22956085205078
2015-12-09,125.83467864990234
2015-12-10,125.11611938476562
2015-12-11,122.53768157958984
2015-12-14,120.21289825439453
2015-12-15,125.07383728027344
2015-12-16,125.66560363769531
2015-12-17,125.87696838378906
2015-12-18,122.57997131347656
2015-12-21,120.6355972290039
2015-12-22,121.56551361083984
2015-12-23,123.80574035644531
2015-12-24,123.46762084960938
2015-12-28,121.81910705566406
2015-12-29,124.90476989746094
2015-12-30,124.39753723144531
2016-01-04,117.67677307128906
2016-01-05,117.88809967041016
2016-01-06,115.56334686279297
2016-01-07,115.47879791259766
2016-01-08,114.42207336425781
2016-01-11,114.2952651977539
2016-01-12,117.88809967041016
2016-01-13,116.45097351074219
2016-01-14,115.81694793701172
2016-01-15,116.15506744384766
2016-01-18,115.60558319091797
2016-01-19,118.35308074951172
2016-01-20,113.8302993774414
2016-01-21,117.67677307128906
2016-01-22,121.01602935791016
2016-01-25,121.65007019042969
2016-01-26,122.49541473388672
2016-01-27,123.50990295410156
2016-01-28,121.48097229003906
2016-01-29,125.28517150878906
2016-02-01,124.90476989746094
2016-02-02,122.74905395507812
2016-02-03,128.28627014160156
2016-02-04,129.1739044189453
2016-02-05,129.08941650390625
2016-02-08,128.24400329589844
2016-02-09,124.90476989746094
2016-02-10,125.28517150878906
2016-02-11,120.5088119506836
2016-02-12,123.42534637451172
2016-02-15,128.03262329101562
2016-02-16,126.25739288330078
2016-02-17,131.45645141601562
2016-02-18,129.85025024414062
2016-02-19,130.61105346679688
2016-02-22,131.583251953125
2016-02-23,128.49766540527344
2016-02-24,125.53878021240234
2016-02-25,127.10277557373047
2016-02-26,129.5121307373047
2016-02-29,130.01934814453125
2016-03-01,130.78016662597656
2016-03-02,131.0337677001953
2016-03-03,129.9347686767578
2016-03-04,129.63888549804688
2016-03-07,130.7378692626953
2016-03-08,130.8646697998047
2016-03-09,131.49874877929688
2016-03-10,130.4842987060547
2016-03-11,133.10498046875
2016-03-14,134.83799743652344
2016-03-15,131.75233459472656
2016-03-16,131.0760040283203
2016-03-17,128.2017364501953
2016-03-18,128.79351806640625
2016-03-21,127.27180480957031
2016-03-22,125.75015258789062
2016-03-23,126.9336929321289
2016-03-24,124.4397964477539
2016-03-29,127.4831771850586
2016-03-30,130.61105346679688
2016-03-31,127.22956085205078
2016-04-01,125.79243469238281
2016-04-04,126.13054656982422
2016-04-05,122.8758316040039
2016-04-06,123.50990295410156
2016-04-07,122.70677947998047
2016-04-08,123.12944030761719
2016-04-11,123.46762084960938
2016-04-12,125.3697280883789
2016-04-13,130.6533203125
2016-04-14,129.7657012939453
2016-04-15,128.83578491210938
2016-04-18,128.70895385742188
2016-04-19,131.62539672851562
2016-04-20,132.52609252929688
2016-04-21,130.4674072265625
