Date,COR
2015-08-03,91.40174865722656
2015-08-04,91.73860168457031
2015-08-05,92.63688659667969
2015-08-06,90.4775619506836
2015-08-07,90.14068603515625
2015-08-10,90.39114379882812
2015-08-11,90.2702407836914
2015-08-12,90.1579360961914
2015-08-13,89.97605895996094
2015-08-14,90.02802276611328
2015-08-17,90.61701202392578
2015-08-18,90.90283203125
2015-08-19,91.93357849121094
2015-08-20,89.5343017578125
2015-08-21,88.17445373535156
2015-08-24,85.34212493896484
2015-08-25,84.37205505371094
2015-08-26,87.14375305175781
2015-08-27,87.61146545410156
2015-08-28,87.36893463134766
2015-08-31,86.6500244140625
2015-09-01,85.98306274414062
2015-09-02,86.85790252685547
2015-09-03,86.61534881591797
2015-09-04,85.7405776977539
2015-09-08,87.52484893798828
2015-09-09,87.26499938964844
2015-09-10,88.3736801147461
2015-09-11,90.37445831298828
2015-09-14,90.61701202392578
2015-09-15,91.43120574951172
2015-09-16,92.06349182128906
2015-09-17,92.48788452148438
2015-09-18,91.89891815185547
2015-09-21,91.18865966796875
2015-09-22,89.44768524169922
2015-09-23,89.05792236328125
2015-09-24,88.32170867919922
2015-09-25,86.47681427001953
2015-09-28,83.31533813476562
2015-09-29,82.32791137695312
2015-09-30,82.27595520019531
2015-10-01,81.86019134521484
2015-10-02,82.20664978027344
2015-10-05,82.27595520019531
2015-10-06,80.57828521728516
2015-10-07,80.50033569335938
2015-10-08,81.02003479003906
2015-10-09,80.41370391845703
2015-10-12,81.17594146728516
2015-10-13,81.54837799072266
2015-10-14,80.57828521728516
2015-10-15,81.47909545898438
2015-10-16,82.3365707397461
2015-10-19,82.10272216796875
2015-10-20,80.70819091796875
2015-10-21,80.30110168457031
2015-10-22,80.37905883789062
2015-10-23,80.66490936279297
2015-10-26,81.09796905517578
2015-10-27,84.4846420288086
2015-10-28,84.44999694824219
2015-10-29,83.8609848022461
2015-10-30,83.59248352050781
2015-11-02,84.73583984375
2015-11-03,84.59722137451172
2015-11-04,84.42398834228516
2015-11-05,84.78777313232422
2015-11-06,84.54528045654297
2015-11-09,84.36337280273438
2015-11-10,85.63662719726562
2015-11-11,85.09092712402344
2015-11-12,84.23047637939453
2015-11-13,83.95233917236328
2015-11-16,84.56946563720703
2015-11-17,86.19477844238281
2015-11-18,87.18563079833984
2015-11-19,86.21215057373047
2015-11-20,86.13394927978516
2015-11-23,85.81236267089844
2015-11-24,85.6124496459961
2015-11-25,85.98619842529297
2015-11-27,86.03833770751953
2015-11-30,85.734130859375
2015-12-01,86.48159790039062
2015-12-02,85.9166488647461
2015-12-03,85.79499053955078
2015-12-04,86.82057189941406
2015-12-07,86.8988037109375
2015-12-08,87.32467651367188
2015-12-09,87.49852752685547
2015-12-10,88.6110610961914
2015-12-11,88.72402954101562
2015-12-14,89.11516571044922
2015-12-15,88.38504028320312
2015-12-16,88.29817199707031
2015-12-17,88.95004272460938
2015-12-18,88.55022430419922
2015-12-21,89.42804718017578
2015-12-22,89.66273498535156
2015-12-23,90.34069061279297
2015-12-24,90.3493423461914
2015-12-28,90.55797576904297
2015-12-29,91.06208801269531
2015-12-30,91.27936553955078
2015-12-31,90.14076232910156
2016-01-04,88.54153442382812
2016-01-05,89.83658599853516
2016-01-06,88.46332550048828
2016-01-07,85.63851928710938
2016-01-08,85.14308166503906
2016-01-11,81.75336456298828
2016-01-12,81.857666015625
2016-01-13,80.9537353515625
2016-01-14,81.45784759521484
2016-01-15,80.63214111328125
2016-01-19,80.4322509765625
2016-01-20,79.00680541992188
2016-01-21,78.71998596191406
2016-01-22,79.09371948242188
2016-01-25,79.32839965820312
2016-01-26,79.31969451904297
2016-01-27,78.38101196289062
2016-01-28,75.86914825439453
2016-01-29,77.84211730957031
2016-02-01,77.35539245605469
2016-02-02,76.60791778564453
2016-02-03,76.47754669189453
2016-02-04,73.35725402832031
2016-02-05,73.61799621582031
2016-02-08,72.67932891845703
2016-02-09,73.66145324707031
2016-02-10,74.40023803710938
2016-02-11,73.48766326904297
2016-02-12,74.40896606445312
2016-02-16,74.40896606445312
2016-02-17,76.0429916381836
2016-02-18,75.64159393310547
2016-02-19,75.77247619628906
2016-02-22,76.52287292480469
2016-02-23,76.21747589111328
2016-02-24,75.98188018798828
2016-02-25,76.43562316894531
2016-02-26,76.38325500488281
2016-02-29,75.58051300048828
2016-03-01,76.28726959228516
2016-03-02,76.46177673339844
2016-03-03,76.97660064697266
2016-03-04,76.7846450805664
2016-03-07,76.87187957763672
2016-03-08,76.6275863647461
2016-03-09,76.40943145751953
2016-03-10,75.19660186767578
2016-03-11,78.13710021972656
2016-03-14,76.7497329711914
2016-03-15,75.3012924194336
2016-03-16,75.97313690185547
2016-03-17,74.93482971191406
2016-03-18,76.3309097290039
2016-03-21,76.02552795410156
2016-03-22,76.05171203613281
2016-03-23,76.14765167236328
2016-03-24,75.18785858154297
2016-03-28,75.45838165283203
2016-03-29,75.406005859375
2016-03-30,75.9906005859375
2016-03-31,75.51944732666016
2016-04-01,75.48451232910156
2016-04-04,76.05171203613281
2016-04-05,74.76902770996094
2016-04-06,76.38325500488281
2016-04-07,75.61540985107422
2016-04-08,74.43746948242188
2016-04-11,73.67835235595703
2016-04-12,74.07972717285156
2016-04-13,74.3152847290039
2016-04-14,75.65030670166016
2016-04-15,76.63629150390625
2016-04-18,77.36051177978516
2016-04-19,78.08473205566406
2016-04-20,80.15267181396484
2016-04-21,80.12652587890625
2016-04-22,80.17887115478516
2016-04-25,79.84729766845703
2016-04-26,79.64662170410156
2016-04-27,79.08818054199219
