Date,ACX.MC
2015-08-24,5.655909538269043
2015-08-25,5.721738815307617
2015-08-26,5.5373005867004395
2015-08-27,5.883047103881836
2015-08-28,6.203295707702637
2015-08-31,6.105441570281982
2015-09-01,5.822556018829346
2015-09-02,5.7502055168151855
2015-09-03,6.1647467613220215
2015-09-04,5.998693466186523
2015-09-07,5.951249599456787
2015-09-08,5.741903305053711
2015-09-09,5.886013507843018
2015-09-10,5.860511779785156
2015-09-11,5.641083717346191
2015-09-14,5.505275249481201
2015-09-15,5.56161642074585
2015-09-16,5.61143159866333
2015-09-17,5.568732261657715
2015-09-18,5.421063423156738
2015-09-21,5.34930419921875
2015-09-22,4.890284538269043
2015-09-23,4.9092607498168945
2015-09-24,4.790651798248291
2015-09-25,4.947216510772705
2015-09-28,4.64654016494751
2015-09-29,4.786500930786133
2015-09-30,4.733717918395996
2015-10-01,4.681529998779297
2015-10-02,4.801326751708984
2015-10-05,5.1802849769592285
2015-10-06,5.22535514831543
2015-10-07,5.505275249481201
2015-10-08,5.623885631561279
2015-10-09,5.785787582397461
2015-10-12,5.595418930053711
2015-10-13,5.550940036773682
2015-10-14,5.661247730255127
2015-10-15,5.696830749511719
2015-10-16,5.835604190826416
2015-10-19,5.923969268798828
2015-10-20,5.907957077026367
2015-10-21,5.81899881362915
2015-10-22,5.910327911376953
2015-10-23,6.170677185058594
2015-10-26,6.24777364730835
2015-10-27,5.846278667449951
2015-10-28,6.01648473739624
2015-10-29,5.921596527099609
2015-10-30,5.837976932525635
2015-11-02,6.034275531768799
2015-11-03,6.262598991394043
2015-11-04,6.031310081481934
2015-11-05,5.972005367279053
2015-11-06,6.1647467613220215
2015-11-09,6.176607131958008
2015-11-10,6.043171405792236
2015-11-11,6.126197814941406
2015-11-12,5.897873401641846
2015-11-13,5.803578853607178
2015-11-16,5.830859184265137
2015-11-17,5.954213619232178
2015-11-18,6.152885437011719
2015-11-19,6.206259727478027
2015-11-20,6.049101829528809
2015-11-23,5.921596527099609
2015-11-24,5.930492401123047
2015-11-25,5.746053695678711
2015-11-26,5.861698627471924
2015-11-27,5.957178592681885
2015-11-30,6.037240982055664
2015-12-01,6.013520240783691
2015-12-02,5.858140468597412
2015-12-03,5.746646881103516
2015-12-04,5.765031337738037
2015-12-07,5.676666736602783
2015-12-08,5.5023112297058105
2015-12-09,5.520695209503174
2015-12-10,5.491634845733643
2015-12-11,5.3611650466918945
2015-12-14,5.20993709564209
2015-12-15,5.23069429397583
2015-12-16,5.218832969665527
2015-12-17,5.264498710632324
2015-12-18,5.365909099578857
2015-12-21,5.278138637542725
2015-12-22,5.390223503112793
2015-12-23,5.868813991546631
2015-12-24,5.9115142822265625
2015-12-28,5.769181728363037
2015-12-29,5.754356384277344
2015-12-30,5.747239112854004
2015-12-31,5.584743976593018
2016-01-04,5.440040588378906
2016-01-05,5.571696758270264
2016-01-06,5.325581073760986
2016-01-07,5.073536396026611
2016-01-08,5.113270282745361
2016-01-11,5.00474214553833
2016-01-12,4.812593936920166
2016-01-13,4.754476070404053
2016-01-14,4.792430400848389
2016-01-15,4.550466537475586
2016-01-18,4.478707790374756
2016-01-19,4.452613353729248
2016-01-20,4.241487503051758
2016-01-21,4.42058801651001
2016-01-22,4.578933238983154
2016-01-25,4.575374603271484
2016-01-26,4.815558433532715
2016-01-27,4.68805456161499
2016-01-28,4.908075332641602
2016-01-29,4.9033308029174805
2016-02-01,4.848770618438721
2016-02-02,4.702286720275879
2016-02-03,4.9175639152526855
2016-02-04,5.361757755279541
2016-02-05,5.445377826690674
2016-02-08,5.2567877769470215
2016-02-09,5.011266231536865
2016-02-10,4.936541557312012
2016-02-11,4.788872241973877
2016-02-12,5.431737899780273
2016-02-15,5.872373580932617
2016-02-16,5.823149681091309
2016-02-17,5.948282718658447
2016-02-18,5.862290859222412
2016-02-19,5.821963787078857
2016-02-22,6.069859027862549
2016-02-23,5.8783040046691895
2016-02-24,5.711656093597412
2016-02-25,5.643455982208252
2016-02-26,5.814253807067871
2016-02-29,5.9897966384887695
2016-03-01,5.948282718658447
2016-03-02,5.796462535858154
2016-03-03,5.719959259033203
2016-03-04,5.896688461303711
2016-03-07,5.977935314178467
2016-03-08,6.01648473739624
2016-03-09,5.790532112121582
2016-03-10,5.6173624992370605
2016-03-11,5.864664077758789
2016-03-14,5.927526473999023
2016-03-15,5.759693622589111
2016-03-16,5.738343238830566
2016-03-17,5.957178592681885
2016-03-18,6.149920463562012
2016-03-21,6.04613733291626
2016-03-22,5.977935314178467
2016-03-23,5.963109493255615
2016-03-24,5.8883867263793945
2016-03-29,5.833825588226318
2016-03-30,6.040205001831055
2016-03-31,6.037240982055664
2016-04-01,6.0016584396362305
2016-04-04,5.94531774520874
2016-04-05,5.895502090454102
2016-04-06,5.8539886474609375
2016-04-07,5.708691120147705
2016-04-08,5.939387321472168
2016-04-11,6.01648473739624
2016-04-12,6.034275531768799
2016-04-13,6.413827896118164
2016-04-14,6.33673095703125
2016-04-15,6.366383075714111
2016-04-18,6.381210803985596
2016-04-19,6.532436847686768
2016-04-20,6.482028007507324
2016-04-21,6.683663845062256
2016-04-22,6.683663845062256
2016-04-25,6.600637435913086
2016-04-26,6.3841753005981445
2016-04-27,6.268529415130615
2016-04-28,6.1469550132751465
2016-04-29,6.117301940917969
2016-05-02,6.037240982055664
2016-05-03,5.94531774520874
2016-05-04,6.069859027862549
2016-05-05,6.099511623382568
2016-05-06,6.129164218902588
2016-05-09,5.831453323364258
2016-05-10,5.8130693435668945
2016-05-11,5.903804779052734
