Date,PIDILITIND.NS
2015-08-03,523.0693359375
2015-08-04,559.115234375
2015-08-05,566.1544189453125
2015-08-06,561.8554077148438
2015-08-07,560.2019653320312
2015-08-10,565.2567138671875
2015-08-11,556.1390380859375
2015-08-12,542.627685546875
2015-08-13,539.2734985351562
2015-08-14,548.6277465820312
2015-08-17,553.0437622070312
2015-08-18,551.4292602539062
2015-08-19,544.8765258789062
2015-08-20,539.08349609375
2015-08-21,536.94677734375
2015-08-24,521.087158203125
2015-08-25,513.6321411132812
2015-08-26,522.3692016601562
2015-08-27,539.7482299804688
2015-08-28,538.9884643554688
2015-08-31,542.1224975585938
2015-09-01,525.59814453125
2015-09-02,530.5839233398438
2015-09-03,526.78515625
2015-09-04,531.248779296875
2015-09-07,526.880126953125
2015-09-08,522.9865112304688
2015-09-09,527.4974975585938
2015-09-10,537.848876953125
2015-09-11,538.5136108398438
2015-09-14,542.0748901367188
2015-09-15,540.2230834960938
2015-09-16,532.6732177734375
2015-09-18,531.0113525390625
2015-09-21,533.3379516601562
2015-09-22,524.7434692382812
2015-09-23,526.6902465820312
2015-09-24,526.880126953125
2015-09-28,526.0255126953125
2015-09-29,528.3046264648438
2015-09-30,539.2734985351562
2015-10-01,550.8120727539062
2015-10-05,549.8623046875
2015-10-06,550.4796752929688
2015-10-07,543.689453125
2015-10-08,545.9686889648438
2015-10-09,549.7199096679688
2015-10-12,544.9715576171875
2015-10-13,546.7284545898438
2015-10-14,548.7702026367188
2015-10-15,550.527099609375
2015-10-16,550.147216796875
2015-10-19,549.6250610351562
2015-10-20,549.1500854492188
2015-10-21,544.8290405273438
2015-10-23,542.1698608398438
2015-10-26,543.9269409179688
2015-10-27,541.4578247070312
2015-10-28,535.80712890625
2015-10-29,540.7929077148438
2015-10-30,533.3379516601562
2015-11-02,544.7340698242188
2015-11-03,540.98291015625
2015-11-04,533.6702880859375
2015-11-05,519.6626586914062
2015-11-06,513.0147705078125
2015-11-09,519.04541015625
2015-11-10,504.182861328125
2015-11-13,504.0879821777344
2015-11-16,506.0822448730469
2015-11-17,509.3586120605469
2015-11-18,507.0794372558594
2015-11-19,510.30828857421875
2015-11-20,524.07861328125
2015-11-23,516.7661743164062
2015-11-24,515.5791015625
2015-11-26,510.7357177734375
2015-11-27,522.0843505859375
2015-11-30,529.919189453125
2015-12-01,525.7406616210938
2015-12-02,523.9361572265625
2015-12-03,523.746337890625
2015-12-04,525.2182006835938
2015-12-07,528.2572021484375
2015-12-08,519.140380859375
2015-12-09,508.598876953125
2015-12-10,508.1714782714844
2015-12-11,500.8591003417969
2015-12-14,504.752685546875
2015-12-15,511.02056884765625
2015-12-16,517.66845703125
2015-12-17,516.4337768554688
2015-12-18,512.87255859375
2015-12-21,514.7243041992188
2015-12-22,514.3919067382812
2015-12-23,521.7045288085938
2015-12-24,525.5505981445312
2015-12-28,526.78515625
2015-12-29,521.7520141601562
2015-12-30,522.7015991210938
2015-12-31,524.6483764648438
2016-01-01,527.544921875
2016-01-04,529.5391845703125
2016-01-05,539.0360107421875
2016-01-06,534.5726928710938
2016-01-07,528.6846923828125
2016-01-08,529.112060546875
2016-01-11,524.07861328125
2016-01-12,518.5704956054688
2016-01-13,521.7994384765625
2016-01-14,528.9219970703125
2016-01-15,527.9722900390625
2016-01-18,512.302734375
2016-01-19,512.5875244140625
2016-01-20,507.8392028808594
2016-01-21,503.56561279296875
2016-01-22,513.0147705078125
2016-01-25,516.6712036132812
2016-01-27,535.1898193359375
2016-01-28,528.779541015625
2016-01-29,537.75390625
2016-02-01,541.0777587890625
2016-02-02,541.552734375
2016-02-03,538.4662475585938
2016-02-04,553.1387329101562
2016-02-05,566.9090576171875
2016-02-08,570.7551879882812
2016-02-09,547.3932495117188
2016-02-10,558.6468505859375
2016-02-11,550.8120727539062
2016-02-12,553.423583984375
2016-02-15,559.8814086914062
2016-02-16,550.3372192382812
2016-02-17,570.280517578125
2016-02-18,589.7962646484375
2016-02-19,594.7344970703125
2016-02-22,603.8514404296875
2016-02-23,581.3916625976562
2016-02-24,575.076171875
2016-02-25,569.9954833984375
2016-02-26,552.71142578125
2016-02-29,557.1273193359375
2016-03-01,555.5604248046875
2016-03-02,569.8055419921875
2016-03-03,573.2244262695312
2016-03-04,566.9090576171875
2016-03-08,564.962158203125
2016-03-09,569.9005737304688
2016-03-10,572.417236328125
2016-03-11,573.9365844726562
2016-03-14,569.9954833984375
2016-03-15,568.1434936523438
2016-03-16,558.5993041992188
2016-03-17,565.7218627929688
2016-03-18,566.6774291992188
2016-03-21,567.9674072265625
2016-03-22,567.585205078125
2016-03-23,573.1272583007812
2016-03-28,552.0101318359375
2016-03-29,568.8751831054688
2016-03-30,569.5440673828125
2016-03-31,563.09423828125
2016-04-01,562.7120971679688
2016-04-04,561.0875854492188
2016-04-05,563.7630004882812
2016-04-06,572.7450561523438
2016-04-07,567.1552124023438
2016-04-08,570.0217895507812
2016-04-11,576.9493408203125
2016-04-12,577.5704956054688
2016-04-13,586.9824829101562
2016-04-18,597.9234008789062
2016-04-20,592.9545288085938
2016-04-21,579.099365234375
2016-04-22,572.2196044921875
2016-04-25,575.659423828125
2016-04-26,578.908203125
2016-04-27,579.4338989257812
2016-04-28,573.3184204101562
2016-04-29,576.2327270507812
2016-05-02,577.0450439453125
2016-05-03,570.7384033203125
2016-05-04,561.1832275390625
2016-05-05,562.950927734375
2016-05-06,567.0597534179688
2016-05-09,571.9805297851562
2016-05-10,570.1651611328125
2016-05-11,574.8471069335938
2016-05-12,578.09619140625
