Date,TIMS3.SA
2015-08-24,5.241608142852783
2015-08-25,5.185111999511719
2015-08-26,5.367155075073242
2015-08-27,5.586863994598389
2015-08-28,5.442483425140381
2015-08-31,5.524089813232422
2015-09-01,5.25416374206543
2015-09-02,5.3106608390808105
2015-09-03,5.492702960968018
2015-09-04,5.235330104827881
2015-09-08,5.417374134063721
2015-09-09,5.3357696533203125
2015-09-10,5.480147838592529
2015-09-11,5.360878944396973
2015-09-14,5.555478096008301
2015-09-15,5.398542404174805
2015-09-16,5.392265796661377
2015-09-17,5.429929256439209
2015-09-18,5.279272556304932
2015-09-21,5.3106608390808105
2015-09-22,5.210221767425537
2015-09-23,5.216498374938965
2015-09-24,5.116060256958008
2015-09-25,5.0030670166015625
2015-09-28,4.864966869354248
2015-09-29,4.777082443237305
2015-09-30,4.714309215545654
2015-10-01,4.73941707611084
2015-10-02,4.87752103805542
2015-10-05,4.8963518142700195
2015-10-06,4.883797645568848
2015-10-07,4.915184020996094
2015-10-08,4.8963518142700195
2015-10-09,4.8963518142700195
2015-10-13,4.864966869354248
2015-10-14,4.864966869354248
2015-10-15,4.90263032913208
2015-10-16,4.858688831329346
2015-10-19,4.827300071716309
2015-10-20,4.814746379852295
2015-10-21,4.827300071716309
2015-10-22,4.90263032913208
2015-10-23,5.078396320343018
2015-10-26,5.379709720611572
2015-10-27,4.9214606285095215
2015-10-28,4.814746379852295
2015-10-29,4.971681118011475
2015-10-30,5.304381370544434
2015-11-03,5.392265796661377
2015-11-04,5.461314678192139
2015-11-05,5.411097049713135
2015-11-06,5.272994518280029
2015-11-09,5.1474480628967285
2015-11-10,5.316937446594238
2015-11-11,5.272994518280029
2015-11-12,5.1474480628967285
2015-11-13,5.097228527069092
2015-11-16,5.028177261352539
2015-11-17,5.1286163330078125
2015-11-18,5.090950965881348
2015-11-19,5.266717910766602
2015-11-23,5.379709720611572
2015-11-24,5.216498374938965
2015-11-25,5.097228527069092
2015-11-26,5.065841197967529
2015-11-27,4.8963518142700195
2015-11-30,4.802192211151123
2015-12-01,4.864966869354248
2015-12-02,4.70175313949585
2015-12-03,4.6327033042907715
2015-12-04,4.47576904296875
2015-12-07,4.456936359405518
2015-12-08,4.425548553466797
2015-12-09,4.400440216064453
2015-12-10,4.394162654876709
2015-12-11,4.168177127838135
2015-12-14,4.117958068847656
2015-12-15,4.2372283935546875
2015-12-16,4.431826591491699
2015-12-17,4.525988578796387
2015-12-18,4.37532901763916
2015-12-21,4.28744649887085
2015-12-22,4.325111389160156
2015-12-23,4.400440216064453
2015-12-28,4.337665557861328
2015-12-29,4.2623372077941895
2015-12-30,4.30627965927124
2016-01-04,4.2623372077941895
2016-01-05,4.230950355529785
2016-01-06,4.224674224853516
2016-01-07,4.117958068847656
2016-01-08,3.891972303390503
2016-01-11,3.7664246559143066
2016-01-12,3.8103671073913574
2016-01-13,3.7978127002716064
2016-01-14,3.8605844974517822
2016-01-15,3.7287614345550537
2016-01-18,3.6157684326171875
2016-01-19,3.7224838733673096
2016-01-20,3.8103671073913574
2016-01-21,3.8354756832122803
2016-01-22,3.8731417655944824
2016-01-26,3.7538704872131348
2016-01-27,3.9610238075256348
2016-01-28,3.7978127002716064
2016-01-29,3.9986870288848877
2016-02-01,4.036352157592773
2016-02-02,3.816643476486206
2016-02-03,3.8291988372802734
2016-02-04,3.9986870288848877
2016-02-05,3.7978127002716064
2016-02-10,3.7664246559143066
2016-02-11,3.565549373626709
2016-02-12,3.7664246559143066
2016-02-15,3.8229217529296875
2016-02-16,3.954746723175049
2016-02-17,3.9296374320983887
2016-02-18,4.004965782165527
2016-02-19,3.9421913623809814
2016-02-22,4.1305131912231445
2016-02-23,3.973578453063965
2016-02-24,4.004965782165527
2016-02-25,4.048906326293945
2016-02-26,4.180731773376465
2016-02-29,4.362774848937988
2016-03-01,4.538540840148926
2016-03-02,4.525988578796387
2016-03-03,4.6327033042907715
2016-03-04,4.795913219451904
2016-03-07,4.808468818664551
2016-03-08,4.657812595367432
2016-03-09,4.695476531982422
2016-03-10,4.795913219451904
2016-03-11,4.814746379852295
2016-03-14,4.827300071716309
2016-03-15,4.758250713348389
2016-03-16,4.8398566246032715
2016-03-17,5.090950965881348
2016-03-18,4.9214606285095215
2016-03-21,5.122337818145752
2016-03-22,5.166279315948486
2016-03-23,5.065841197967529
2016-03-24,5.1474480628967285
2016-03-28,5.141170501708984
2016-03-29,5.160003185272217
2016-03-30,5.172557830810547
2016-03-31,5.028177261352539
2016-04-01,5.053287506103516
2016-04-04,4.8398566246032715
2016-04-05,4.689199924468994
2016-04-06,4.657812595367432
2016-04-07,4.70175313949585
2016-04-08,4.726862907409668
2016-04-11,4.5699286460876465
2016-04-12,4.70175313949585
2016-04-13,4.820079803466797
2016-04-14,4.671870231628418
2016-04-15,4.7814178466796875
2016-04-18,4.742753505706787
2016-04-19,4.768528461456299
2016-04-20,4.832969665527344
2016-04-22,5.219605922698975
2016-04-25,4.961847305297852
2016-04-26,5.0778398513793945
2016-04-27,5.071394443511963
2016-04-28,4.961847305297852
2016-04-29,4.923182964324951
2016-05-02,4.9489593505859375
2016-05-03,4.981178283691406
2016-05-04,4.755640983581543
2016-05-05,4.639649391174316
2016-05-06,4.710533142089844
2016-05-09,4.575209617614746
2016-05-10,4.7814178466796875
2016-05-11,4.7040910720825195
2016-05-12,4.865188121795654
2016-05-13,4.7620849609375
2016-05-16,4.73630952835083
2016-05-17,4.678315162658691
2016-05-18,4.6267619132995605
2016-05-19,4.491437911987305
2016-05-20,4.426999568939209
