Date,QCOM
2015-08-03,48.25012969970703
2015-08-04,47.51622772216797
2015-08-05,47.8382453918457
2015-08-06,47.059410095214844
2015-08-07,47.194217681884766
2015-08-10,47.291561126708984
2015-08-11,46.84224319458008
2015-08-12,46.86470413208008
2015-08-13,46.45283889770508
2015-08-14,46.362953186035156
2015-08-17,46.48277282714844
2015-08-18,45.92111587524414
2015-08-19,45.816280364990234
2015-08-20,45.04493713378906
2015-08-21,43.14277648925781
2015-08-24,41.397918701171875
2015-08-25,40.34947967529297
2015-08-26,42.43135452270508
2015-08-27,42.9555778503418
2015-08-28,43.0229606628418
2015-08-31,42.728458404541016
2015-09-01,41.550357818603516
2015-09-02,42.18470001220703
2015-09-03,41.95060348510742
2015-09-04,40.99906921386719
2015-09-08,41.68628692626953
2015-09-09,41.02172088623047
2015-09-10,41.78445816040039
2015-09-11,41.278480529785156
2015-09-14,41.0141716003418
2015-09-15,41.437076568603516
2015-09-16,41.68628692626953
2015-09-17,41.520145416259766
2015-09-18,41.119895935058594
2015-09-21,41.074588775634766
2015-09-22,40.73476028442383
2015-09-23,40.447776794433594
2015-09-24,40.22877883911133
2015-09-25,40.19102096557617
2015-09-28,39.67749786376953
2015-09-29,39.594425201416016
2015-09-30,40.57616424560547
2015-10-01,40.160804748535156
2015-10-02,41.58811950683594
2015-10-05,42.46413040161133
2015-10-06,42.532108306884766
2015-10-07,42.7510986328125
2015-10-08,43.5440559387207
2015-10-09,43.63466262817383
2015-10-12,43.642215728759766
2015-10-13,43.430763244628906
2015-10-14,44.27656555175781
2015-10-15,44.75235366821289
2015-10-16,45.24320602416992
2015-10-19,44.63151550292969
2015-10-20,44.55599594116211
2015-10-21,44.533348083496094
2015-10-22,45.63591384887695
2015-10-23,45.862464904785156
2015-10-26,44.71458435058594
2015-10-27,44.76744842529297
2015-10-28,45.51508712768555
2015-10-29,45.31119155883789
2015-10-30,44.8731689453125
2015-11-02,45.79450225830078
2015-11-03,45.96819305419922
2015-11-04,45.50754165649414
2015-11-05,38.56736755371094
2015-11-06,40.34206008911133
2015-11-09,39.979576110839844
2015-11-10,39.47358322143555
2015-11-11,39.911598205566406
2015-11-12,39.70770263671875
2015-11-13,39.22438049316406
2015-11-16,39.8511848449707
2015-11-17,40.00978469848633
2015-11-18,36.24894714355469
2015-11-19,36.54347229003906
2015-11-20,37.472354888916016
2015-11-23,36.98147201538086
2015-11-24,37.31375503540039
2015-11-25,37.079654693603516
2015-11-27,37.018638610839844
2015-11-30,37.20930099487305
2015-12-01,37.598236083984375
2015-12-02,39.54298782348633
2015-12-03,39.19980239868164
2015-12-04,39.91667938232422
2015-12-07,39.98531723022461
2015-12-08,37.73551559448242
2015-12-09,37.05677795410156
2015-12-10,37.04151916503906
2015-12-11,36.19498825073242
2015-12-14,35.71452331542969
2015-12-15,36.6220703125
2015-12-16,36.66020202636719
2015-12-17,36.25600051879883
2015-12-18,36.17211151123047
2015-12-21,37.186424255371094
