Date,VOLCAR-B.ST
2021-10-29,65.19999694824219
2021-11-01,60.56999969482422
2021-11-02,57.9900016784668
2021-11-03,58.880001068115234
2021-11-04,59.08000183105469
2021-11-05,59.0
2021-11-08,57.18000030517578
2021-11-09,57.29999923706055
2021-11-10,58.79999923706055
2021-11-11,64.5999984741211
2021-11-12,76.0
2021-11-15,80.23999786376953
2021-11-16,82.94000244140625
2021-11-17,77.0
2021-11-18,74.69999694824219
2021-11-19,76.9000015258789
2021-11-22,77.72000122070312
2021-11-23,78.12000274658203
2021-11-24,74.63999938964844
2021-11-25,75.5999984741211
2021-11-26,70.0
2021-11-29,68.5
2021-11-30,77.81999969482422
2021-12-01,79.58000183105469
2021-12-02,77.41999816894531
2021-12-03,75.77999877929688
2021-12-06,72.94000244140625
2021-12-07,75.5
2021-12-08,74.0
2021-12-09,75.0999984741211
2021-12-10,72.91999816894531
2021-12-13,75.45999908447266
2021-12-14,73.18000030517578
2021-12-15,71.5999984741211
2021-12-16,75.86000061035156
2021-12-17,78.36000061035156
2021-12-20,75.5
2021-12-21,78.23999786376953
2021-12-22,79.5
2021-12-23,78.9800033569336
2021-12-27,79.94000244140625
2021-12-28,79.4000015258789
2021-12-29,79.04000091552734
2021-12-30,77.0199966430664
2022-01-03,83.05999755859375
2022-01-04,84.66000366210938
2022-01-05,83.81999969482422
2022-01-07,82.18000030517578
2022-01-10,82.30000305175781
2022-01-11,83.91999816894531
2022-01-12,85.87999725341797
2022-01-13,91.77999877929688
2022-01-14,90.13999938964844
2022-01-17,89.69999694824219
2022-01-18,87.36000061035156
2022-01-19,88.73999786376953
2022-01-20,86.4800033569336
2022-01-21,83.5999984741211
2022-01-24,76.94000244140625
2022-01-25,75.4000015258789
2022-01-26,77.66000366210938
2022-01-27,73.4800033569336
2022-01-28,68.77999877929688
2022-01-31,70.22000122070312
2022-02-01,74.5
2022-02-02,72.0
2022-02-03,70.55999755859375
2022-02-04,67.62000274658203
2022-02-07,67.81999969482422
2022-02-08,69.36000061035156
2022-02-09,74.69999694824219
2022-02-10,73.62000274658203
2022-02-11,70.13999938964844
2022-02-14,69.72000122070312
2022-02-15,69.69999694824219
2022-02-16,70.9800033569336
2022-02-17,68.54000091552734
2022-02-18,65.30000305175781
2022-02-21,62.540000915527344
2022-02-22,64.4000015258789
2022-02-23,64.81999969482422
2022-02-24,63.040000915527344
2022-02-25,64.83999633789062
2022-02-28,66.44000244140625
2022-03-01,63.400001525878906
2022-03-02,62.91999816894531
2022-03-03,59.7400016784668
2022-03-04,55.18000030517578
2022-03-07,56.439998626708984
2022-03-08,55.63999938964844
2022-03-09,58.70000076293945
2022-03-10,55.119998931884766
2022-03-11,55.900001525878906
2022-03-14,55.41999816894531
2022-03-15,54.29999923706055
2022-03-16,59.2599983215332
2022-03-17,56.619998931884766
2022-03-18,56.65999984741211
2022-03-21,56.08000183105469
2022-03-22,56.65999984741211
