Date,CHAMBLFERT.NS
2015-08-21,49.93507766723633
2015-08-24,45.48077392578125
2015-08-25,47.23905563354492
2015-08-26,46.84832763671875
2015-08-27,48.09864807128906
2015-08-28,48.582462310791016
2015-08-31,49.0662727355957
2015-09-01,47.493896484375
2015-09-02,46.56658935546875
2015-09-03,45.71993637084961
2015-09-04,45.39738082885742
2015-09-07,44.550716400146484
2015-09-08,45.11516189575195
2015-09-09,45.0345344543457
2015-09-10,44.10723876953125
2015-09-11,44.38945770263672
2015-09-14,44.51040267944336
2015-09-15,44.1878662109375
2015-09-16,44.42976379394531
2015-09-18,44.71199035644531
2015-09-21,45.59897994995117
2015-09-22,46.889137268066406
2015-09-23,46.32468795776367
2015-09-24,45.71993637084961
2015-09-28,47.01007843017578
2015-09-29,47.655155181884766
2015-09-30,47.29230880737305
2015-10-01,48.46150588989258
2015-10-05,48.74374008178711
2015-10-06,48.542144775390625
2015-10-07,48.05833435058594
2015-10-08,47.534202575683594
2015-10-09,47.655155181884766
2015-10-12,47.45357131958008
2015-10-13,47.41325378417969
2015-10-14,47.73579788208008
2015-10-15,48.01801681518555
2015-10-16,47.614845275878906
2015-10-19,47.856746673583984
2015-10-20,47.776119232177734
2015-10-21,47.856746673583984
2015-10-23,47.37294006347656
2015-10-26,47.97769546508789
2015-10-27,47.816429138183594
2015-10-28,47.09071731567383
2015-10-29,46.60691452026367
2015-10-30,46.36500549316406
2015-11-02,46.56658935546875
2015-11-03,46.64722442626953
2015-11-04,45.961830139160156
2015-11-05,45.15548324584961
2015-11-06,44.51040267944336
2015-11-09,43.90564727783203
2015-11-10,44.14754867553711
2015-11-13,45.195804595947266
2015-11-16,45.31675720214844
2015-11-17,45.35706329345703
2015-11-18,45.478023529052734
2015-11-19,46.203739166259766
2015-11-20,46.68754577636719
2015-11-23,48.582462310791016
2015-11-24,51.04182052612305
2015-11-26,50.75960159301758
2015-11-27,50.67896270751953
2015-11-30,50.92087173461914
2015-12-01,51.68689727783203
2015-12-02,51.08213806152344
2015-12-03,51.12245559692383
2015-12-04,49.348487854003906
2015-12-07,49.26785659790039
2015-12-08,47.9373893737793
2015-12-09,46.84880828857422
2015-12-10,46.84880828857422
2015-12-11,46.929447174072266
2015-12-14,47.0504035949707
2015-12-15,47.695472717285156
2015-12-16,47.856746673583984
2015-12-17,48.30024719238281
2015-12-18,47.695472717285156
2015-12-21,47.97769546508789
2015-12-22,46.40531921386719
2015-12-23,48.38087463378906
2015-12-24,48.13896942138672
2015-12-28,48.05833435058594
2015-12-29,48.42118453979492
2015-12-30,48.78404998779297
2015-12-31,50.31610870361328
2016-01-01,50.59833526611328
2016-01-04,50.03388977050781
2016-01-05,51.64658737182617
2016-01-06,52.45293426513672
2016-01-07,50.517704010009766
2016-01-08,52.130393981933594
2016-01-11,51.9691162109375
