Date,FRES.L
2015-08-24,642.7446899414062
2015-08-25,638.2535400390625
2015-08-26,593.3411865234375
2015-08-27,611.30615234375
2015-08-28,619.29052734375
2015-09-01,600.3275756835938
2015-09-02,597.3331909179688
2015-09-03,620.7874755859375
2015-09-04,594.83837890625
2015-09-07,601.3256225585938
2015-09-08,617.79345703125
2015-09-09,616.7952880859375
2015-09-10,605.8167724609375
2015-09-11,594.3391723632812
2015-09-14,590.3470458984375
2015-09-15,586.8538208007812
2015-09-16,605.317626953125
2015-09-17,588.849853515625
2015-09-18,608.810791015625
2015-09-21,595.83642578125
2015-09-22,595.3370971679688
2015-09-23,599.3294067382812
2015-09-24,619.78955078125
2015-09-25,617.2943725585938
2015-09-28,600.8264770507812
2015-09-29,595.3370971679688
2015-09-30,590.3470458984375
2015-10-01,603.321533203125
2015-10-02,632.2650146484375
2015-10-05,651.2281494140625
2015-10-06,671.18896484375
2015-10-07,674.682373046875
2015-10-08,703.126708984375
2015-10-09,733.0682373046875
2015-10-12,738.058349609375
2015-10-13,732.5693359375
2015-10-14,749.0371704101562
2015-10-15,759.017578125
2015-10-16,758.01953125
2015-10-19,733.0682373046875
2015-10-20,732.5693359375
2015-10-21,725.0838012695312
2015-10-22,728.576904296875
2015-10-23,756.5223999023438
2015-10-26,745.0447998046875
2015-10-27,732.5693359375
2015-10-28,766.5029907226562
2015-10-29,733.0682373046875
2015-10-30,728.576904296875
2015-11-02,720.5924682617188
2015-11-03,727.0798950195312
2015-11-04,738.5575561523438
2015-11-05,725.5828247070312
2015-11-06,705.6218872070312
2015-11-09,700.1325073242188
2015-11-10,690.1519775390625
2015-11-11,687.1577758789062
2015-11-12,673.1852416992188
2015-11-13,671.6881713867188
2015-11-16,672.68603515625
2015-11-17,670.6900024414062
2015-11-18,689.154052734375
2015-11-19,698.136474609375
2015-11-20,694.6431884765625
2015-11-23,699.6334228515625
2015-11-24,712.608154296875
2015-11-25,719.0955810546875
2015-11-26,747.5397338867188
2015-11-27,713.6062622070312
2015-11-30,713.6062622070312
2015-12-01,721.0917358398438
2015-12-02,724.584716796875
