Date,KSB.NS
2015-08-21,113.74357604980469
2015-08-24,108.22650909423828
2015-08-25,106.82884979248047
2015-08-26,105.95533752441406
2015-08-27,110.8563232421875
2015-08-28,111.0770034790039
2015-08-31,109.76211547851562
2015-09-01,105.89095306396484
2015-09-02,103.31632232666016
2015-09-03,103.7576904296875
2015-09-04,102.86576843261719
2015-09-07,102.11177062988281
2015-09-08,100.64055633544922
2015-09-09,103.0772476196289
2015-09-10,101.57845306396484
2015-09-11,108.54833984375
2015-09-14,108.64949798583984
2015-09-15,105.109375
2015-09-16,108.68627166748047
2015-09-18,107.19666290283203
2015-09-21,105.31166076660156
2015-09-22,105.31166076660156
2015-09-23,104.37376403808594
2015-09-24,104.81512451171875
2015-09-28,106.81047821044922
2015-09-29,107.12310791015625
2015-09-30,108.7966079711914
2015-10-01,108.68627166748047
2015-10-05,109.98278045654297
2015-10-06,107.69319152832031
2015-10-07,107.1047134399414
2015-10-08,107.65643310546875
2015-10-09,105.76221466064453
2015-10-12,107.24264526367188
2015-10-13,108.41961669921875
2015-10-14,108.6954574584961
2015-10-15,109.32992553710938
2015-10-16,109.32992553710938
2015-10-19,110.21266174316406
2015-10-20,110.23104858398438
2015-10-21,110.35977172851562
2015-10-23,109.74371337890625
2015-10-26,110.39656066894531
2015-10-27,110.47012329101562
2015-10-28,110.36897277832031
2015-10-29,110.34140014648438
2015-10-30,111.66548919677734
2015-11-02,110.40575408935547
2015-11-03,110.75515747070312
2015-11-04,110.76436614990234
2015-11-05,108.23571014404297
2015-11-06,108.08859252929688
2015-11-09,110.37816619873047
2015-11-10,107.71159362792969
2015-11-13,106.5438232421875
2015-11-16,104.42893981933594
2015-11-17,104.29100036621094
2015-11-18,102.67267608642578
2015-11-19,107.31619262695312
2015-11-20,107.1047134399414
2015-11-23,105.55994415283203
2015-11-24,107.85871887207031
2015-11-26,108.1805419921875
2015-11-27,105.95533752441406
2015-11-30,105.192138671875
2015-12-01,104.64041900634766
2015-12-02,104.30020904541016
2015-12-03,103.97837829589844
2015-12-04,109.26557159423828
2015-12-07,107.24264526367188
2015-12-08,108.10698699951172
2015-12-09,103.91400909423828
2015-12-10,105.21971130371094
2015-12-11,105.65189361572266
2015-12-14,105.8357925415039
2015-12-15,106.26795196533203
2015-12-16,107.04035949707031
2015-12-17,106.5805892944336
2015-12-18,105.95533752441406
2015-12-21,107.1047134399414
2015-12-22,105.92774200439453
2015-12-23,105.900146484375
2015-12-24,106.17601013183594
2015-12-28,105.9920883178711
2015-12-29,106.01969146728516
2015-12-30,109.70692443847656
2015-12-31,114.4332275390625
2016-01-01,115.50904083251953
2016-01-04,113.83553314208984
2016-01-05,112.3735122680664
2016-01-06,112.15283203125
2016-01-07,107.61963653564453
2016-01-08,110.84711456298828
2016-01-11,107.08631896972656
2016-01-12,106.27715301513672
2016-01-13,105.11856079101562
2016-01-14,105.09099578857422
2016-01-15,102.16693878173828
2016-01-18,99.25208282470703
2016-01-19,102.95771789550781
2016-01-20,100.13481903076172
2016-01-21,100.31871795654297
2016-01-22,99.62908935546875
2016-01-25,100.3830795288086
2016-01-27,103.1140365600586
2016-01-28,101.49568939208984
2016-01-29,101.77153778076172
2016-02-01,101.19226837158203
2016-02-02,101.18305969238281
2016-02-03,98.70038604736328
2016-02-04,98.9762191772461
2016-02-05,99.1141586303711
2016-02-08,99.15093231201172
2016-02-09,98.3785400390625
2016-02-10,98.39693450927734
2016-02-11,97.73489379882812
2016-02-12,94.84762573242188
2016-02-15,97.6521224975586
2016-02-16,95.6108169555664
2016-02-17,93.68904113769531
2016-02-18,95.32577514648438
2016-02-19,103.20598602294922
2016-02-22,101.0543212890625
2016-02-23,97.77166748046875
2016-02-24,97.30272674560547
2016-02-25,94.47981262207031
2016-02-26,96.59468841552734
2016-02-29,95.87747192382812
2016-03-01,96.49356079101562
2016-03-02,99.785400390625
2016-03-03,97.45903015136719
2016-03-04,98.41531372070312
2016-03-08,102.2129135131836
2016-03-09,108.0610122680664
2016-03-10,107.2794189453125
2016-03-11,109.32992553710938
2016-03-14,111.27010345458984
2016-03-15,109.07246398925781
2016-03-16,110.83792114257812
2016-03-17,114.46080780029297
2016-03-18,116.82395935058594
2016-03-21,118.34114074707031
2016-03-22,117.23773193359375
2016-03-23,122.010009765625
2016-03-28,121.1456527709961
2016-03-29,119.38019561767578
2016-03-30,118.72734069824219
2016-03-31,116.49292755126953
2016-04-01,113.4401626586914
2016-04-04,110.25862884521484
2016-04-05,109.21039581298828
2016-04-06,116.42857360839844
2016-04-07,113.68841552734375
2016-04-08,115.38033294677734
2016-04-11,114.23092651367188
2016-04-12,116.51313781738281
2016-04-13,115.11226654052734
2016-04-18,114.9174575805664
2016-04-20,116.56879425048828
2016-04-21,114.7226333618164
2016-04-22,114.8154067993164
2016-04-25,114.8061294555664
2016-04-26,124.38026428222656
2016-04-27,123.2020492553711
2016-04-28,126.62537384033203
2016-04-29,126.99645233154297
2016-05-02,127.89633178710938
2016-05-03,127.78501892089844
2016-05-04,126.3006591796875
2016-05-05,125.14099884033203
2016-05-06,126.07799530029297
2016-05-09,126.1429443359375
2016-05-10,126.1707534790039
2016-05-11,126.2264404296875
2016-05-12,126.3748779296875
2016-05-13,125.83678436279297
2016-05-16,127.24693298339844
2016-05-17,126.5604019165039
2016-05-18,126.34703826904297
2016-05-19,125.4285888671875
2016-05-20,125.71617889404297
2016-05-23,124.9739990234375
2016-05-24,126.83872985839844
2016-05-25,125.90172576904297
2016-05-26,124.68640899658203
2016-05-27,126.2449722290039
