Date,MPWR
2015-08-03,46.81694793701172
2015-08-04,46.24018096923828
2015-08-05,46.926788330078125
2015-08-06,46.60637664794922
2015-08-07,46.990882873535156
2015-08-10,47.714088439941406
2015-08-11,46.53314208984375
2015-08-12,46.85356140136719
2015-08-13,46.43244552612305
2015-08-14,46.58806228637695
2015-08-17,47.07326126098633
2015-08-18,45.83738708496094
2015-08-19,45.297271728515625
2015-08-20,43.57618713378906
2015-08-21,42.95367431640625
2015-08-24,41.65371322631836
2015-08-25,41.45230484008789
2015-08-26,43.18253707885742
2015-08-27,44.24448013305664
2015-08-28,44.34516906738281
2015-08-31,44.02476119995117
2015-09-01,42.77057647705078
2015-09-02,43.8874397277832
2015-09-03,44.41840744018555
2015-09-04,44.14377212524414
2015-09-08,45.93809127807617
2015-09-09,45.4620475769043
2015-09-10,45.48950958251953
2015-09-11,46.340885162353516
2015-09-14,46.295135498046875
2015-09-15,46.807777404785156
2015-09-16,46.71623611450195
2015-09-17,46.83524703979492
2015-09-18,46.17611312866211
2015-09-21,46.066261291503906
2015-09-22,45.07755661010742
2015-09-23,45.07755661010742
2015-09-24,45.196556091308594
2015-09-25,46.23104476928711
2015-09-28,45.21082305908203
2015-09-29,45.53251266479492
2015-09-30,47.058231353759766
2015-10-01,46.34132766723633
2015-10-02,47.36153030395508
2015-10-05,48.93320846557617
2015-10-06,49.79717254638672
2015-10-07,50.55083465576172
2015-10-08,50.826568603515625
2015-10-09,50.54164123535156
2015-10-12,50.725460052490234
2015-10-13,50.06371307373047
2015-10-14,51.72728729248047
2015-10-15,52.54529571533203
2015-10-16,52.34309387207031
2015-10-19,52.79345703125
2015-10-20,52.47177505493164
2015-10-21,51.33207321166992
2015-10-22,53.078372955322266
2015-10-23,53.988311767578125
2015-10-26,53.08757400512695
2015-10-27,56.67207717895508
2015-10-28,57.88528823852539
2015-10-29,56.736419677734375
2015-10-30,57.370582580566406
2015-11-02,57.71986389160156
2015-11-03,57.70146942138672
2015-11-04,57.81175994873047
2015-11-05,58.013973236083984
2015-11-06,59.20882797241211
2015-11-09,58.82279586791992
2015-11-10,58.4643440246582
2015-11-11,58.6573600769043
2015-11-12,58.21616744995117
2015-11-13,57.49928283691406
2015-11-16,58.38162612915039
2015-11-17,59.20882797241211
2015-11-18,61.028656005859375
2015-11-19,60.54152297973633
2015-11-20,61.23085403442383
2015-11-23,60.844818115234375
2015-11-24,61.89259719848633
2015-11-25,62.379730224609375
2015-11-27,62.33376693725586
2015-11-30,62.80252456665039
2015-12-01,63.30799865722656
2015-12-02,61.84665298461914
2015-12-03,61.17570114135742
2015-12-04,61.73635482788086
2015-12-07,61.286006927490234
2015-12-08,60.863197326660156
2015-12-09,59.32829666137695
2015-12-10,59.29154586791992
2015-12-11,58.25293731689453
2015-12-14,57.81175994873047
2015-12-15,58.8779296875
2015-12-16,58.62058639526367
2015-12-17,58.10588073730469
2015-12-18,58.04155731201172
2015-12-21,59.18123245239258
2015-12-22,59.309906005859375
2015-12-23,59.23639678955078
2015-12-24,59.34666061401367
2015-12-28,59.07093811035156
2015-12-29,60.04823303222656
2015-12-30,59.72555923461914
2015-12-31,58.73904037475586
2016-01-04,56.21282958984375
2016-01-05,55.226314544677734
2016-01-06,54.31354522705078
2016-01-07,52.74619674682617
2016-01-08,52.87527847290039
2016-01-11,53.871009826660156
2016-01-12,54.47951126098633
2016-01-13,53.64973449707031
2016-01-14,55.14333724975586
2016-01-15,52.9398078918457
2016-01-19,52.82917785644531
2016-01-20,53.69584274291992
2016-01-21,55.355403900146484
2016-01-22,56.784446716308594
2016-01-25,56.5723876953125
2016-01-26,56.535526275634766
2016-01-27,55.00503921508789
2016-01-28,55.66886520385742
2016-01-29,57.68798828125
2016-02-01,57.43906021118164
2016-02-02,54.37809371948242
2016-02-03,53.71427536010742
2016-02-04,53.71427536010742
2016-02-05,55.32772445678711
2016-02-08,51.962520599365234
2016-02-09,51.824222564697266
2016-02-10,52.09160614013672
2016-02-11,51.87032699584961
2016-02-12,52.3313102722168
2016-02-16,53.55753707885742
2016-02-17,54.239803314208984
2016-02-18,53.5851936340332
2016-02-19,53.834129333496094
2016-02-22,54.18449401855469
2016-02-23,53.677391052246094
2016-02-24,52.8199577331543
2016-02-25,53.33626937866211
2016-02-26,54.15683364868164
2016-02-29,54.45185470581055
2016-03-01,55.55821228027344
2016-03-02,55.788719177246094
2016-03-03,55.742618560791016
2016-03-04,56.97806930541992
2016-03-07,56.71070098876953
2016-03-08,54.267459869384766
2016-03-09,55.106449127197266
2016-03-10,54.995819091796875
2016-03-11,56.31425094604492
2016-03-14,55.622764587402344
2016-03-15,55.02349090576172
2016-03-16,55.70573425292969
2016-03-17,55.86247253417969
2016-03-18,57.66032028198242
2016-03-21,56.6553840637207
2016-03-22,56.72911834716797
2016-03-23,56.17594528198242
2016-03-24,56.43409729003906
2016-03-28,56.166717529296875
2016-03-29,57.50799560546875
2016-03-30,57.85948944091797
2016-03-31,58.86776351928711
2016-04-01,59.61703872680664
2016-04-04,58.71051788330078
2016-04-05,58.127769470214844
2016-04-06,59.099029541015625
2016-04-07,58.71051788330078
2016-04-08,58.877010345458984
2016-04-11,58.75676727294922
2016-04-12,58.77526092529297
2016-04-13,60.94904708862305
2016-04-14,60.36628341674805
2016-04-15,59.83902359008789
2016-04-18,60.051761627197266
2016-04-19,59.1452751159668
2016-04-20,58.97875213623047
2016-04-21,58.65501403808594
2016-04-22,59.37652587890625
2016-04-25,58.923274993896484
2016-04-26,60.07028579711914
2016-04-27,60.45878982543945
