Date,INDV.L
2015-08-24,1065.555908203125
2015-08-25,1082.0489501953125
2015-08-26,1073.5526123046875
2015-08-27,1097.042724609375
2015-08-28,1117.034423828125
2015-09-01,1092.0447998046875
2015-09-02,1085.5474853515625
2015-09-03,1145.0228271484375
2015-09-04,1106.538818359375
2015-09-07,1111.036865234375
2015-09-08,1107.0386962890625
2015-09-09,1114.5355224609375
2015-09-10,1100.5413818359375
2015-09-11,1099.5416259765625
2015-09-14,1087.046875
2015-09-15,1090.045654296875
2015-09-16,1087.5467529296875
2015-09-17,1101.646240234375
2015-09-18,1102.1461181640625
2015-09-21,1096.6478271484375
2015-09-22,1099.14697265625
2015-09-23,1115.141845703125
2015-09-24,1094.148681640625
2015-09-25,1153.129638671875
2015-09-28,1149.630859375
2015-09-29,1144.132568359375
2015-09-30,1132.63623046875
2015-10-01,1162.1268310546875
2015-10-02,1159.6275634765625
2015-10-05,1154.12939453125
2015-10-06,1172.12353515625
2015-10-07,1084.15185546875
2015-10-08,1107.1444091796875
2015-10-09,1082.65234375
2015-10-12,1063.1585693359375
2015-10-13,1031.668701171875
2015-10-14,1040.166015625
2015-10-15,1073.6552734375
2015-10-16,1069.656494140625
2015-10-19,1063.1585693359375
2015-10-20,1071.6558837890625
2015-10-21,1067.1573486328125
2015-10-22,1064.6580810546875
2015-10-23,1041.66552734375
2015-10-26,1067.1573486328125
2015-10-27,1049.6629638671875
2015-10-28,1046.6639404296875
2015-10-29,1049.6629638671875
2015-10-30,1027.669921875
2015-11-02,1067.1573486328125
2015-11-03,995.180419921875
2015-11-04,999.678955078125
2015-11-05,973.1875
2015-11-06,983.68408203125
2015-11-09,976.6863403320312
2015-11-10,977.68603515625
2015-11-11,996.1801147460938
2015-11-12,990.1820068359375
2015-11-13,995.6802368164062
2015-11-16,996.1801147460938
2015-11-17,1000.1788330078125
2015-11-18,982.1845703125
2015-11-19,975.6866455078125
2015-11-20,980.68505859375
2015-11-23,983.68408203125
2015-11-24,974.68701171875
2015-11-25,949.6950073242188
2015-11-26,959.1919555664062
2015-11-27,957.192626953125
2015-11-30,977.1862182617188
2015-12-01,981.6847534179688
2015-12-02,976.1865234375
2015-12-03,973.1875
2015-12-04,978.1858520507812
2015-12-07,974.68701171875
2015-12-08,967.1893920898438
2015-12-09,969.6885986328125
2015-12-10,974.68701171875
2015-12-11,977.1862182617188
2015-12-14,969.6885986328125
2015-12-15,954.6934204101562
2015-12-16,924.7030639648438
2015-12-17,949.6950073242188
2015-12-18,947.19580078125
2015-12-21,941.19775390625
2015-12-22,939.1983642578125
2015-12-23,942.697265625
2015-12-24,943.1970825195312
2015-12-29,949.6950073242188
2015-12-30,941.6975708007812
2015-12-31,938.6985473632812
2016-01-04,929.701416015625
2016-01-05,948.6953125
2016-01-06,932.7005004882812
2016-01-07,885.2156982421875
2016-01-08,914.2064208984375
2016-01-11,896.7120361328125
2016-01-12,850.726806640625
2016-01-13,849.7271118164062
2016-01-14,818.737060546875
2016-01-15,832.7326049804688
2016-01-18,806.7409057617188
2016-01-19,812.2391357421875
2016-01-20,751.2587280273438
2016-01-21,776.250732421875
2016-01-22,785.7476806640625
2016-01-25,775.7508544921875
2016-01-26,776.7505493164062
2016-01-27,781.7489624023438
2016-01-28,773.251708984375
2016-01-29,755.2574462890625
2016-02-01,757.2568359375
2016-02-02,750.2590942382812
2016-02-03,716.7698364257812
2016-02-04,713.2709350585938
2016-02-05,699.7752685546875
2016-02-08,664.2866821289062
2016-02-09,653.7900390625
2016-02-10,702.2744750976562
2016-02-11,693.27734375
2016-02-12,701.2747802734375
2016-02-15,706.273193359375
2016-02-16,717.7694702148438
2016-02-17,738.262939453125
2016-02-18,854.7255249023438
2016-02-19,772.2520141601562
2016-02-22,792.7454223632812
2016-02-23,826.7344970703125
2016-02-24,831.73291015625
2016-02-25,820.236572265625
2016-02-26,830.2333984375
2016-02-29,842.2295532226562
2016-03-01,846.7280883789062
2016-03-02,829.2337036132812
2016-03-03,804.7415771484375
2016-03-04,795.24462890625
2016-03-07,822.7357788085938
2016-03-08,813.2388305664062
2016-03-09,794.7447509765625
2016-03-10,780.749267578125
2016-03-11,800.2430419921875
2016-03-14,822.2359619140625
2016-03-15,832.2327270507812
2016-03-16,830.7332153320312
2016-03-17,810.2398071289062
2016-03-18,807.7406005859375
2016-03-21,809.2401123046875
2016-03-22,823.7354736328125
2016-03-23,829.2337036132812
2016-03-24,811.239501953125
2016-03-29,817.7374267578125
2016-03-30,821.736083984375
2016-03-31,815.2382202148438
2016-04-01,819.2369384765625
2016-04-04,832.2327270507812
2016-04-05,815.738037109375
2016-04-06,833.7322387695312
2016-04-07,835.7316284179688
2016-04-08,854.7255249023438
2016-04-11,859.7239379882812
2016-04-12,817.7374267578125
2016-04-13,830.7332153320312
2016-04-14,790.74609375
2016-04-15,834.73193359375
2016-04-18,844.7286987304688
2016-04-19,833.7322387695312
2016-04-20,845.7283935546875
2016-04-21,842.2295532226562
2016-04-22,847.727783203125
2016-04-25,853.725830078125
2016-04-26,827.7341918945312
2016-04-27,841.7296752929688
2016-04-28,809.739990234375
2016-04-29,803.7418823242188
2016-05-03,736.2635498046875
2016-05-04,744.7608032226562
2016-05-05,744.7608032226562
2016-05-06,755.75732421875
2016-05-09,764.75439453125
2016-05-10,781.7489624023438
2016-05-11,780.749267578125
2016-05-12,779.249755859375
2016-05-13,811.7393188476562
2016-05-16,803.7418823242188
2016-05-17,811.7393188476562
2016-05-18,818.737060546875
2016-05-19,825.2349853515625
2016-05-20,818.737060546875
2016-05-23,845.7283935546875
2016-05-24,849.7271118164062
2016-05-25,873.7194213867188
2016-05-26,865.22216796875
2016-05-27,859.7239379882812
2016-05-31,859.2240600585938
2016-06-01,850.726806640625
2016-06-02,862.7229614257812
2016-06-03,1175.1226806640625
2016-06-06,1049.6629638671875
2016-06-07,1051.6622314453125
2016-06-08,1049.6629638671875
2016-06-09,1086.6510009765625
2016-06-10,1068.6568603515625
2016-06-13,1049.6629638671875
2016-06-14,1069.1566162109375
2016-06-15,1136.635009765625
2016-06-16,1078.5
2016-06-17,1117.0
2016-06-20,1137.5
2016-06-21,1147.5
2016-06-22,1123.0
2016-06-23,1147.5
2016-06-24,1107.0
2016-06-27,1104.5
2016-06-28,1159.5
2016-06-29,1197.5
2016-06-30,1255.5
2016-07-01,1251.0
2016-07-04,1278.5
2016-07-05,1270.5
2016-07-06,1290.0
2016-07-07,1328.5
2016-07-08,1325.0
2016-07-11,1374.5
2016-07-12,1347.0
2016-07-13,1337.0
2016-07-14,1328.5
2016-07-15,1335.0
2016-07-18,1351.0
2016-07-19,1344.5
2016-07-20,1361.5
