Date,TBCG.L
2016-08-10,1079.9508056640625
2016-08-11,1119.764404296875
2016-08-12,1159.578369140625
2016-08-15,1119.764404296875
2016-08-16,1147.1365966796875
2016-08-17,1119.764404296875
2016-08-18,1117.2762451171875
2016-08-19,1119.764404296875
2016-08-22,1124.7415771484375
2016-08-23,1107.3228759765625
2016-08-24,1099.857666015625
2016-08-25,1069.9974365234375
2016-08-26,1065.0206298828125
2016-08-30,1089.904052734375
2016-08-31,1124.7415771484375
2016-09-01,1119.764404296875
2016-09-02,1132.2066650390625
2016-09-05,1082.4393310546875
2016-09-06,1045.113525390625
2016-09-07,1072.4857177734375
2016-09-08,1094.881103515625
2016-09-09,1094.881103515625
2016-09-12,1069.9974365234375
2016-09-13,1094.881103515625
2016-09-14,1144.648193359375
2016-09-15,1119.764404296875
2016-09-16,1119.764404296875
2016-09-19,1124.7415771484375
2016-09-20,1121.257568359375
2016-09-21,1124.7415771484375
2016-09-22,1145.14599609375
2016-09-23,1169.5321044921875
2016-09-26,1219.29931640625
2016-09-27,1219.29931640625
2016-09-28,1231.7412109375
2016-09-29,1225.76904296875
2016-09-30,1264.0897216796875
2016-10-03,1254.136474609375
2016-10-04,1254.136474609375
2016-10-05,1269.066650390625
2016-10-06,1261.601318359375
2016-10-07,1259.11328125
2016-10-10,1264.0897216796875
2016-10-11,1254.136474609375
2016-10-12,1241.6944580078125
2016-10-13,1246.671142578125
2016-10-14,1251.6480712890625
2016-10-17,1245.1781005859375
2016-10-18,1256.6246337890625
2016-10-19,1261.601318359375
2016-10-20,1284.9923095703125
2016-10-21,1293.9503173828125
2016-10-24,1309.875732421875
2016-10-25,1311.3687744140625
2016-10-26,1312.86181640625
2016-10-27,1291.4617919921875
2016-10-28,1276.5316162109375
2016-10-31,1283.0013427734375
2016-11-01,1275.536376953125
2016-11-02,1280.0152587890625
2016-11-03,1284.9923095703125
2016-11-04,1296.4385986328125
2016-11-07,1298.9271240234375
2016-11-08,1281.508544921875
2016-11-09,1306.39208984375
2016-11-10,1318.833984375
2016-11-11,1343.717529296875
2016-11-14,1311.3687744140625
2016-11-15,1293.9503173828125
2016-11-16,1300.917724609375
2016-11-17,1313.857177734375
2016-11-18,1318.833984375
2016-11-21,1318.833984375
2016-11-22,1313.857177734375
2016-11-23,1306.8897705078125
2016-11-24,1337.74560546875
2016-11-25,1342.72216796875
2016-11-28,1328.7874755859375
2016-11-29,1328.7874755859375
2016-11-30,1322.8153076171875
2016-12-01,1343.717529296875
2016-12-02,1393.48486328125
2016-12-05,1392.48974609375
2016-12-06,1393.48486328125
2016-12-07,1393.48486328125
2016-12-08,1440.266357421875
2016-12-09,1493.0194091796875
2016-12-12,1493.0194091796875
2016-12-13,1487.04736328125
2016-12-14,1483.0660400390625
2016-12-15,1493.0194091796875
2016-12-16,1536.814697265625
2016-12-19,1532.83349609375
2016-12-20,1507.9495849609375
2016-12-21,1473.1124267578125
2016-12-22,1469.1312255859375
2016-12-23,1462.163818359375
2016-12-28,1443.252197265625
2016-12-29,1433.2989501953125
2016-12-30,1445.24267578125
2017-01-03,1433.2989501953125
2017-01-04,1441.26123046875
2017-01-05,1453.205810546875
2017-01-06,1448.228759765625
2017-01-09,1446.2381591796875
2017-01-10,1438.275390625
2017-01-11,1438.275390625
2017-01-12,1441.26123046875
2017-01-13,1443.252197265625
2017-01-16,1434.294189453125
2017-01-17,1438.275390625
2017-01-18,1434.294189453125
2017-01-19,1437.2803955078125
2017-01-20,1479.0845947265625
2017-01-23,1489.0380859375
2017-01-24,1493.0194091796875
2017-01-25,1490.0335693359375
2017-01-26,1493.0194091796875
2017-01-27,1492.0242919921875
2017-01-30,1438.275390625
2017-01-31,1485.0567626953125
2017-02-01,1448.228759765625
2017-02-02,1450.2196044921875
2017-02-03,1443.252197265625
2017-02-06,1441.26123046875
2017-02-07,1448.228759765625
2017-02-08,1443.252197265625
2017-02-09,1440.266357421875
2017-02-10,1438.275390625
2017-02-13,1406.42431640625
2017-02-14,1405.428955078125
2017-02-15,1438.275390625
2017-02-16,1438.275390625
2017-02-17,1436.28466796875
2017-02-20,1433.2989501953125
2017-02-21,1405.428955078125
2017-02-22,1404.43359375
2017-02-23,1418.368408203125
2017-02-24,1414.3870849609375
2017-02-27,1425.3360595703125
2017-02-28,1410.4058837890625
2017-03-01,1423.3453369140625
2017-03-02,1399.4571533203125
2017-03-03,1408.415283203125
2017-03-06,1383.5313720703125
2017-03-07,1388.50830078125
2017-03-08,1408.415283203125
2017-03-09,1413.3916015625
2017-03-10,1401.4478759765625
2017-03-13,1405.428955078125
2017-03-14,1412.396484375
2017-03-15,1440.266357421875
2017-03-16,1437.2803955078125
2017-03-17,1490.0335693359375
2017-03-20,1516.90771484375
2017-03-21,1468.1358642578125
2017-03-22,1448.228759765625
2017-03-23,1468.1358642578125
2017-03-24,1461.1683349609375
2017-03-27,1473.1124267578125
2017-03-28,1493.0194091796875
2017-03-29,1487.04736328125
2017-03-30,1442.2568359375
2017-03-31,1490.0335693359375
2017-04-03,1489.0380859375
2017-04-04,1477.093994140625
2017-04-05,1493.0194091796875
2017-04-06,1478.08935546875
2017-04-07,1493.0194091796875
2017-04-10,1482.07080078125
2017-04-11,1531.8380126953125
2017-04-12,1497.0009765625
2017-04-13,1522.8798828125
2017-04-18,1509.9403076171875
2017-04-19,1529.847412109375
2017-04-20,1530.8426513671875
2017-04-21,1531.8380126953125
2017-04-24,1534.8240966796875
2017-04-25,1542.786865234375
2017-04-26,1576.628662109375
2017-04-27,1612.4610595703125
2017-04-28,1617.437744140625
2017-05-02,1632.3680419921875
2017-05-03,1606.48876953125
2017-05-04,1631.3729248046875
2017-05-05,1632.3680419921875
2017-05-08,1642.3216552734375
2017-05-09,1642.3216552734375
2017-05-10,1641.326171875
2017-05-11,1641.326171875
2017-05-12,1636.3492431640625
2017-05-15,1639.3355712890625
2017-05-16,1618.4332275390625
2017-05-17,1629.3819580078125
2017-05-18,1594.545166015625
2017-05-19,1595.5400390625
2017-05-22,1664.218994140625
2017-05-23,1667.2052001953125
2017-05-24,1692.088623046875
2017-05-25,1690.0980224609375
2017-05-26,1687.1121826171875
2017-05-30,1692.088623046875
2017-05-31,1692.088623046875
2017-06-01,1731.90283203125
2017-06-02,1746.8328857421875
2017-06-05,1692.088623046875
2017-06-06,1652.2750244140625
2017-06-07,1726.92578125
2017-06-08,1773.167724609375
2017-06-09,1811.0218505859375
2017-06-12,1804.048828125
2017-06-13,1802.0562744140625
2017-06-14,1736.309814453125
2017-06-15,1711.4058837890625
2017-06-16,1724.35595703125
2017-06-19,1723.359619140625
2017-06-20,1670.5631103515625
2017-06-21,1677.5362548828125
2017-06-22,1662.59375
2017-06-23,1661.597412109375
2017-06-26,1633.704833984375
2017-06-27,1625.73583984375
2017-06-28,1547.0390625
2017-06-29,1549.4197998046875
2017-06-30,1577.919921875
2017-07-03,1658.6090087890625
2017-07-04,1635.6973876953125
2017-07-05,1614.778076171875
2017-07-06,1652.6322021484375
2017-07-07,1632.709228515625
2017-07-10,1643.666748046875
2017-07-11,1643.666748046875
2017-07-12,1643.666748046875
2017-07-13,1650.639892578125
2017-07-14,1614.778076171875
2017-07-17,1622.7471923828125
2017-07-18,1633.704833984375
2017-07-19,1643.666748046875
2017-07-20,1643.666748046875
2017-07-21,1617.7664794921875
2017-07-24,1620.7547607421875
2017-07-25,1585.8892822265625
2017-07-26,1610.7933349609375
2017-07-27,1601.827880859375
2017-07-28,1608.8009033203125
2017-07-31,1668.5706787109375
2017-08-01,1649.6435546875
2017-08-02,1666.5784912109375
2017-08-03,1692.4786376953125
2017-08-04,1702.4404296875
2017-08-07,1650.639892578125
2017-08-08,1623.7432861328125
2017-08-09,1623.7432861328125
