Date,MAS
2015-08-03,22.890113830566406
2015-08-04,22.907424926757812
2015-08-05,22.682336807250977
2015-08-06,22.890113830566406
2015-08-07,23.227745056152344
2015-08-10,23.32297706604004
2015-08-11,23.461498260498047
2015-08-12,23.45284080505371
2015-08-13,23.40955352783203
2015-08-14,23.565385818481445
2015-08-17,23.91167640686035
2015-08-18,24.543672561645508
2015-08-19,24.31858253479004
2015-08-20,23.591358184814453
2015-08-21,22.96802520751953
2015-08-24,21.894515991210938
2015-08-25,21.5482177734375
2015-08-26,22.292757034301758
2015-08-27,22.760251998901367
2015-08-28,22.760251998901367
2015-08-31,22.70829963684082
2015-09-01,22.1975154876709
2015-09-02,22.682336807250977
2015-09-03,23.019977569580078
2015-09-04,22.70829963684082
2015-09-08,23.167142868041992
2015-09-09,23.028623580932617
2015-09-10,23.24506187438965
2015-09-11,23.470157623291016
2015-09-14,23.461498260498047
2015-09-15,23.807796478271484
2015-09-16,23.85108184814453
2015-09-17,23.85108184814453
2015-09-18,23.60001564025879
2015-09-21,23.625993728637695
2015-09-22,23.106542587280273
2015-09-23,22.98534393310547
2015-09-24,22.76890754699707
2015-09-25,22.67367935180664
2015-09-28,22.180206298828125
2015-09-29,21.27983856201172
2015-09-30,21.79928207397461
2015-10-01,22.223493576049805
2015-10-02,22.422611236572266
2015-10-05,22.907424926757812
2015-10-06,22.96802520751953
2015-10-07,23.267778396606445
2015-10-08,23.267778396606445
2015-10-09,23.467615127563477
2015-10-12,23.55450439453125
2015-10-13,23.137454986572266
2015-10-14,22.720407485961914
2015-10-15,22.920242309570312
2015-10-16,22.95499038696289
2015-10-19,23.06794548034668
2015-10-20,23.172199249267578
2015-10-21,23.328596115112305
2015-10-22,24.006296157836914
2015-10-23,23.954172134399414
2015-10-26,23.980239868164062
2015-10-27,24.640562057495117
2015-10-28,25.413833618164062
2015-10-29,24.918594360351562
2015-10-30,25.196626663208008
2015-11-02,25.500722885131836
2015-11-03,25.544158935546875
2015-11-04,25.214000701904297
2015-11-05,25.413833618164062
2015-11-06,24.849084854125977
2015-11-09,24.684001922607422
2015-11-10,25.02286148071289
2015-11-11,25.33563995361328
2015-11-12,24.90990447998047
2015-11-13,24.588430404663086
