Date,SPY
2015-08-03,176.84750366210938
2015-08-04,176.5018768310547
2015-08-05,177.0835418701172
2015-08-06,175.63365173339844
2015-08-07,175.29644775390625
2015-08-10,177.50503540039062
2015-08-11,175.90338134765625
2015-08-12,176.11416625976562
2015-08-13,175.8949737548828
2015-08-14,176.5355987548828
2015-08-17,177.5219268798828
2015-08-18,177.00772094726562
2015-08-19,175.6083221435547
2015-08-20,171.94140625
2015-08-21,166.76556396484375
2015-08-24,159.7435760498047
2015-08-25,157.86373901367188
2015-08-26,163.9247283935547
2015-08-27,167.97943115234375
2015-08-28,167.9878692626953
2015-08-31,166.6306915283203
2015-09-01,161.65713500976562
2015-09-02,164.72560119628906
2015-09-03,164.84356689453125
2015-09-04,162.348388671875
2015-09-08,166.42835998535156
2015-09-09,164.202880859375
2015-09-10,165.09646606445312
2015-09-11,165.84671020507812
2015-09-14,165.23133850097656
2015-09-15,167.29660034179688
2015-09-16,168.7465362548828
2015-09-17,168.36717224121094
2015-09-18,165.6157989501953
2015-09-21,166.4716339111328
2015-09-22,164.3108673095703
2015-09-23,164.0482635498047
2015-09-24,163.45506286621094
2015-09-25,163.41268920898438
2015-09-28,159.31146240234375
2015-09-29,159.40464782714844
2015-09-30,162.3789520263672
2015-10-01,162.8026123046875
2015-10-02,165.23455810546875
2015-10-05,168.17481994628906
2015-10-06,167.59864807128906
2015-10-07,168.97137451171875
2015-10-08,170.49656677246094
2015-10-09,170.59828186035156
2015-10-12,170.75924682617188
2015-10-13,169.68309020996094
2015-10-14,168.86964416503906
2015-10-15,171.46263122558594
2015-10-16,172.24215698242188
2015-10-19,172.3268585205078
2015-10-20,172.1065673828125
2015-10-21,171.0388946533203
2015-10-22,173.9283905029297
2015-10-23,175.83493041992188
2015-10-26,175.4027862548828
2015-10-27,175.06382751464844
2015-10-28,177.05511474609375
2015-10-29,176.95350646972656
2015-10-30,176.1908416748047
2015-11-02,178.27532958984375
2015-11-03,178.79222106933594
2015-11-04,178.24989318847656
2015-11-05,178.07196044921875
2015-11-06,177.97872924804688
2015-11-09,176.31793212890625
2015-11-10,176.7246551513672
2015-11-11,176.0298614501953
2015-11-12,173.57244873046875
2015-11-13,171.6235809326172
2015-11-16,174.23345947265625
2015-11-17,174.10635375976562
2015-11-18,176.8687286376953
2015-11-19,176.71621704101562
2015-11-20,177.36019897460938
2015-11-23,177.15684509277344
2015-11-24,177.3940887451172
2015-11-25,177.36866760253906
2015-11-27,177.57200622558594
2015-11-30,176.83477783203125
2015-12-01,178.52105712890625
2015-12-02,176.69927978515625
2015-12-03,174.2249755859375
2015-12-04,177.6228790283203
2015-12-07,176.5467529296875
2015-12-08,175.36038208007812
2015-12-09,173.99623107910156
2015-12-10,174.44528198242188
2015-12-11,171.0642852783203
2015-12-14,171.92861938476562
2015-12-15,173.73350524902344
2015-12-16,176.27557373046875
2015-12-17,173.58941650390625
2015-12-18,170.49691772460938
2015-12-21,171.9033660888672
2015-12-22,173.4633026123047
2015-12-23,175.61131286621094
2015-12-24,175.32151794433594
2015-12-28,174.92092895507812
2015-12-29,176.78759765625
2015-12-30,175.53463745117188
2015-12-31,173.7786407470703
2016-01-04,171.34934997558594
2016-01-05,171.63912963867188
2016-01-06,169.4740447998047
2016-01-07,165.40814208984375
2016-01-08,163.59251403808594
2016-01-11,163.75450134277344
2016-01-12,165.07568359375
2016-01-13,160.9586639404297
2016-01-14,163.60104370117188
2016-01-15,160.08917236328125
2016-01-19,160.30223083496094
2016-01-20,158.24790954589844
2016-01-21,159.13449096679688
2016-01-22,162.39918518066406
2016-01-25,159.9442138671875
2016-01-26,162.12640380859375
2016-01-27,160.36192321777344
2016-01-28,161.19725036621094
2016-01-29,165.12684631347656
2016-02-01,165.06715393066406
2016-02-02,162.09231567382812
2016-02-03,163.06402587890625
2016-02-04,163.3197784423828
2016-02-05,160.20848083496094
2016-02-08,158.0518798828125
2016-02-09,158.06040954589844
2016-02-10,157.9240264892578
2016-02-11,155.86978149414062
2016-02-12,159.0833282470703
2016-02-16,161.7683868408203
2016-02-17,164.4108428955078
2016-02-18,163.73745727539062
2016-02-19,163.66075134277344
2016-02-22,166.0303497314453
2016-02-23,163.93350219726562
2016-02-24,164.6835479736328
2016-02-25,166.6781463623047
2016-02-26,166.29458618164062
2016-02-29,164.9904327392578
2016-03-01,168.8688507080078
2016-03-02,169.6275177001953
2016-03-03,170.29234313964844
2016-03-04,170.84646606445312
2016-03-07,170.98281860351562
2016-03-08,169.11605834960938
2016-03-09,169.951416015625
2016-03-10,170.0877685546875
2016-03-11,172.83248901367188
2016-03-14,172.6109161376953
2016-03-15,172.32962036132812
2016-03-16,173.32691955566406
2016-03-17,174.42652893066406
2016-03-18,175.1119384765625
2016-03-21,175.36038208007812
2016-03-22,175.26617431640625
2016-03-23,174.1094970703125
