Date,TRGP
2015-08-03,51.56121826171875
2015-08-04,50.74124526977539
2015-08-05,47.77720260620117
2015-08-06,46.62316131591797
2015-08-07,44.89816665649414
2015-08-10,46.97544479370117
2015-08-11,47.005802154541016
2015-08-12,47.370243072509766
2015-08-13,45.53593063354492
2015-08-14,45.10469055175781
2015-08-17,45.748512268066406
2015-08-18,45.57844924926758
2015-08-19,44.114627838134766
2015-08-20,39.51063919067383
2015-08-21,38.642059326171875
2015-08-24,36.0120735168457
2015-08-25,35.665863037109375
2015-08-26,36.1578483581543
2015-08-27,38.8364372253418
2015-08-28,40.063358306884766
2015-08-31,40.12409591674805
2015-09-01,38.72710037231445
2015-09-02,38.47200012207031
2015-09-03,39.10975646972656
2015-09-04,38.56310272216797
2015-09-08,39.103675842285156
2015-09-09,38.635986328125
2015-09-10,37.91926956176758
2015-09-11,36.29146957397461
2015-09-14,35.68408203125
2015-09-15,35.98171615600586
2015-09-16,37.36655807495117
2015-09-17,37.59128952026367
2015-09-18,36.886714935302734
2015-09-21,37.530540466308594
2015-09-22,36.825984954833984
2015-09-23,34.208126068115234
2015-09-24,32.428489685058594
2015-09-25,32.79899215698242
2015-09-28,30.43625259399414
2015-09-29,29.71345329284668
2015-09-30,31.29266357421875
2015-10-01,31.620662689208984
2015-10-02,33.58253479003906
2015-10-05,36.75309371948242
2015-10-06,37.76743698120117
2015-10-07,38.70280456542969
2015-10-08,39.74144744873047
2015-10-09,38.982208251953125
2015-10-12,37.91926956176758
2015-10-13,37.29974365234375
2015-10-14,37.2086296081543
2015-10-15,37.755271911621094
2015-10-16,37.60343551635742
2015-10-19,37.51231384277344
2015-10-20,38.095428466796875
2015-10-21,36.94746398925781
2015-10-22,35.86629867553711
2015-10-23,35.629417419433594
2015-10-26,34.226348876953125
2015-10-27,32.17338180541992
2015-10-28,33.45497131347656
2015-10-29,33.899627685546875
2015-10-30,35.29540252685547
2015-11-02,35.95003890991211
2015-11-03,31.423084259033203
2015-11-04,30.959901809692383
2015-11-05,30.96607208251953
2015-11-06,29.87293243408203
2015-11-09,29.36650848388672
2015-11-10,28.810678482055664
2015-11-11,27.007307052612305
2015-11-12,25.389217376708984
2015-11-13,25.599197387695312
2015-11-16,26.741744995117188
2015-11-17,26.09326934814453
2015-11-18,26.544111251831055
2015-11-19,26.000621795654297
2015-11-20,24.808679580688477
2015-11-23,24.450481414794922
2015-11-24,25.648601531982422
2015-11-25,25.05571174621582
2015-11-27,24.666635513305664
2015-11-30,24.271371841430664
2015-12-01,23.666139602661133
2015-12-02,22.776796340942383
2015-12-03,22.245676040649414
2015-12-04,18.669811248779297
2015-12-07,16.075925827026367
2015-12-08,17.32345962524414
2015-12-09,19.39857292175293
2015-12-10,19.81235694885254
2015-12-11,17.551969528198242
2015-12-14,17.187591552734375
2015-12-15,17.44698143005371
2015-12-16,17.465505599975586
2015-12-17,16.316783905029297
2015-12-18,15.89682674407959
2015-12-21,16.094453811645508
2015-12-22,16.705869674682617
2015-12-23,17.40374755859375
2015-12-24,16.810861587524414
2015-12-28,16.100627899169922
2015-12-29,16.162385940551758
2015-12-30,16.08827781677246
2015-12-31,16.7120418548584
2016-01-04,16.55146598815918
2016-01-05,16.29207992553711
2016-01-06,14.321961402893066
2016-01-07,13.253528594970703
2016-01-08,13.951410293579102
2016-01-11,13.506742477416992
2016-01-12,13.599380493164062
2016-01-13,10.67199420928955
2016-01-14,11.604558944702148
2016-01-15,10.523772239685059
2016-01-19,9.893827438354492
2016-01-20,10.023517608642578
2016-01-21,11.573676109313965
2016-01-22,12.629759788513184
2016-01-25,12.815037727355957
2016-01-26,13.766133308410645
2016-01-27,13.889649391174316
2016-01-28,14.612234115600586
2016-01-29,14.432387351989746
2016-02-01,13.815789222717285
2016-02-02,13.828628540039062
2016-02-03,14.291085243225098
2016-02-04,15.10037612915039
2016-02-05,14.650766372680664
2016-02-08,12.691764831542969
2016-02-09,11.317255020141602
2016-02-10,11.664093971252441
2016-02-11,9.910626411437988
2016-02-12,10.456578254699707
2016-02-16,11.079604148864746
2016-02-17,13.224870681762695
2016-02-18,14.792078018188477
2016-02-19,13.732288360595703
2016-02-22,14.470928192138672
2016-02-23,13.597402572631836
2016-02-24,14.214009284973145
2016-02-25,15.607787132263184
2016-02-26,16.410659790039062
2016-02-29,17.264917373657227
2016-03-01,16.9823055267334
2016-03-02,17.464025497436523
2016-03-03,18.46601104736328
2016-03-04,18.947731018066406
2016-03-07,19.28814697265625
2016-03-08,17.374103546142578
2016-03-09,18.215513229370117
2016-03-10,17.52825927734375
2016-03-11,18.202667236328125
2016-03-14,18.69723129272461
2016-03-15,17.939321517944336
2016-03-16,19.423030853271484
2016-03-17,19.416601181030273
2016-03-18,19.108304977416992
2016-03-21,18.787155151367188
2016-03-22,19.19179916381836
2016-03-23,18.02281951904297
2016-03-24,18.029251098632812
2016-03-28,17.99713134765625
2016-03-29,18.1384334564209
2016-03-30,18.684385299682617
2016-03-31,19.1789493560791
2016-04-01,18.15128517150879
2016-04-04,17.675983428955078
2016-04-05,18.02281951904297
2016-04-06,18.421045303344727
2016-04-07,18.446735382080078
2016-04-08,18.99268913269043
2016-04-11,19.268878936767578
2016-04-12,20.675504684448242
2016-04-13,20.54704475402832
2016-04-14,20.624116897583008
2016-04-15,20.900306701660156
2016-04-18,21.510488510131836
2016-04-19,23.89983367919922
2016-04-20,24.272361755371094
2016-04-21,24.683429718017578
2016-04-22,25.479873657226562
2016-04-25,24.111791610717773
2016-04-26,24.47146987915039
2016-04-27,25.987289428710938
