Date,TCS.NS
2015-08-03,1072.6263427734375
2015-08-04,1072.3271484375
2015-08-05,1088.6756591796875
2015-08-06,1099.8525390625
2015-08-07,1090.769775390625
2015-08-10,1099.3394775390625
2015-08-11,1113.0592041015625
2015-08-12,1141.909423828125
2015-08-13,1126.47998046875
2015-08-14,1155.372802734375
2015-08-17,1147.4869384765625
2015-08-18,1171.48583984375
2015-08-19,1168.3662109375
2015-08-20,1148.384765625
2015-08-21,1143.8111572265625
2015-08-24,1102.13916015625
2015-08-25,1097.2237548828125
2015-08-26,1101.326904296875
2015-08-27,1100.429443359375
2015-08-28,1098.8050537109375
2015-08-31,1095.8983154296875
2015-09-01,1084.508056640625
2015-09-02,1107.759521484375
2015-09-03,1113.657470703125
2015-09-04,1088.803955078125
2015-09-07,1085.5126953125
2015-09-08,1085.7474365234375
2015-09-09,1089.7867431640625
2015-09-10,1087.927490234375
2015-09-11,1090.748779296875
2015-09-14,1090.5987548828125
2015-09-15,1084.4443359375
2015-09-16,1090.043212890625
2015-09-18,1090.427734375
2015-09-21,1090.342529296875
2015-09-22,1079.97802734375
2015-09-23,1082.4781494140625
2015-09-24,1102.8870849609375
2015-09-28,1108.5714111328125
2015-09-29,1106.2418212890625
2015-09-30,1106.156494140625
2015-10-01,1130.32666015625
2015-10-05,1158.984375
2015-10-06,1154.005126953125
2015-10-07,1134.322998046875
2015-10-08,1125.71044921875
2015-10-09,1123.9371337890625
2015-10-12,1108.101318359375
2015-10-13,1110.6444091796875
2015-10-14,1061.55615234375
2015-10-15,1054.7398681640625
2015-10-16,1056.5557861328125
2015-10-19,1063.7149658203125
2015-10-20,1079.9561767578125
2015-10-21,1081.3458251953125
2015-10-23,1086.76416015625
2015-10-26,1086.507080078125
2015-10-27,1084.1724853515625
2015-10-28,1083.3160400390625
2015-10-29,1068.859619140625
2015-10-30,1068.794921875
2015-11-02,1078.2830810546875
2015-11-03,1089.4625244140625
2015-11-04,1085.328857421875
2015-11-05,1063.4193115234375
2015-11-06,1073.31396484375
2015-11-09,1058.5794677734375
2015-11-10,1052.925048828125
2015-11-13,1026.9031982421875
2015-11-16,1017.1371459960938
2015-11-17,1023.968994140625
2015-11-18,1007.2213134765625
2015-11-19,1011.9756469726562
2015-11-20,1027.310302734375
2015-11-23,1024.1832275390625
2015-11-24,1014.288818359375
2015-11-26,1004.6942138671875
2015-11-27,1008.03515625
2015-11-30,1016.6876220703125
2015-12-01,1011.6974487304688
2015-12-02,1013.1106567382812
2015-12-03,1006.921142578125
2015-12-04,997.3479614257812
2015-12-07,993.663818359375
2015-12-08,997.60498046875
2015-12-09,1014.160400390625
2015-12-10,1021.399169921875
2015-12-11,1022.0203247070312
2015-12-14,1018.7863159179688
2015-12-15,1017.673095703125
2015-12-16,1031.6151123046875
2015-12-17,1045.043701171875
2015-12-18,1035.2132568359375
2015-12-21,1047.891845703125
2015-12-22,1030.1802978515625
2015-12-23,1039.068115234375
2015-12-24,1042.687744140625
2015-12-28,1054.8740234375
2015-12-29,1051.918701171875
2015-12-30,1035.85595703125
2015-12-31,1043.80126953125
2016-01-01,1035.0418701171875
2016-01-04,1014.9956665039062
2016-01-05,1006.1502685546875
2016-01-06,1020.1356811523438
2016-01-07,1015.7022094726562
2016-01-08,1026.989501953125
2016-01-11,1011.8901977539062
2016-01-12,996.76953125
2016-01-13,976.273681640625
2016-01-14,976.1024780273438
2016-01-15,968.5206298828125
2016-01-18,975.60986328125
2016-01-19,976.3165283203125
2016-01-20,976.6594848632812
2016-01-21,968.028564453125
2016-01-22,985.7403564453125
2016-01-25,989.5618286132812
2016-01-27,996.045654296875
2016-01-28,1000.9617919921875
2016-01-29,1026.7672119140625
2016-02-01,1031.662109375
2016-02-02,1029.68701171875
2016-02-03,1037.5015869140625
2016-02-04,1039.1119384765625
2016-02-05,1039.9273681640625
2016-02-08,1014.5941772460938
2016-02-09,979.5786743164062
2016-02-10,974.1686401367188
2016-02-11,943.7474975585938
2016-02-12,956.0493774414062
2016-02-15,974.3191528320312
2016-02-16,972.7733764648438
2016-02-17,977.067138671875
2016-02-18,994.3710327148438
2016-02-19,996.0026245117188
2016-02-22,994.3920288085938
2016-02-23,972.1077880859375
2016-02-24,949.3291625976562
2016-02-25,950.1451416015625
2016-02-26,949.1358642578125
2016-02-29,934.6663208007812
2016-03-01,977.539306640625
2016-03-02,995.6591186523438
2016-03-03,1018.9740600585938
2016-03-04,1012.2761840820312
2016-03-08,1010.8803100585938
2016-03-09,1012.1471557617188
2016-03-10,1008.30419921875
2016-03-11,1015.58203125
2016-03-14,1011.1807250976562
2016-03-15,1000.4036254882812
2016-03-16,999.1798706054688
2016-03-17,1009.9141845703125
2016-03-18,1041.6021728515625
2016-03-21,1050.3612060546875
2016-03-22,1061.89013671875
2016-03-23,1062.1905517578125
2016-03-28,1062.018798828125
2016-03-29,1060.301513671875
2016-03-30,1068.931640625
2016-03-31,1082.15673828125
2016-04-01,1053.646240234375
2016-04-04,1061.095947265625
2016-04-05,1057.4461669921875
2016-04-06,1065.6688232421875
2016-04-07,1060.902099609375
2016-04-08,1044.2642822265625
2016-04-11,1076.295654296875
2016-04-12,1081.233642578125
2016-04-13,1084.6903076171875
2016-04-18,1081.9210205078125
2016-04-20,1052.1224365234375
2016-04-21,1040.979248046875
2016-04-22,1037.823974609375
2016-04-25,1052.5084228515625
2016-04-26,1069.0609130859375
2016-04-27,1078.206787109375
2016-04-28,1085.355224609375
2016-04-29,1088.683349609375
2016-05-02,1084.9046630859375
2016-05-03,1064.036865234375
