Date,AGUAS-A.SN
2015-08-24,215.72496032714844
2015-08-25,215.82730102539062
2015-08-26,218.0494384765625
2015-08-27,219.22373962402344
2015-08-28,215.8394012451172
2015-08-31,216.22479248046875
2015-09-01,214.82167053222656
2015-09-02,213.9003448486328
2015-09-03,215.03843688964844
2015-09-04,212.5152587890625
2015-09-07,211.74441528320312
2015-09-08,210.99769592285156
2015-09-09,212.01547241210938
2015-09-10,214.3940887451172
2015-09-11,212.68385314941406
2015-09-14,214.62901306152344
2015-09-15,213.8341064453125
2015-09-16,214.15927124023438
2015-09-17,214.53863525390625
2015-09-21,214.47238159179688
2015-09-22,213.84609985351562
2015-09-23,212.7079315185547
2015-09-24,213.50885009765625
2015-09-25,212.74411010742188
2015-09-28,211.5999298095703
2015-09-29,214.15927124023438
2015-09-30,218.0373992919922
2015-10-01,217.79649353027344
2015-10-02,217.27862548828125
2015-10-05,219.13343811035156
2015-10-06,218.60348510742188
2015-10-07,217.9832305908203
2015-10-08,219.67535400390625
2015-10-09,220.54856872558594
2015-10-13,221.37356567382812
2015-10-14,220.1390380859375
2015-10-15,219.83799743652344
2015-10-16,218.9949188232422
2015-10-19,220.096923828125
2015-10-20,219.78981018066406
2015-10-21,219.41644287109375
2015-10-22,216.4415740966797
2015-10-23,218.4890594482422
2015-10-26,218.6094512939453
2015-10-27,219.3201141357422
2015-10-28,217.85072326660156
2015-10-29,217.65199279785156
2015-10-30,219.0069580078125
2015-11-02,218.8804473876953
2015-11-03,219.30804443359375
2015-11-04,219.71746826171875
2015-11-05,219.45252990722656
2015-11-06,218.36859130859375
2015-11-09,218.9647674560547
2015-11-10,219.15145874023438
2015-11-11,217.90492248535156
2015-11-12,219.72352600097656
2015-11-13,217.82664489746094
2015-11-16,217.0257110595703
2015-11-17,215.2913818359375
2015-11-18,218.29632568359375
2015-11-19,218.77806091308594
2015-11-20,219.07919311523438
2015-11-23,219.13943481445312
2015-11-24,217.5074462890625
2015-11-25,217.67605590820312
2015-11-26,216.96554565429688
2015-11-27,216.4716796875
2015-11-30,212.75608825683594
2015-12-01,214.34591674804688
2015-12-02,214.99627685546875
2015-12-03,214.86383056640625
2015-12-04,216.98358154296875
2015-12-07,215.4539794921875
2015-12-09,213.6413116455078
2015-12-10,216.6703643798828
2015-12-11,216.29702758789062
2015-12-14,214.0688934326172
2015-12-15,214.79759216308594
2015-12-16,217.76638793945312
2015-12-17,217.5677032470703
2015-12-18,213.9183807373047
2015-12-21,212.00938415527344
2015-12-22,213.85821533203125
2015-12-23,215.95982360839844
2015-12-24,217.53758239746094
2015-12-28,218.20602416992188
2015-12-29,215.3395233154297
2015-12-30,218.94668579101562
2015-12-31,218.94668579101562
2016-01-04,216.59817504882812
2016-01-05,214.99627685546875
2016-01-06,219.39837646484375
2016-01-07,218.10362243652344
2016-01-08,217.66159057617188
2016-01-11,216.741455078125
2016-01-12,216.55747985839844
2016-01-13,216.96841430664062
2016-01-14,217.17088317871094
2016-01-15,216.35507202148438
2016-01-18,215.9685821533203
2016-01-19,215.60665893554688
2016-01-20,214.6865234375
2016-01-21,213.49644470214844
2016-01-22,213.99331665039062
2016-01-25,214.70486450195312
2016-01-26,216.52679443359375
2016-01-27,217.4775848388672
2016-01-28,217.6309356689453
2016-01-29,219.47120666503906
2016-02-01,218.97433471679688
2016-02-02,218.2934112548828
2016-02-03,219.520263671875
2016-02-04,219.9374237060547
2016-02-05,220.78395080566406
2016-02-08,220.52017211914062
2016-02-09,221.90036010742188
2016-02-10,220.93731689453125
2016-02-11,221.20103454589844
2016-02-12,220.29319763183594
2016-02-15,221.45875549316406
2016-02-16,223.17628479003906
2016-02-17,223.029052734375
2016-02-18,223.28057861328125
2016-02-19,222.98617553710938
2016-02-22,222.50149536132812
2016-02-23,222.35430908203125
2016-02-24,221.31759643554688
2016-02-25,222.61807250976562
2016-02-26,222.581298828125
2016-02-29,222.11508178710938
2016-03-01,223.05972290039062
2016-03-02,222.6793975830078
2016-03-03,223.23150634765625
2016-03-04,223.3603973388672
2016-03-07,223.04745483398438
2016-03-08,223.1517791748047
2016-03-09,223.67930603027344
2016-03-10,225.7158966064453
2016-03-11,227.0531463623047
2016-03-14,227.80149841308594
2016-03-15,228.02850341796875
2016-03-16,228.5131072998047
2016-03-17,229.752197265625
2016-03-18,236.42013549804688
2016-03-21,235.635009765625
2016-03-22,233.3162384033203
2016-03-23,229.99754333496094
2016-03-24,231.13848876953125
2016-03-28,234.19956970214844
2016-03-29,237.0335693359375
2016-03-30,239.72039794921875
2016-03-31,234.8068084716797
2016-04-01,236.30360412597656
2016-04-04,236.4691619873047
2016-04-05,234.38356018066406
2016-04-06,231.67837524414062
2016-04-07,228.7830047607422
2016-04-08,233.01564025878906
2016-04-11,233.91127014160156
2016-04-12,235.984619140625
2016-04-13,234.91111755371094
2016-04-14,235.88644409179688
2016-04-15,232.75796508789062
2016-04-18,233.73336791992188
2016-04-19,234.1259765625
2016-04-20,235.56134033203125
2016-04-21,235.79443359375
2016-04-22,237.3096466064453
2016-04-25,238.2420196533203
2016-04-26,237.0948944091797
2016-04-27,237.3463897705078
2016-04-28,237.42611694335938
2016-04-29,234.81297302246094
2016-05-02,235.7698974609375
2016-05-03,236.94769287109375
2016-05-04,237.530517578125
2016-05-05,239.10690307617188
2016-05-06,242.1740264892578
2016-05-09,241.21713256835938
2016-05-10,241.01466369628906
2016-05-11,239.6283416748047
2016-05-12,239.3277587890625
2016-05-13,240.95338439941406
2016-05-16,238.3646697998047
2016-05-17,240.9288330078125
