Date,LGEN.L
2015-08-24,242.69639587402344
2015-08-25,251.93157958984375
2015-08-26,246.27134704589844
2015-08-27,252.4281005859375
2015-08-28,250.93856811523438
2015-09-01,244.9803924560547
2015-09-02,247.26438903808594
2015-09-03,251.03785705566406
2015-09-04,245.4769287109375
2015-09-07,248.8532257080078
2015-09-08,251.43504333496094
2015-09-09,254.71206665039062
2015-09-10,252.9246063232422
2015-09-11,251.23646545410156
2015-09-14,249.9455108642578
2015-09-15,249.64764404296875
2015-09-16,249.74693298339844
2015-09-17,248.2574005126953
2015-09-18,243.6894073486328
2015-09-21,246.27134704589844
2015-09-22,237.13548278808594
2015-09-23,240.90902709960938
2015-09-24,236.7382354736328
2015-09-25,242.89501953125
2015-09-28,236.6389617919922
2015-09-29,228.79397583007812
2015-09-30,236.44033813476562
2015-10-01,234.95079040527344
2015-10-02,241.0082550048828
2015-10-05,248.75389099121094
2015-10-06,245.27830505371094
2015-10-07,249.44898986816406
2015-10-08,250.14414978027344
2015-10-09,248.95249938964844
2015-10-12,249.3497314453125
2015-10-13,245.6754913330078
2015-10-14,241.4054718017578
2015-10-15,244.08668518066406
2015-10-16,246.96646118164062
2015-10-19,247.66159057617188
2015-10-20,248.0587921142578
2015-10-21,250.24343872070312
2015-10-22,252.62667846679688
2015-10-23,254.71206665039062
2015-10-26,254.91065979003906
2015-10-27,256.896728515625
2015-10-28,260.76959228515625
2015-10-29,261.36541748046875
2015-10-30,259.7765197753906
2015-11-02,260.76959228515625
2015-11-03,260.3724060058594
2015-11-04,265.7347106933594
2015-11-05,266.6284484863281
2015-11-06,266.33050537109375
2015-11-09,265.0395202636719
2015-11-10,263.45068359375
2015-11-11,266.13189697265625
2015-11-12,262.5569763183594
2015-11-13,259.97503662109375
2015-11-16,260.76959228515625
2015-11-17,265.7347106933594
2015-11-18,264.44378662109375
2015-11-19,266.4298095703125
2015-11-20,267.4228515625
2015-11-23,266.13189697265625
2015-11-24,266.13189697265625
2015-11-25,270.00469970703125
2015-11-26,269.5081787109375
2015-11-27,270.8984680175781
2015-11-30,269.6075134277344
2015-12-01,272.9837646484375
2015-12-02,270.7992248535156
2015-12-03,265.2381591796875
2015-12-04,265.436767578125
2015-12-07,266.529052734375
2015-12-08,263.5500183105469
2015-12-09,261.7626037597656
2015-12-10,261.36541748046875
2015-12-11,256.49957275390625
2015-12-14,251.43504333496094
2015-12-15,258.3862609863281
2015-12-16,260.1737976074219
2015-12-17,261.5639953613281
2015-12-18,259.97503662109375
2015-12-21,261.36541748046875
2015-12-22,261.5639953613281
2015-12-23,265.9332580566406
2015-12-24,267.4228515625
2015-12-29,270.10406494140625
2015-12-30,267.7208251953125
2015-12-31,265.9332580566406
2016-01-04,257.2939147949219
2016-01-05,259.7765197753906
2016-01-06,254.51345825195312
2016-01-07,245.6754913330078
2016-01-08,244.2852783203125
2016-01-11,243.09364318847656
2016-01-12,243.9873504638672
2016-01-13,245.87408447265625
2016-01-14,243.49082946777344
2016-01-15,237.433349609375
2016-01-18,237.33404541015625
2016-01-19,242.79571533203125
2016-01-20,232.071044921875
2016-01-21,234.25567626953125
2016-01-22,236.34100341796875
2016-01-25,233.0640106201172
2016-01-26,233.7591552734375
2016-01-27,235.74522399902344
2016-01-28,232.66680908203125
2016-01-29,241.8026885986328
2016-02-01,238.4264373779297
2016-02-02,222.43862915039062
2016-02-03,216.4804229736328
2016-02-04,214.69297790527344
2016-02-05,210.42291259765625
2016-02-08,201.58499145507812
2016-02-09,200.9891815185547
2016-02-10,208.23829650878906
2016-02-11,198.1094207763672
2016-02-12,206.25225830078125
2016-02-15,210.62155151367188
2016-02-16,210.22438049316406
2016-02-17,225.02053833007812
2016-02-18,221.74351501464844
2016-02-19,220.4525604248047
2016-02-22,223.63026428222656
2016-02-23,217.27487182617188
2016-02-24,212.30967712402344
2016-02-25,218.1685791015625
2016-02-26,224.5240020751953
2016-02-29,225.41769409179688
2016-03-01,234.65289306640625
2016-03-02,234.95079040527344
2016-03-03,234.25567626953125
2016-03-04,237.83055114746094
2016-03-07,235.74522399902344
2016-03-08,232.17030334472656
2016-03-09,232.9647216796875
2016-03-10,233.2626190185547
2016-03-11,240.41246032714844
2016-03-14,241.90200805664062
2016-03-15,226.51004028320312
2016-03-16,233.16334533691406
2016-03-17,236.6389617919922
2016-03-18,239.51873779296875
2016-03-21,239.022216796875
2016-03-22,237.433349609375
2016-03-23,237.53265380859375
2016-03-24,229.48912048339844
2016-03-29,230.97866821289062
2016-03-30,233.7591552734375
2016-03-31,233.56053161621094
2016-04-01,229.48912048339844
2016-04-04,230.08493041992188
2016-04-05,227.50306701660156
2016-04-06,230.87937927246094
2016-04-07,225.91419982910156
2016-04-08,232.17030334472656
2016-04-11,232.56748962402344
2016-04-12,236.14242553710938
2016-04-13,242.1006317138672
2016-04-14,241.10752868652344
2016-04-15,237.433349609375
2016-04-18,238.5257110595703
2016-04-19,242.00128173828125
2016-04-20,243.6894073486328
2016-04-21,244.88108825683594
2016-04-22,242.89501953125
2016-04-25,241.4054718017578
2016-04-26,239.022216796875
2016-04-27,236.04310607910156
2016-04-28,225.71080017089844
2016-04-29,221.63763427734375
2016-05-03,217.86257934570312
2016-05-04,217.56455993652344
2016-05-05,216.37240600585938
2016-05-06,214.38551330566406
2016-05-09,216.86915588378906
2016-05-10,216.769775390625
2016-05-11,215.57765197753906
2016-05-12,212.6966552734375
2016-05-13,213.98814392089844
2016-05-16,215.37893676757812
2016-05-17,218.75668334960938
2016-05-18,221.93568420410156
2016-05-19,219.1540985107422
2016-05-20,223.92257690429688
2016-05-23,223.5251922607422
2016-05-24,234.94981384277344
2016-05-25,237.93019104003906
2016-05-26,237.0360870361328
2016-05-27,238.42689514160156
2016-05-31,237.83079528808594
2016-06-01,234.25442504882812
2016-06-02,234.15505981445312
2016-06-03,231.27410888671875
2016-06-06,233.5590057373047
2016-06-07,231.7707977294922
2016-06-08,232.66490173339844
2016-06-09,228.98912048339844
2016-06-10,221.04159545898438
2016-06-13,216.6704559326172
2016-06-14,210.80909729003906
2016-06-15,212.9946746826172
2016-06-16,209.91500854492188
2016-06-17,213.98814392089844
2016-06-20,224.7173309326172
2016-06-21,228.29373168945312
2016-06-22,232.06886291503906
2016-06-23,234.85049438476562
2016-06-24,187.26443481445312
2016-06-27,163.91848754882812
2016-06-28,176.8332977294922
2016-06-29,187.46315002441406
2016-06-30,189.45001220703125
2016-07-01,189.94674682617188
2016-07-04,185.7742462158203
2016-07-05,172.5614471435547
2016-07-06,165.90538024902344
2016-07-07,170.2765350341797
2016-07-08,175.83984375
2016-07-11,182.39654541015625
2016-07-12,187.66184997558594
2016-07-13,184.58213806152344
2016-07-14,188.75457763671875
2016-07-15,187.3638458251953
2016-07-18,189.94674682617188
2016-07-19,190.14547729492188
2016-07-20,196.00677490234375
2016-07-21,194.71531677246094
2016-07-22,194.1191864013672
2016-07-25,198.09298706054688
2016-07-26,197.99366760253906
2016-07-27,202.4641571044922
2016-07-28,199.28514099121094
2016-07-29,204.35169982910156
2016-08-01,204.5503692626953
2016-08-02,203.954345703125
2016-08-03,204.0536346435547
2016-08-04,207.63003540039062
2016-08-05,212.10060119628906
2016-08-08,216.6704559326172
2016-08-09,204.6497344970703
2016-08-10,211.40518188476562
2016-08-11,211.80252075195312
2016-08-12,211.60385131835938
2016-08-15,214.18679809570312
2016-08-16,210.31240844726562
2016-08-17,209.21958923339844
2016-08-18,206.97393798828125
2016-08-19,204.5892333984375
2016-08-22,205.48353576660156
2016-08-23,208.66314697265625
2016-08-24,209.0606231689453
2016-08-25,205.88101196289062
2016-08-26,205.98036193847656
2016-08-30,207.4707794189453
2016-08-31,208.96124267578125
2016-09-01,209.55743408203125
2016-09-02,215.02244567871094
2016-09-05,214.2274932861328
2016-09-06,212.93577575683594
2016-09-07,212.83642578125
2016-09-08,215.6186065673828
2016-09-09,214.32688903808594
2016-09-12,208.5637969970703
2016-09-13,206.07969665527344
2016-09-14,207.5701446533203
2016-09-15,209.85552978515625
2016-09-16,207.1727294921875
2016-09-19,211.44534301757812
2016-09-20,213.33326721191406
2016-09-21,221.1829833984375
2016-09-22,222.77276611328125
2016-09-23,222.5740509033203
2016-09-26,217.2084197998047
2016-09-27,214.8236846923828
2016-09-28,217.60589599609375
2016-09-29,217.4071502685547
2016-09-30,217.30780029296875
2016-10-03,215.22113037109375
2016-10-04,219.0963134765625
2016-10-05,220.68614196777344
