Date,VER.VI
2015-08-24,9.879405975341797
2015-08-25,10.204230308532715
2015-08-26,10.010128021240234
2015-08-27,10.243842124938965
2015-08-28,10.220074653625488
2015-08-31,9.986360549926758
2015-09-01,9.891289710998535
2015-09-02,9.827909469604492
2015-09-03,9.855637550354004
2015-09-04,9.586270332336426
2015-09-07,9.281253814697266
2015-09-08,9.269370079040527
2015-09-09,9.27729320526123
2015-09-10,9.312943458557129
2015-09-11,9.265409469604492
2015-09-14,9.27729320526123
2015-09-15,9.328789710998535
2015-09-16,9.229756355285645
2015-09-17,9.376323699951172
2015-09-18,9.205989837646484
2015-09-21,9.289176940917969
2015-09-22,9.17825984954834
2015-09-23,9.269370079040527
2015-09-24,9.194104194641113
2015-09-25,9.336711883544922
2015-09-28,9.503083229064941
2015-09-29,9.30898380279541
2015-09-30,9.404052734375
2015-10-01,9.455551147460938
2015-10-02,9.653614044189453
2015-10-05,9.827909469604492
2015-10-06,9.83979320526123
2015-10-07,9.899210929870605
2015-10-08,9.819986343383789
2015-10-09,9.859599113464355
2015-10-12,10.057662010192871
2015-10-13,9.812064170837402
2015-10-14,9.986360549926758
2015-10-15,10.164616584777832
2015-10-16,10.53697681427002
2015-10-19,10.588473320007324
2015-10-20,10.731078147888184
2015-10-21,10.735039710998535
2015-10-22,11.147012710571289
2015-10-23,10.85783863067627
2015-10-27,10.354757308959961
2015-10-28,10.390409469604492
2015-10-29,10.144811630249023
2015-10-30,10.196308135986328
2015-11-02,10.267608642578125
2015-11-03,10.180461883544922
2015-11-04,10.984599113464355
2015-11-05,10.97271728515625
2015-11-06,11.091553688049316
2015-11-09,10.97271728515625
2015-11-10,10.774653434753418
2015-11-11,10.77069091796875
2015-11-12,10.588473320007324
2015-11-13,10.469635009765625
2015-11-16,10.643930435180664
2015-11-17,10.782574653625488
2015-11-18,10.841995239257812
2015-11-19,10.933104515075684
2015-11-20,10.861799240112305
2015-11-23,10.620162963867188
2015-11-24,10.485479354858398
2015-11-25,10.342873573303223
2015-11-26,10.437944412231445
2015-11-27,10.378525733947754
2015-11-30,10.382487297058105
2015-12-01,10.485479354858398
2015-12-02,10.540936470031738
2015-12-03,10.433982849121094
2015-12-04,10.374566078186035
2015-12-07,10.267608642578125
2015-12-09,10.113121032714844
2015-12-10,9.867521286010742
2015-12-11,9.665496826171875
2015-12-14,9.54665756225586
2015-12-15,9.816024780273438
2015-12-16,9.99032211303711
2015-12-17,9.966553688049316
2015-12-18,9.665496826171875
2015-12-21,9.487238883972168
2015-12-22,9.495162963867188
2015-12-23,9.732837677001953
2015-12-28,9.50704574584961
2015-12-29,9.514969825744629
2015-12-30,9.396129608154297
2016-01-04,9.48327922821045
2016-01-05,9.55854320526123
2016-01-07,9.30898380279541
2016-01-08,9.051501274108887
2016-01-11,8.85739803314209
2016-01-12,8.635565757751465
2016-01-13,8.528613090515137
2016-01-14,8.42165756225586
2016-01-15,8.3978910446167
2016-01-18,8.20775032043457
2016-01-19,8.389969825744629
2016-01-20,8.24736213684082
2016-01-21,8.362238883972168
2016-01-22,8.548418045043945
2016-01-25,8.528613090515137
2016-01-26,8.833630561828613
2016-01-27,8.762327194213867
2016-01-28,8.71875286102295
2016-01-29,8.837591171264648
2016-02-01,8.580108642578125
2016-02-02,8.556342124938965
2016-02-03,8.48900032043457
2016-02-04,8.900972366333008
2016-02-05,8.671217918395996
2016-02-08,8.358278274536133
2016-02-09,8.298858642578125
2016-02-10,8.191905975341797
2016-02-11,8.045336723327637
2016-02-12,8.172097206115723
2016-02-15,8.3978910446167
2016-02-16,8.425620079040527
2016-02-17,8.556342124938965
2016-02-18,8.366201400756836
2016-02-19,8.310742378234863
2016-02-22,8.386007308959961
2016-02-23,8.041376113891602
2016-02-24,8.057221412658691
2016-02-25,7.958190441131592
2016-02-26,8.021570205688477
2016-02-29,7.9502668380737305
2016-03-01,8.259245872497559
2016-03-02,8.283013343811035
2016-03-03,8.362238883972168
2016-03-04,8.552380561828613
2016-03-07,8.528613090515137
2016-03-08,8.584070205688477
2016-03-09,8.540495872497559
2016-03-10,8.366201400756836
2016-03-11,8.413735389709473
2016-03-14,8.57614803314209
2016-03-15,8.330550193786621
2016-03-16,8.24736213684082
2016-03-17,8.445425987243652
2016-03-18,8.73063850402832
2016-03-21,8.683101654052734
2016-03-22,8.631606101989746
2016-03-23,8.544458389282227
2016-03-24,8.425620079040527
2016-03-29,8.43354320526123
2016-03-30,8.869282722473145
2016-03-31,8.897010803222656
2016-04-01,8.924741744995117
2016-04-04,8.833630561828613
2016-04-05,8.853436470031738
2016-04-06,8.73063850402832
2016-04-07,8.845513343811035
2016-04-08,8.841553688049316
2016-04-11,9.027732849121094
2016-04-12,9.158455848693848
2016-04-13,9.221834182739258
2016-04-14,9.182221412658691
2016-04-15,9.419898986816406
2016-04-18,9.392168045043945
2016-04-19,9.29313850402832
2016-04-20,9.521790504455566
2016-04-21,9.685114860534668
2016-04-22,9.7626953125
2016-04-25,9.472793579101562
2016-04-26,9.725946426391602
2016-04-27,9.885187149047852
2016-04-28,9.881105422973633
2016-04-29,9.962766647338867
2016-05-02,9.917852401733398
2016-05-03,9.73819637298584
2016-05-04,9.676949501037598
2016-05-06,9.87293815612793
2016-05-09,9.644283294677734
2016-05-10,9.860688209533691
2016-05-11,9.742279052734375
2016-05-12,9.676949501037598
2016-05-13,9.595288276672363
2016-05-17,9.562623977661133
2016-05-18,9.358467102050781
2016-05-19,9.30130386352539
2016-05-20,9.456461906433105
2016-05-23,9.538125038146973
2016-05-24,9.615702629089355
