Date,SCHAEFFLER.NS
2015-08-21,875.6702880859375
2015-08-24,837.3445434570312
2015-08-25,804.2868041992188
2015-08-26,795.613037109375
2015-08-27,797.0901489257812
2015-08-28,787.3909912109375
2015-08-31,787.4851684570312
2015-09-01,780.0343627929688
2015-09-02,824.032958984375
2015-09-03,824.7008666992188
2015-09-04,807.6640014648438
2015-09-07,782.7061157226562
2015-09-08,776.7230224609375
2015-09-09,779.3289184570312
2015-09-10,774.9639282226562
2015-09-11,773.637451171875
2015-09-14,769.8649291992188
2015-09-15,778.0118408203125
2015-09-16,778.9149169921875
2015-09-18,778.2752685546875
2015-09-21,790.6647338867188
2015-09-22,783.3834838867188
2015-09-23,789.987548828125
2015-09-24,788.2188720703125
2015-09-28,781.2197265625
2015-09-29,754.69091796875
2015-09-30,759.1687622070312
2015-10-01,772.263916015625
2015-10-05,798.90576171875
2015-10-06,784.1266479492188
2015-10-07,804.173828125
2015-10-08,771.7183227539062
2015-10-09,758.6514282226562
2015-10-12,752.7247314453125
2015-10-13,775.7540283203125
2015-10-14,771.8782958984375
2015-10-15,765.5564575195312
2015-10-16,761.0597534179688
2015-10-19,758.115234375
2015-10-20,756.8921508789062
2015-10-21,754.8884887695312
2015-10-23,757.2120361328125
2015-10-26,762.6589965820312
2015-10-27,764.0982666015625
2015-10-28,765.7727661132812
2015-10-29,768.9901123046875
2015-10-30,780.4483032226562
2015-11-02,764.634521484375
2015-11-03,770.6928100585938
2015-11-04,769.8556518554688
2015-11-05,740.3163452148438
2015-11-06,742.8846435546875
2015-11-09,734.1261596679688
2015-11-10,746.9674072265625
2015-11-13,738.2936401367188
2015-11-16,730.4009399414062
2015-11-17,720.3632202148438
2015-11-18,739.2344970703125
2015-11-19,743.3832397460938
2015-11-20,746.6851806640625
2015-11-23,730.5045776367188
2015-11-24,732.4046630859375
2015-11-26,731.4922485351562
2015-11-27,741.3040161132812
2015-11-30,745.067138671875
2015-12-01,743.2704467773438
2015-12-02,763.4491577148438
2015-12-03,765.74462890625
2015-12-04,782.3580932617188
2015-12-07,777.4097900390625
2015-12-08,759.3004760742188
2015-12-09,752.7341918945312
2015-12-10,754.0040893554688
2015-12-11,753.6372680664062
2015-12-14,774.37109375
2015-12-15,792.3300170898438
2015-12-16,784.164306640625
2015-12-17,783.6092529296875
2015-12-18,797.9838256835938
2015-12-21,804.4560546875
2015-12-22,795.1051635742188
2015-12-23,803.5623779296875
2015-12-24,812.132568359375
2015-12-28,812.6876831054688
2015-12-29,819.4984741210938
2015-12-30,825.1240844726562
2015-12-31,828.096923828125
2016-01-01,812.7910766601562
2016-01-04,802.1324462890625
2016-01-05,802.3958129882812
2016-01-06,776.779541015625
2016-01-07,760.8245239257812
2016-01-08,751.181884765625
2016-01-11,742.2260131835938
2016-01-12,739.9024658203125
2016-01-13,736.6944580078125
2016-01-14,736.4969482421875
2016-01-15,732.2823486328125
2016-01-18,741.3135375976562
2016-01-19,725.8759765625
2016-01-20,712.6868286132812
2016-01-21,712.7713623046875
2016-01-22,734.7472534179688
2016-01-25,738.4818725585938
2016-01-27,734.2202758789062
2016-01-28,738.8582763671875
2016-01-29,745.8573608398438
2016-02-01,746.3652954101562
2016-02-02,737.5505981445312
2016-02-03,732.818603515625
2016-02-04,716.675537109375
2016-02-05,743.1856079101562
2016-02-08,743.22314453125
2016-02-09,750.4010620117188
2016-02-10,750.2505493164062
2016-02-11,720.9370727539062
2016-02-12,707.8795166015625
2016-02-15,750.9091186523438
2016-02-16,753.2327270507812
2016-02-17,749.8930053710938
2016-02-18,749.5167846679688
2016-02-19,733.731201171875
2016-02-22,752.1321411132812
2016-02-23,744.3333129882812
2016-02-24,730.9558715820312
2016-02-25,729.4789428710938
2016-02-26,720.419677734375
2016-02-29,715.3302612304688
2016-03-01,735.5279541015625
2016-03-02,718.5381469726562
2016-03-03,734.0040283203125
2016-03-04,732.6775512695312
2016-03-08,733.7593383789062
2016-03-09,733.843994140625
2016-03-10,724.3425903320312
2016-03-11,721.021728515625
2016-03-14,724.53076171875
2016-03-15,720.3538818359375
2016-03-16,715.1892700195312
2016-03-17,715.612548828125
2016-03-18,727.3248291015625
2016-03-21,726.807373046875
2016-03-22,724.2955322265625
2016-03-23,714.7658081054688
2016-03-28,710.9276123046875
2016-03-29,712.7808227539062
2016-03-30,712.0470581054688
2016-03-31,714.5494995117188
2016-04-01,719.1027221679688
2016-04-04,718.2843017578125
2016-04-05,730.07177734375
2016-04-06,725.2081298828125
2016-04-07,733.8629150390625
2016-04-08,746.3182373046875
2016-04-11,751.6804809570312
2016-04-12,756.7886962890625
2016-04-13,753.610595703125
2016-04-18,745.2642822265625
2016-04-20,784.9398803710938
2016-04-21,793.5408325195312
2016-04-22,771.1331176757812
2016-04-25,776.527587890625
2016-04-26,784.3363037109375
2016-04-27,770.4540405273438
2016-04-28,745.782958984375
2016-04-29,748.272705078125
2016-05-02,743.7271118164062
2016-05-03,738.6719970703125
2016-05-04,731.5328979492188
2016-05-05,745.9620971679688
2016-05-06,744.1136474609375
2016-05-09,738.2288818359375
2016-05-10,744.2739868164062
2016-05-11,745.8017578125
2016-05-12,753.5068359375
2016-05-13,744.519287109375
2016-05-16,745.1510009765625
2016-05-17,738.6719970703125
2016-05-18,740.01123046875
2016-05-19,739.7849731445312
2016-05-20,732.66455078125
2016-05-23,735.6260375976562
2016-05-24,735.5693969726562
2016-05-25,744.00048828125
2016-05-26,744.7832641601562
2016-05-27,746.0187377929688
2016-05-30,746.5186157226562
2016-05-31,745.037841796875
2016-06-01,745.037841796875
