Date,EXIDEIND.NS
2015-08-21,138.0509490966797
2015-08-24,132.01173400878906
2015-08-25,137.1562042236328
2015-08-26,136.79835510253906
2015-08-27,140.24290466308594
2015-08-28,137.87197875976562
2015-08-31,137.42465209960938
2015-09-01,132.72752380371094
2015-09-02,133.13011169433594
2015-09-03,133.44325256347656
2015-09-04,132.2354278564453
2015-09-07,131.60914611816406
2015-09-08,132.5038604736328
2015-09-09,133.3538055419922
2015-09-10,134.56163024902344
2015-09-11,132.5038604736328
2015-09-14,133.04063415527344
2015-09-15,133.39852905273438
2015-09-16,133.0854034423828
2015-09-18,132.05648803710938
2015-09-21,137.11148071289062
2015-09-22,136.61940002441406
2015-09-23,136.39573669433594
2015-09-24,142.61383056640625
2015-09-28,139.52716064453125
2015-09-29,136.3509979248047
2015-09-30,139.2587432861328
2015-10-01,135.99313354492188
2015-10-05,136.61940002441406
2015-10-06,136.61940002441406
2015-10-07,142.07705688476562
2015-10-08,139.39297485351562
2015-10-09,135.99313354492188
2015-10-12,136.21678161621094
2015-10-13,134.874755859375
2015-10-14,134.56163024902344
2015-10-15,134.9642333984375
2015-10-16,135.99313354492188
2015-10-19,139.34823608398438
2015-10-20,139.39297485351562
2015-10-21,143.82167053222656
2015-10-23,142.07705688476562
2015-10-26,145.1189727783203
2015-10-27,144.40322875976562
2015-10-28,144.0006103515625
2015-10-29,139.61663818359375
2015-10-30,133.75637817382812
2015-11-02,136.4852294921875
2015-11-03,133.39852905273438
2015-11-04,131.92225646972656
2015-11-05,131.06300354003906
2015-11-06,129.29920959472656
2015-11-09,130.8821258544922
2015-11-10,128.21377563476562
2015-11-13,131.24391174316406
2015-11-16,133.18858337402344
2015-11-17,132.9624481201172
2015-11-18,133.2338104248047
2015-11-19,134.86192321777344
2015-11-20,134.590576171875
2015-11-23,134.6810302734375
2015-11-24,134.590576171875
2015-11-26,134.4548797607422
2015-11-27,134.27395629882812
2015-11-30,133.64088439941406
2015-12-01,132.0579833984375
2015-12-02,131.24391174316406
2015-12-03,129.34445190429688
2015-12-04,127.80677795410156
2015-12-07,127.53546905517578
2015-12-08,126.35955047607422
2015-12-09,124.4148941040039
2015-12-10,126.04299926757812
2015-12-11,126.5856704711914
2015-12-14,127.49020385742188
2015-12-15,129.84193420410156
2015-12-16,130.20370483398438
2015-12-17,131.2891387939453
2015-12-18,131.37957763671875
2015-12-21,131.65093994140625
2015-12-22,130.52029418945312
2015-12-23,129.29920959472656
2015-12-24,131.24391174316406
2015-12-28,132.32928466796875
2015-12-29,132.5102081298828
2015-12-30,132.9624481201172
2015-12-31,132.4650115966797
2016-01-01,133.36947631835938
2016-01-04,130.92730712890625
2016-01-05,128.7565155029297
2016-01-06,128.3042755126953
2016-01-07,125.95252990722656
2016-01-08,128.7565155029297
2016-01-11,126.35955047607422
2016-01-12,126.49525451660156
2016-01-13,124.82190704345703
2016-01-14,125.22894287109375
2016-01-15,121.83702850341797
2016-01-18,117.4501724243164
2016-01-19,115.5054931640625
2016-01-20,113.0633316040039
2016-01-21,108.49555969238281
2016-01-22,113.1085433959961
2016-01-25,112.97285461425781
2016-01-27,109.71664428710938
2016-01-28,107.00312042236328
2016-01-29,108.76692199707031
2016-02-01,111.4804458618164
2016-02-02,110.48546600341797
2016-02-03,107.68151092529297
2016-02-04,110.44025421142578
2016-02-05,112.83719635009766
2016-02-08,114.73665618896484
2016-02-09,116.2291030883789
2016-02-10,115.36981201171875
2016-02-11,114.55574798583984
2016-02-12,113.56079864501953
2016-02-15,116.68135833740234
2016-02-16,114.1939697265625
2016-02-17,112.38494873046875
2016-02-18,116.54568481445312
2016-02-19,114.82710266113281
2016-02-22,116.68135833740234
2016-02-23,114.23918151855469
