Date,OCDO.L
2015-08-24,328.5
2015-08-25,331.5
2015-08-26,335.1000061035156
2015-08-27,344.5
2015-08-28,342.79998779296875
2015-09-01,347.0
2015-09-02,330.29998779296875
2015-09-03,331.79998779296875
2015-09-04,326.29998779296875
2015-09-07,321.70001220703125
2015-09-08,338.3999938964844
2015-09-09,336.79998779296875
2015-09-10,323.6000061035156
2015-09-11,312.6000061035156
2015-09-14,315.8999938964844
2015-09-15,316.70001220703125
2015-09-16,319.5
2015-09-17,346.3999938964844
2015-09-18,344.8999938964844
2015-09-21,346.79998779296875
2015-09-22,326.0
2015-09-23,329.79998779296875
2015-09-24,316.1000061035156
2015-09-25,320.0
2015-09-28,321.0
2015-09-29,316.3999938964844
2015-09-30,320.0
2015-10-01,317.1000061035156
2015-10-02,323.29998779296875
2015-10-05,337.1000061035156
2015-10-06,350.5
2015-10-07,357.20001220703125
2015-10-08,353.20001220703125
2015-10-09,354.29998779296875
2015-10-12,346.1000061035156
2015-10-13,341.29998779296875
2015-10-14,332.1000061035156
2015-10-15,338.0
2015-10-16,334.0
2015-10-19,332.1000061035156
2015-10-20,338.5
2015-10-21,349.70001220703125
2015-10-22,346.6000061035156
2015-10-23,370.79998779296875
2015-10-26,363.70001220703125
2015-10-27,356.3999938964844
2015-10-28,359.8999938964844
2015-10-29,380.79998779296875
2015-10-30,376.79998779296875
2015-11-02,380.8999938964844
2015-11-03,384.6000061035156
2015-11-04,397.29998779296875
2015-11-05,397.6000061035156
2015-11-06,407.1000061035156
2015-11-09,405.0
2015-11-10,396.5
2015-11-11,385.20001220703125
2015-11-12,368.6000061035156
2015-11-13,358.1000061035156
2015-11-16,341.79998779296875
2015-11-17,342.29998779296875
2015-11-18,346.5
2015-11-19,354.0
2015-11-20,351.79998779296875
2015-11-23,355.70001220703125
2015-11-24,343.20001220703125
2015-11-25,359.1000061035156
2015-11-26,363.70001220703125
2015-11-27,366.5
2015-11-30,370.0
2015-12-01,370.8999938964844
2015-12-02,380.1000061035156
2015-12-03,377.1000061035156
2015-12-04,381.29998779296875
2015-12-07,371.5
2015-12-08,352.6000061035156
2015-12-09,359.20001220703125
2015-12-10,335.79998779296875
2015-12-11,324.1000061035156
2015-12-14,326.3999938964844
2015-12-15,331.3999938964844
2015-12-16,331.8999938964844
2015-12-17,338.29998779296875
2015-12-18,337.8999938964844
2015-12-21,338.6000061035156
2015-12-22,332.20001220703125
2015-12-23,338.6000061035156
2015-12-24,340.79998779296875
2015-12-29,325.8999938964844
2015-12-30,315.0
2015-12-31,304.1000061035156
2016-01-04,285.3999938964844
2016-01-05,284.6000061035156
2016-01-06,289.29998779296875
2016-01-07,292.20001220703125
2016-01-08,295.0
2016-01-11,276.79998779296875
2016-01-12,280.5
2016-01-13,278.79998779296875
2016-01-14,269.0
2016-01-15,254.60000610351562
2016-01-18,242.5
2016-01-19,259.1000061035156
2016-01-20,265.0
2016-01-21,281.8999938964844
2016-01-22,275.79998779296875
2016-01-25,271.5
2016-01-26,262.29998779296875
2016-01-27,272.79998779296875
2016-01-28,267.0
2016-01-29,264.1000061035156
2016-02-01,263.29998779296875
2016-02-02,245.1999969482422
2016-02-03,235.0
2016-02-04,245.0
2016-02-05,259.0
2016-02-08,240.5
2016-02-09,232.5
2016-02-10,250.0
2016-02-11,237.6999969482422
2016-02-12,244.8000030517578
2016-02-15,259.8999938964844
2016-02-16,258.5
2016-02-17,263.29998779296875
2016-02-18,260.0
2016-02-19,260.20001220703125
2016-02-22,265.1000061035156
2016-02-23,265.6000061035156
2016-02-24,264.79998779296875
2016-02-25,278.79998779296875
2016-02-26,281.8999938964844
2016-02-29,260.0
2016-03-01,247.0
2016-03-02,250.89999389648438
2016-03-03,247.5
2016-03-04,268.29998779296875
2016-03-07,263.70001220703125
2016-03-08,258.3999938964844
2016-03-09,262.79998779296875
2016-03-10,258.79998779296875
2016-03-11,258.70001220703125
2016-03-14,261.6000061035156
2016-03-15,270.3999938964844
2016-03-16,285.29998779296875
2016-03-17,297.8999938964844
2016-03-18,297.5
2016-03-21,288.8999938964844
2016-03-22,296.29998779296875
2016-03-23,301.1000061035156
2016-03-24,309.79998779296875
2016-03-29,293.6000061035156
2016-03-30,294.6000061035156
2016-03-31,290.1000061035156
2016-04-01,300.70001220703125
2016-04-04,326.70001220703125
2016-04-05,339.0
2016-04-06,341.3999938964844
2016-04-07,334.70001220703125
2016-04-08,349.0
2016-04-11,345.20001220703125
2016-04-12,345.3999938964844
2016-04-13,345.8999938964844
2016-04-14,340.79998779296875
2016-04-15,334.20001220703125
2016-04-18,332.1000061035156
2016-04-19,331.5
2016-04-20,330.70001220703125
2016-04-21,327.79998779296875
2016-04-22,320.0
2016-04-25,316.79998779296875
2016-04-26,318.70001220703125
2016-04-27,321.3999938964844
2016-04-28,313.1000061035156
2016-04-29,295.6000061035156
2016-05-03,290.29998779296875
2016-05-04,294.5
2016-05-05,286.3999938964844
2016-05-06,272.79998779296875
2016-05-09,270.0
2016-05-10,295.0
2016-05-11,288.3999938964844
2016-05-12,296.29998779296875
2016-05-13,270.8999938964844
2016-05-16,268.6000061035156
2016-05-17,265.3999938964844
2016-05-18,265.3999938964844
2016-05-19,259.5
2016-05-20,269.6000061035156
2016-05-23,263.5
2016-05-24,257.79998779296875
2016-05-25,266.29998779296875
2016-05-26,270.79998779296875
2016-05-27,271.1000061035156
2016-05-31,270.5
2016-06-01,270.79998779296875
2016-06-02,277.5
2016-06-03,263.6000061035156
2016-06-06,269.29998779296875
2016-06-07,259.3999938964844
