Date,PRU
2015-08-03,57.61279296875
2015-08-04,58.065216064453125
2015-08-05,58.07814025878906
2015-08-06,58.59518814086914
2015-08-07,57.78728485107422
2015-08-10,59.25444412231445
2015-08-11,57.81315231323242
2015-08-12,57.18622589111328
2015-08-13,57.69681167602539
2015-08-14,58.23324966430664
2015-08-17,57.72266387939453
2015-08-18,57.6063232421875
2015-08-19,56.68210220336914
2015-08-20,54.865928649902344
2015-08-21,52.562225341796875
2015-08-24,49.3995361328125
2015-08-25,48.29972839355469
2015-08-26,50.40819549560547
2015-08-27,52.790000915527344
2015-08-28,52.842044830322266
2015-08-31,52.51667022705078
2015-09-01,50.186954498291016
2015-09-02,51.371341705322266
2015-09-03,51.41687774658203
2015-09-04,50.17394256591797
2015-09-08,51.98955535888672
2015-09-09,51.0784912109375
2015-09-10,51.37782669067383
2015-09-11,51.40386199951172
2015-09-14,51.09151077270508
2015-09-15,52.360504150390625
2015-09-16,52.633811950683594
2015-09-17,50.88324737548828
2015-09-18,49.347450256347656
2015-09-21,50.20646667480469
2015-09-22,49.35395812988281
2015-09-23,49.607765197753906
2015-09-24,49.47760772705078
2015-09-25,50.271541595458984
2015-09-28,48.50796890258789
2015-09-29,48.80081558227539
2015-09-30,49.59475326538086
2015-10-01,49.6533088684082
2015-10-02,49.067630767822266
2015-10-05,50.29105758666992
2015-10-06,49.92013931274414
2015-10-07,50.61643981933594
2015-10-08,50.94183349609375
2015-10-09,50.811676025390625
2015-10-12,50.72056579589844
2015-10-13,50.20646667480469
2015-10-14,49.78346252441406
2015-10-15,51.01341247558594
2015-10-16,51.586063385009766
2015-10-19,51.547054290771484
2015-10-20,51.911460876464844
2015-10-21,51.6446533203125
2015-10-22,52.97222137451172
2015-10-23,53.675045013427734
2015-10-26,53.414737701416016
2015-10-27,52.39303970336914
2015-10-28,54.638179779052734
2015-10-29,54.280250549316406
2015-10-30,53.68805694580078
2015-11-02,54.77482604980469
2015-11-03,55.32799530029297
2015-11-04,54.93752670288086
2015-11-05,54.891963958740234
2015-11-06,57.065528869628906
2015-11-09,55.9787483215332
2015-11-10,56.17398452758789
2015-11-11,56.45379638671875
2015-11-12,55.113216400146484
2015-11-13,54.852928161621094
2015-11-16,55.73795700073242
2015-11-17,55.61431121826172
2015-11-18,56.86377716064453
2015-11-19,56.87680435180664
2015-11-20,56.76527404785156
2015-11-23,56.50944519042969
2015-11-24,56.36509704589844
2015-11-25,56.27326202392578
2015-11-27,56.60127258300781
2015-11-30,56.77839279174805
2015-12-01,57.39504623413086
2015-12-02,56.58157730102539
2015-12-03,55.453250885009766
2015-12-04,56.889915466308594
2015-12-07,56.476619720458984
2015-12-08,55.65660095214844
2015-12-09,55.158016204833984
2015-12-10,54.967796325683594
2015-12-11,52.934120178222656
2015-12-14,52.934120178222656
2015-12-15,54.48888397216797
2015-12-16,55.23019027709961
2015-12-17,53.69511795043945
2015-12-18,52.18626403808594
2015-12-21,52.5142707824707
2015-12-22,53.45894241333008
2015-12-23,54.423301696777344
2015-12-24,54.154319763183594
2015-12-28,54.08872604370117
2015-12-29,54.5872802734375
2015-12-30,53.9050407409668
2015-12-31,53.406463623046875
2016-01-04,52.37649917602539
2016-01-05,52.19938278198242
2016-01-06,50.46092987060547
2016-01-07,48.407596588134766
2016-01-08,47.92214584350586
2016-01-11,47.81719970703125
2016-01-12,47.96807098388672
2016-01-13,47.11524963378906
2016-01-14,47.27925491333008
2016-01-15,46.03281021118164
2016-01-19,45.455509185791016
2016-01-20,44.189395904541016
2016-01-21,44.69453048706055
2016-01-22,45.83600997924805
2016-01-25,44.530540466308594
2016-01-26,45.33742904663086
2016-01-27,44.94382858276367
2016-01-28,45.160308837890625
2016-01-29,45.97377014160156
2016-02-01,45.639198303222656
2016-02-02,44.10413360595703
2016-02-03,43.81547546386719
2016-02-04,43.94011688232422
2016-02-05,42.87080383300781
2016-02-08,41.5456428527832
2016-02-09,41.71621322631836
2016-02-10,42.02452850341797
2016-02-11,38.049072265625
2016-02-12,40.43697738647461
2016-02-16,41.61780548095703
2016-02-17,43.690818786621094
2016-02-18,43.38905715942383
2016-02-19,43.33601760864258
2016-02-22,43.81340408325195
2016-02-23,42.82547378540039
2016-02-24,42.90504837036133
2016-02-25,43.80677032470703
2016-02-26,44.41676712036133
2016-02-29,43.82003402709961
2016-03-01,46.618038177490234
2016-03-02,46.91640090942383
2016-03-03,47.652381896972656
2016-03-04,47.38716506958008
2016-03-07,47.82477569580078
2016-03-08,46.618038177490234
2016-03-09,46.68436050415039
2016-03-10,46.7838020324707
2016-03-11,48.76628494262695
2016-03-14,48.40160369873047
2016-03-15,48.01704788208008
2016-03-16,48.10987091064453
2016-03-17,48.64030838012695
2016-03-18,49.68790817260742
2016-03-21,49.4293098449707
2016-03-22,49.14421463012695
2016-03-23,48.28889465332031
2016-03-24,46.91640090942383
2016-03-28,47.74518966674805
2016-03-29,47.420310974121094
2016-03-30,48.36845779418945
2016-03-31,47.88444900512695
2016-04-01,48.5673713684082
2016-04-04,47.92422866821289
2016-04-05,47.20814514160156
2016-04-06,47.63249206542969
2016-04-07,46.419132232666016
2016-04-08,46.525211334228516
2016-04-11,47.433570861816406
2016-04-12,48.580623626708984
2016-04-13,50.23822021484375
2016-04-14,50.58300018310547
2016-04-15,50.3973388671875
2016-04-18,50.82168960571289
2016-04-19,51.38527297973633
2016-04-20,52.306888580322266
2016-04-21,52.10798263549805
2016-04-22,52.76438522338867
2016-04-25,52.28038024902344
2016-04-26,52.850582122802734
2016-04-27,52.81081008911133
