Date,WM
2015-08-03,41.877323150634766
2015-08-04,42.017486572265625
2015-08-05,42.53681182861328
2015-08-06,42.02571487426758
2015-08-07,41.844356536865234
2015-08-10,42.36370849609375
2015-08-11,42.470855712890625
2015-08-12,42.74290084838867
2015-08-13,42.78412628173828
2015-08-14,43.0726432800293
2015-08-17,43.3941535949707
2015-08-18,43.44361877441406
2015-08-19,43.36117172241211
2015-08-20,43.33644104003906
2015-08-21,42.56977844238281
2015-08-24,40.78093719482422
2015-08-25,40.517147064208984
2015-08-26,40.805667877197266
2015-08-27,41.24258041381836
2015-08-28,41.39095687866211
2015-08-31,41.267303466796875
2015-09-01,40.64903259277344
2015-09-02,41.03648376464844
2015-09-03,41.44865798950195
2015-09-04,41.16013717651367
2015-09-08,41.79490280151367
2015-09-09,41.325016021728516
2015-09-10,41.370697021484375
2015-09-11,41.53684616088867
2015-09-14,41.445472717285156
2015-09-15,41.66146469116211
2015-09-16,41.669769287109375
2015-09-17,41.59500503540039
2015-09-18,41.445472717285156
2015-09-21,41.62822341918945
2015-09-22,41.42884826660156
2015-09-23,41.49531936645508
2015-09-24,41.370697021484375
2015-09-25,41.84423065185547
2015-09-28,41.354087829589844
2015-09-29,40.888893127441406
2015-09-30,41.379024505615234
2015-10-01,41.61992263793945
2015-10-02,41.977134704589844
2015-10-05,42.749725341796875
2015-10-06,42.72480010986328
2015-10-07,43.048797607421875
2015-10-08,43.98752212524414
2015-10-09,44.16197967529297
2015-10-12,44.36966323852539
2015-10-13,44.07891082763672
2015-10-14,43.57216262817383
2015-10-15,43.61369323730469
2015-10-16,43.57216262817383
2015-10-19,43.62199401855469
2015-10-20,43.788143157958984
2015-10-21,44.39459991455078
2015-10-22,44.45272445678711
2015-10-23,44.1868896484375
2015-10-26,44.1868896484375
2015-10-27,45.14226531982422
2015-10-28,45.36656188964844
2015-10-29,45.24192428588867
2015-10-30,44.6604118347168
2015-11-02,45.2253303527832
2015-11-03,44.901344299316406
2015-11-04,44.976097106933594
2015-11-05,45.21702194213867
2015-11-06,45.21702194213867
2015-11-09,44.60226821899414
2015-11-10,44.56905746459961
2015-11-11,44.552425384521484
2015-11-12,43.83798599243164
2015-11-13,43.33123016357422
2015-11-16,43.663536071777344
2015-11-17,43.76322555541992
2015-11-18,44.51089859008789
2015-11-19,44.552425384521484
2015-11-20,44.9594841003418
2015-11-23,44.976097106933594
2015-11-24,44.84319305419922
2015-11-25,44.88471221923828
2015-11-27,44.79334259033203
2015-11-30,44.668739318847656
2015-12-01,44.79334259033203
2015-12-02,44.77240753173828
2015-12-03,43.375125885009766
2015-12-04,44.061222076416016
2015-12-07,43.59265899658203
2015-12-08,43.95243835449219
2015-12-09,43.416961669921875
2015-12-10,43.525726318359375
2015-12-11,42.95676040649414
2015-12-14,43.36674499511719
2015-12-15,44.63017272949219
2015-12-16,45.12384033203125
2015-12-17,44.57997512817383
2015-12-18,44.119781494140625
2015-12-21,44.18674087524414
2015-12-22,44.513038635253906
2015-12-23,44.89793014526367
2015-12-24,44.70549011230469
2015-12-28,45.107093811035156
2015-12-29,45.475250244140625
2015-12-30,45.165687561035156
2015-12-31,44.65529251098633
2016-01-04,43.88551330566406
2016-01-05,44.0528450012207
2016-01-06,44.59671401977539
2016-01-07,44.06957244873047
2016-01-08,43.80184555053711
2016-01-11,44.22856903076172
2016-01-12,44.513038635253906
2016-01-13,43.726531982421875
2016-01-14,44.161617279052734
2016-01-15,43.107357025146484
2016-01-19,44.02775573730469
2016-01-20,43.44204330444336
2016-01-21,43.49224853515625
2016-01-22,44.3289680480957
2016-01-25,43.709800720214844
2016-01-26,43.75164031982422
2016-01-27,43.416961669921875
2016-01-28,43.567569732666016
2016-01-29,44.303863525390625
2016-02-01,44.5632438659668
2016-02-02,43.60939025878906
2016-02-03,44.41263961791992
2016-02-04,44.504661560058594
2016-02-05,43.98591613769531
2016-02-08,44.09468460083008
