Date,RENT3.SA
2015-08-24,5.801620960235596
2015-08-25,5.668365001678467
2015-08-26,5.764604568481445
2015-08-27,5.942282199859619
2015-08-28,5.954617977142334
2015-08-31,5.53016996383667
2015-09-01,5.29326868057251
2015-09-02,5.2093682289123535
2015-09-03,5.377171039581299
2015-09-04,5.305609226226807
2015-09-08,5.340156078338623
2015-09-09,5.3450927734375
2015-09-10,5.206898212432861
2015-09-11,5.305609226226807
2015-09-14,5.3919782638549805
2015-09-15,5.416656017303467
2015-09-16,5.656025409698486
2015-09-17,5.922540187835693
2015-09-18,5.522767066955566
2015-09-21,5.648622512817383
2015-09-22,6.021247386932373
2015-09-23,6.031119346618652
2015-09-24,6.181650638580322
2015-09-25,6.070602893829346
2015-09-28,6.110086441040039
2015-09-29,5.92500638961792
2015-09-30,6.031119346618652
2015-10-01,5.882570743560791
2015-10-02,6.093547821044922
2015-10-05,6.311972141265869
2015-10-06,6.180420875549316
2015-10-07,6.27970552444458
2015-10-08,6.465863227844238
2015-10-09,6.604859828948975
2015-10-13,6.453451633453369
2015-10-14,6.304525852203369
2015-10-15,6.180420875549316
2015-10-16,6.27970552444458
2015-10-19,6.329346179962158
2015-10-20,6.2052435874938965
2015-10-21,6.056315898895264
2015-10-22,6.0811381340026855
2015-10-23,6.35416841506958
2015-10-26,6.386436462402344
2015-10-27,6.1977972984313965
2015-10-28,6.329346179962158
2015-10-29,6.148152828216553
2015-10-30,6.453451633453369
2015-11-03,6.647055625915527
2015-11-04,6.959801197052002
2015-11-05,7.245241165161133
2015-11-06,7.198081016540527
2015-11-09,6.98214054107666
2015-11-10,6.704141139984131
2015-11-11,6.768678188323975
2015-11-12,6.771159648895264
2015-11-13,6.922568321228027
2015-11-16,6.738892555236816
2015-11-17,6.714073657989502
2015-11-18,6.803427219390869
2015-11-19,7.006960868835449
2015-11-23,7.153402328491211
2015-11-24,7.064047813415527
2015-11-25,6.934978008270264
2015-11-26,6.94987154006958
2015-11-27,6.825767993927002
2015-11-30,6.5949320793151855
2015-12-01,6.304525852203369
2015-12-02,6.359131813049316
2015-12-03,6.453451633453369
2015-12-04,6.1431884765625
2015-12-07,6.329346179962158
2015-12-08,6.006674289703369
2015-12-09,6.329346179962158
2015-12-10,6.2052435874938965
2015-12-11,6.0786542892456055
2015-12-14,6.155600070953369
2015-12-15,6.128298759460449
2015-12-16,6.158082962036133
2015-12-17,6.304525852203369
2015-12-18,6.120851039886475
2015-12-21,6.0811381340026855
2015-12-22,6.170494079589844
2015-12-23,6.378988742828369
2015-12-28,6.254884243011475
2015-12-29,6.0736918449401855
2015-12-30,6.160564422607422
2016-01-04,5.833099365234375
2016-01-05,5.9779887199401855
2016-01-06,6.032947540283203
2016-01-07,5.995476722717285
2016-01-08,5.995476722717285
2016-01-11,6.005467891693115
2016-01-12,5.640744209289551
2016-01-13,5.673218250274658
2016-01-14,5.773144721984863
2016-01-15,5.590780735015869
2016-01-18,5.473368167877197
2016-01-19,5.445889472961426
2016-01-20,5.276018142700195
2016-01-21,5.198578834533691
2016-01-22,5.118637561798096
2016-01-26,5.138621807098389
2016-01-27,5.286011219024658
2016-01-28,5.1710968017578125
2016-01-29,5.47836446762085
2016-02-01,5.608268737792969
2016-02-02,5.495852470397949
2016-02-03,5.573294162750244
2016-02-04,5.620759963989258
2016-02-05,5.495852470397949
2016-02-10,5.383437156677246
2016-02-11,5.253535270690918
2016-02-12,5.258533000946045
2016-02-15,5.256034851074219
2016-02-16,5.420909404754639
2016-02-17,5.420909404754639
2016-02-18,5.448388576507568
2016-02-19,5.348463535308838
2016-02-22,5.795626163482666
2016-02-23,5.570795059204102
2016-02-24,5.60576868057251
2016-02-25,5.818108558654785
2016-02-26,5.675715923309326
2016-02-29,5.743167400360107
2016-03-01,5.9654974937438965
2016-03-02,6.1678466796875
2016-03-03,6.310237884521484
2016-03-04,6.832344055175781
2016-03-07,7.019702911376953
2016-03-08,6.994720935821533
2016-03-09,6.9697394371032715
2016-03-10,6.91478157043457
2016-03-11,6.7923760414123535
2016-03-14,6.8273468017578125
2016-03-15,6.70993709564209
2016-03-16,6.829846382141113
2016-03-17,7.132116317749023
2016-03-18,7.389423370361328
2016-03-21,7.416904449462891
2016-03-22,7.319474697113037
2016-03-23,7.177084922790527
2016-03-24,6.869815826416016
2016-03-28,7.0421857833862305
2016-03-29,7.319474697113037
2016-03-30,7.521823406219482
2016-03-31,7.419402599334717
2016-04-01,7.612814426422119
2016-04-04,7.5424652099609375
2016-04-05,7.823863506317139
2016-04-06,7.881649971008301
2016-04-07,7.914311408996582
2016-04-08,8.127875328063965
2016-04-11,8.060036659240723
2016-04-12,8.366562843322754
2016-04-13,8.203250885009766
2016-04-14,8.235909461975098
2016-04-15,8.331387519836426
2016-04-18,8.16305160522461
2016-04-19,8.16053581237793
2016-04-20,8.30374526977539
2016-04-22,7.836428642272949
2016-04-25,7.720854759216309
2016-04-26,8.278620719909668
2016-04-27,8.565046310424805
2016-04-28,8.567557334899902
2016-04-29,8.29118537902832
2016-05-02,8.546236991882324
2016-05-03,8.543726921081543
2016-05-04,8.66685676574707
2016-05-05,8.521110534667969
2016-05-06,8.724652290344238
2016-05-09,8.732189178466797
2016-05-10,9.083992958068848
2016-05-11,9.076455116271973
2016-05-12,9.234759330749512
2016-05-13,9.166914939880371
2016-05-16,8.852808952331543
2016-05-17,8.397981643676758
2016-05-18,8.367827415466309
2016-05-19,8.518598556518555
2016-05-20,8.518598556518555
2016-05-23,8.365312576293945
2016-05-24,8.493467330932617
