Date,O
2015-08-03,29.752098083496094
2015-08-04,29.361743927001953
2015-08-05,28.898197174072266
2015-08-06,28.98969841003418
2015-08-07,28.94701385498047
2015-08-10,28.88601303100586
2015-08-11,28.94089126586914
2015-08-12,29.04460334777832
2015-08-13,28.995779037475586
2015-08-14,29.17877197265625
2015-08-17,29.288549423217773
2015-08-18,29.556921005249023
2015-08-19,29.30685806274414
2015-08-20,29.33734130859375
2015-08-21,29.04460334777832
2015-08-24,27.946725845336914
2015-08-25,27.123319625854492
2015-08-26,27.733243942260742
2015-08-27,28.276081085205078
2015-08-28,28.13521957397461
2015-08-31,27.36968421936035
2015-09-01,26.910356521606445
2015-09-02,27.08796501159668
2015-09-03,27.05121421813965
2015-09-04,26.56739616394043
2015-09-08,27.136947631835938
2015-09-09,26.928712844848633
2015-09-10,27.069604873657227
2015-09-11,27.6085262298584
2015-09-14,27.773889541625977
2015-09-15,28.04949188232422
2015-09-16,28.34343719482422
2015-09-17,28.717021942138672
2015-09-18,29.08448600769043
2015-09-21,29.19473648071289
2015-09-22,28.870141983032227
2015-09-23,28.986526489257812
2015-09-24,28.766035079956055
2015-09-25,28.821151733398438
2015-09-28,28.563932418823242
2015-09-29,28.970420837402344
2015-09-30,29.142610549926758
2015-10-01,29.117982864379883
2015-10-02,28.287813186645508
2015-10-05,28.970420837402344
2015-10-06,28.89661979675293
2015-10-07,29.167192459106445
2015-10-08,29.302488327026367
2015-10-09,29.376272201538086
2015-10-12,29.616125106811523
2015-10-13,29.566909790039062
2015-10-14,29.32093048095703
2015-10-15,29.831344604492188
2015-10-16,29.89286231994629
2015-10-19,30.05889320373535
2015-10-20,30.108081817626953
2015-10-21,30.05889320373535
2015-10-22,30.864459991455078
2015-10-23,30.68613052368164
2015-10-26,30.901369094848633
2015-10-27,30.938257217407227
2015-10-28,31.116573333740234
2015-10-29,30.666597366333008
2015-10-30,30.530792236328125
2015-11-02,31.228328704833984
2015-11-03,30.95054054260254
2015-11-04,30.524621963500977
2015-11-05,30.864124298095703
2015-11-06,29.302406311035156
2015-11-09,28.6357364654541
2015-11-10,28.975223541259766
2015-11-11,29.283878326416016
2015-11-12,29.283878326416016
2015-11-13,29.283878326416016
2015-11-16,29.746829986572266
2015-11-17,29.901166915893555
2015-11-18,30.382654190063477
2015-11-19,30.47523307800293
2015-11-20,30.660436630249023
2015-11-23,30.691293716430664
2015-11-24,30.524621963500977
2015-11-25,30.623376846313477
2015-11-27,31.002002716064453
2015-11-30,30.74793815612793
2015-12-01,31.367597579956055
2015-12-02,30.741735458374023
2015-12-03,30.227420806884766
2015-12-04,30.989612579345703
2015-12-07,31.150711059570312
2015-12-08,31.070167541503906
