Date,SYF
2015-08-03,27.65060043334961
2015-08-04,27.690837860107422
2015-08-05,27.811542510986328
2015-08-06,27.46550941467285
2015-08-07,27.344804763793945
2015-08-10,27.859830856323242
2015-08-11,27.90006446838379
2015-08-12,28.13343620300293
2015-08-13,28.294395446777344
2015-08-14,28.278287887573242
2015-08-17,28.423137664794922
2015-08-18,28.278287887573242
2015-08-19,28.13343620300293
2015-08-20,27.65060043334961
2015-08-21,27.13556671142578
2015-08-24,26.67687225341797
2015-08-25,26.548112869262695
2015-08-26,26.290599822998047
2015-08-27,26.016990661621094
2015-08-28,26.274503707885742
2015-08-31,26.515928268432617
2015-09-01,25.518056869506836
2015-09-02,25.582439422607422
2015-09-03,25.90432357788086
2015-09-04,25.429536819458008
2015-09-08,25.976755142211914
2015-09-09,25.85604476928711
2015-09-10,25.8238525390625
2015-09-11,25.212261199951172
2015-09-14,25.083498001098633
2015-09-15,25.04326629638672
2015-09-16,24.850126266479492
2015-09-17,24.76161003112793
2015-09-18,24.592613220214844
2015-09-21,24.842084884643555
2015-09-22,24.60870933532715
2015-09-23,24.994979858398438
2015-09-24,24.809894561767578
2015-09-25,24.970836639404297
2015-09-28,25.075448989868164
2015-09-29,24.978893280029297
2015-09-30,25.1881160736084
2015-10-01,25.25249481201172
2015-10-02,25.606576919555664
2015-10-05,26.805627822875977
2015-10-06,26.39521598815918
2015-10-07,25.85604476928711
2015-10-08,26.041135787963867
2015-10-09,26.065275192260742
2015-10-12,26.025039672851562
2015-10-13,25.606576919555664
2015-10-14,25.37320899963379
2015-10-15,25.204206466674805
2015-10-16,24.262676239013672
2015-10-19,25.220308303833008
2015-10-20,26.025039672851562
2015-10-21,26.121606826782227
2015-10-22,25.614620208740234
2015-10-23,25.501964569091797
2015-10-26,25.268590927124023
2015-10-27,25.53414535522461
2015-10-28,25.308828353881836
2015-10-29,24.88231658935547
2015-10-30,24.75356101989746
2015-11-02,25.212261199951172
2015-11-03,26.105512619018555
2015-11-04,25.81580924987793
2015-11-05,26.242321014404297
2015-11-06,27.344804763793945
2015-11-09,26.16989517211914
2015-11-10,25.011079788208008
2015-11-11,24.890369415283203
2015-11-12,24.777700424194336
2015-11-13,24.5604190826416
2015-11-16,24.375337600708008
2015-11-17,24.60870933532715
2015-11-18,25.421483993530273
2015-11-19,25.46977424621582
2015-11-20,25.228355407714844
2015-11-23,25.389297485351562
2015-11-24,25.220308303833008
2015-11-25,25.37320899963379
2015-11-27,25.228355407714844
2015-11-30,25.614620208740234
2015-12-01,26.08137321472168
2015-12-02,25.622678756713867
2015-12-03,25.019126892089844
2015-12-04,25.77557373046875
2015-12-07,25.228355407714844
2015-12-08,25.236400604248047
2015-12-09,24.63285255432129
2015-12-10,24.986927032470703
2015-12-11,24.117816925048828
2015-12-14,23.88445281982422
2015-12-15,24.206348419189453
2015-12-16,24.5684757232666
2015-12-17,24.150012969970703
2015-12-18,23.747648239135742
2015-12-21,23.924686431884766
2015-12-22,24.310955047607422
2015-12-23,24.552377700805664
2015-12-24,24.62480926513672
2015-12-28,24.278766632080078
2015-12-29,24.69723129272461
2015-12-30,24.48799705505371
2015-12-31,24.471906661987305
2016-01-04,24.093685150146484
2016-01-05,24.230491638183594
2016-01-06,24.061491012573242
2016-01-07,23.433801651000977
2016-01-08,23.208477020263672
2016-01-11,23.09581184387207
2016-01-12,23.256763458251953
2016-01-13,22.18646240234375
2016-01-14,22.67735481262207
2016-01-15,22.242794036865234
2016-01-19,22.5566463470459
2016-01-20,22.226709365844727
2016-01-21,22.315217971801758
2016-01-22,23.385513305664062
2016-01-25,22.91876983642578
2016-01-26,23.063623428344727
2016-01-27,22.886585235595703
2016-01-28,22.524452209472656
2016-01-29,22.8704891204834
2016-02-01,22.910730361938477
2016-02-02,21.735815048217773
2016-02-03,21.19664764404297
2016-02-04,21.172500610351562
2016-02-05,20.30339241027832
2016-02-08,19.699846267700195
2016-02-09,20.18268585205078
2016-02-10,20.12635040283203
2016-02-11,19.7159423828125
2016-02-12,20.416059494018555
2016-02-16,21.03569793701172
2016-02-17,21.14031410217285
2016-02-18,21.421966552734375
2016-02-19,21.54268455505371
2016-02-22,22.299137115478516
2016-02-23,22.138185501098633
2016-02-24,22.315217971801758
2016-02-25,22.3554630279541
2016-02-26,22.476173400878906
2016-02-29,21.687536239624023
2016-03-01,22.15427589416504
2016-03-02,22.733684539794922
2016-03-03,22.983150482177734
2016-03-04,23.015338897705078
2016-03-07,22.950963973999023
2016-03-08,22.29108238220215
2016-03-09,22.274988174438477
2016-03-10,22.37960433959961
2016-03-11,23.1923770904541
2016-03-14,22.894636154174805
2016-03-15,22.274988174438477
2016-03-16,22.226709365844727
2016-03-17,22.612972259521484
2016-03-18,22.902677536010742
2016-03-21,23.168241500854492
2016-03-22,23.02338981628418
2016-03-23,22.8704891204834
2016-03-24,22.894636154174805
2016-03-28,22.83829689025879
2016-03-29,22.85439682006836
2016-03-30,22.83829689025879
2016-03-31,23.063623428344727
2016-04-01,23.60279083251953
2016-04-04,23.313095092773438
2016-04-05,23.02338981628418
2016-04-06,23.055578231811523
2016-04-07,22.508359909057617
2016-04-08,22.54859733581543
2016-04-11,22.427881240844727
2016-04-12,22.66126251220703
2016-04-13,23.27286148071289
2016-04-14,23.4016170501709
2016-04-15,23.28894805908203
2016-04-18,23.441848754882812
2016-04-19,23.997114181518555
2016-04-20,24.681135177612305
2016-04-21,24.479949951171875
2016-04-22,24.544330596923828
2016-04-25,24.496049880981445
2016-04-26,25.075448989868164
2016-04-27,24.850126266479492
