Date,PZC.L
2015-08-24,296.3820495605469
2015-08-25,307.7467041015625
2015-08-26,308.444580078125
2015-08-27,314.0273132324219
2015-08-28,315.9214782714844
2015-09-01,311.1363220214844
2015-09-02,303.4600524902344
2015-09-03,303.2607421875
2015-09-04,297.5782470703125
2015-09-07,296.3820495605469
2015-09-08,293.2915344238281
2015-09-09,301.3664855957031
2015-09-10,290.79925537109375
2015-09-11,291.3974609375
2015-09-14,289.2041931152344
2015-09-15,291.197998046875
2015-09-16,294.2884826660156
2015-09-17,295.3851318359375
2015-09-18,291.3974609375
2015-09-21,289.5032653808594
2015-09-22,286.2134094238281
2015-09-23,287.80853271484375
2015-09-24,286.8116455078125
2015-09-25,291.7961730957031
2015-09-28,287.60919189453125
2015-09-29,286.2134094238281
2015-09-30,289.6029357910156
2015-10-01,293.6903076171875
2015-10-02,295.7838134765625
2015-10-05,297.9769287109375
2015-10-06,308.04583740234375
2015-10-07,307.0489501953125
2015-10-08,298.874267578125
2015-10-09,302.6625671386719
2015-10-12,302.0643615722656
2015-10-13,300.3696594238281
2015-10-14,303.95843505859375
2015-10-15,307.44769287109375
2015-10-16,306.550537109375
2015-10-19,307.3479919433594
2015-10-20,305.2545166015625
2015-10-21,309.1424255371094
2015-10-22,305.9523620605469
2015-10-23,304.65643310546875
2015-10-26,303.85882568359375
2015-10-27,303.95843505859375
2015-10-28,303.2607421875
2015-10-29,303.3603210449219
2015-10-30,300.0705261230469
2015-11-02,298.0767822265625
2015-11-03,298.0767822265625
2015-11-04,303.2607421875
2015-11-05,304.8557434082031
2015-11-06,306.25146484375
2015-11-09,309.7406005859375
2015-11-10,308.2452392578125
2015-11-11,308.84332275390625
2015-11-12,301.266845703125
2015-11-13,315.72210693359375
2015-11-16,316.7189636230469
2015-11-17,319.0118713378906
2015-11-18,317.3171081542969
2015-11-19,319.0118713378906
2015-11-20,320.906005859375
2015-11-23,319.2113342285156
2015-11-24,319.0118713378906
2015-11-25,316.2205505371094
2015-11-26,319.0118713378906
2015-11-27,314.72515869140625
2015-11-30,315.1239318847656
2015-12-01,316.0211486816406
2015-12-02,317.9153137207031
