Date,SYNE3.SA
2015-08-24,1.8880462646484375
2015-08-25,1.8880462646484375
2015-08-26,1.814412236213684
2015-08-27,1.814412236213684
2015-08-28,1.814412236213684
2015-08-31,1.7936439514160156
2015-09-01,1.963567852973938
2015-09-02,1.963567852973938
2015-09-03,1.963567852973938
2015-09-04,1.963567852973938
2015-09-08,1.8880462646484375
2015-09-09,1.8880462646484375
2015-09-10,1.795531988143921
2015-09-11,1.795531988143921
2015-09-14,1.795531988143921
2015-09-15,1.795531988143921
2015-09-16,1.795531988143921
2015-09-17,1.795531988143921
2015-09-18,1.795531988143921
2015-09-21,1.795531988143921
2015-09-22,1.7558832168579102
2015-09-23,1.7558832168579102
2015-09-24,1.7558832168579102
2015-09-25,1.7558832168579102
2015-09-28,1.7558832168579102
2015-09-29,1.7558832168579102
2015-09-30,1.7558832168579102
2015-10-01,1.7558832168579102
2015-10-02,1.7539948225021362
2015-10-05,1.7539948225021362
2015-10-06,1.7558832168579102
2015-10-07,1.7558832168579102
2015-10-08,1.7558832168579102
2015-10-09,1.7558832168579102
2015-10-13,1.7558832168579102
2015-10-14,1.7464429140090942
2015-10-15,1.7464429140090942
2015-10-16,1.7464429140090942
2015-10-19,1.7370026111602783
2015-10-20,1.7370026111602783
2015-10-21,1.718122124671936
2015-10-22,1.718122124671936
2015-10-23,1.7917557954788208
2015-10-26,1.7917557954788208
2015-10-27,1.7936439514160156
2015-10-28,1.7936439514160156
2015-10-29,1.7936439514160156
2015-10-30,1.7936439514160156
2015-11-03,1.7936439514160156
2015-11-04,1.7936439514160156
2015-11-05,1.7936439514160156
2015-11-06,1.7936439514160156
2015-11-09,1.7936439514160156
2015-11-10,1.7936439514160156
2015-11-11,1.7936439514160156
2015-11-12,1.7936439514160156
2015-11-13,1.7936439514160156
2015-11-16,1.7936439514160156
2015-11-17,1.7030178308486938
2015-11-18,1.7030178308486938
2015-11-19,1.7370026111602783
2015-11-23,1.7370026111602783
2015-11-24,1.7275620698928833
2015-11-25,1.7370026111602783
2015-11-26,1.7370026111602783
2015-11-27,1.7370026111602783
2015-11-30,1.7370026111602783
2015-12-01,1.7370026111602783
2015-12-02,1.7370026111602783
2015-12-03,1.7370026111602783
2015-12-04,1.7370026111602783
2015-12-07,1.7370026111602783
2015-12-08,1.7370026111602783
2015-12-09,1.7558832168579102
2015-12-10,1.7558832168579102
2015-12-11,1.7558832168579102
2015-12-14,1.7558832168579102
2015-12-15,1.6803611516952515
2015-12-16,1.6614807844161987
2015-12-17,1.6614807844161987
2015-12-18,1.6614807844161987
2015-12-21,1.6614807844161987
2015-12-22,1.6237199306488037
2015-12-23,1.6237199306488037
2015-12-28,1.6237199306488037
2015-12-29,1.6237199306488037
2015-12-30,1.6237199306488037
2016-01-04,1.6237199306488037
2016-01-05,1.6237199306488037
2016-01-06,1.6237199306488037
2016-01-07,1.6237199306488037
2016-01-08,1.6237199306488037
2016-01-11,1.6237199306488037
2016-01-12,1.6237199306488037
2016-01-13,1.6237199306488037
2016-01-14,1.6237199306488037
2016-01-15,1.6237199306488037
2016-01-18,1.6237199306488037
2016-01-19,1.6237199306488037
2016-01-20,1.6237199306488037
2016-01-21,1.6237199306488037
2016-01-22,1.6237199306488037
2016-01-26,1.6237199306488037
2016-01-27,1.6237199306488037
2016-01-28,1.6237199306488037
2016-01-29,1.6237199306488037
2016-02-01,1.6237199306488037
2016-02-02,1.6237199306488037
2016-02-03,1.6237199306488037
2016-02-04,1.6237199306488037
2016-02-05,1.697353482246399
2016-02-10,1.6426002979278564
2016-02-11,1.6426002979278564
2016-02-12,1.6426002979278564
2016-02-15,1.6426002979278564
2016-02-16,1.6426002979278564
2016-02-17,1.6426002979278564
2016-02-18,1.6482642889022827
2016-02-19,1.6482642889022827
2016-02-22,1.6482642889022827
2016-02-23,1.6237199306488037
2016-02-24,1.6237199306488037
2016-02-25,1.697353482246399
2016-02-26,1.697353482246399
2016-02-29,1.697353482246399
2016-03-01,1.772875428199768
2016-03-02,1.772875428199768
2016-03-03,1.7558832168579102
2016-03-04,1.7558832168579102
2016-03-07,1.6048393249511719
2016-03-08,1.6048393249511719
2016-03-09,1.6048393249511719
2016-03-10,1.6048393249511719
2016-03-11,1.6048393249511719
2016-03-14,1.6048393249511719
2016-03-15,1.6614807844161987
2016-03-16,1.6426002979278564
2016-03-17,1.6426002979278564
2016-03-18,1.6426002979278564
2016-03-21,1.6426002979278564
2016-03-22,1.640712022781372
2016-03-23,1.6331596374511719
2016-03-24,1.6331596374511719
2016-03-28,1.6331596374511719
2016-03-29,1.670920968055725
2016-03-30,1.6803611516952515
2016-03-31,1.6803611516952515
2016-04-01,1.6803611516952515
2016-04-04,1.6992416381835938
2016-04-05,1.7558832168579102
2016-04-06,1.7558832168579102
2016-04-07,1.7558832168579102
2016-04-08,1.7558832168579102
2016-04-11,1.7200099229812622
2016-04-12,1.7200099229812622
2016-04-13,1.7200099229812622
2016-04-14,1.7200099229812622
2016-04-15,1.7200099229812622
2016-04-18,1.8502854108810425
2016-04-19,1.8502854108810425
2016-04-20,1.8502854108810425
2016-04-22,1.8970195055007935
2016-04-25,1.8970195055007935
2016-04-26,1.8970195055007935
2016-04-27,1.8970195055007935
2016-04-28,1.8970195055007935
2016-04-29,1.8970195055007935
2016-05-02,1.8970195055007935
2016-05-03,1.8970195055007935
2016-05-04,1.8970195055007935
2016-05-05,1.8970195055007935
2016-05-06,1.878049373626709
2016-05-09,1.878049373626709
2016-05-10,1.878049373626709
2016-05-11,1.878049373626709
2016-05-12,1.878049373626709
