Date,HBLENGINE.NS
2024-12-12,670.7999877929688
2024-12-13,695.0
2024-12-16,704.9000244140625
2024-12-17,701.5999755859375
2024-12-18,679.2999877929688
2024-12-19,676.5
2024-12-20,652.6500244140625
2024-12-23,631.4500122070312
2024-12-24,648.4000244140625
2024-12-26,632.0
2024-12-27,631.7000122070312
2024-12-30,613.4500122070312
2024-12-31,621.8499755859375
2025-01-01,633.2000122070312
2025-01-02,626.75
2025-01-03,624.5
2025-01-06,592.25
2025-01-07,604.0499877929688
2025-01-08,602.2000122070312
2025-01-09,594.75
2025-01-10,568.9000244140625
2025-01-13,527.8499755859375
2025-01-14,543.0
2025-01-15,532.1500244140625
2025-01-16,549.7000122070312
2025-01-17,557.4000244140625
2025-01-20,565.3499755859375
2025-01-21,551.8499755859375
2025-01-22,545.75
2025-01-23,545.5999755859375
2025-01-24,529.4000244140625
2025-01-27,501.3999938964844
2025-01-28,512.5999755859375
2025-01-29,544.7000122070312
2025-01-30,564.0999755859375
2025-01-31,596.8499755859375
2025-02-01,576.2000122070312
2025-02-03,576.0499877929688
2025-02-04,574.7999877929688
2025-02-05,581.4000244140625
2025-02-06,576.7000122070312
2025-02-07,550.4500122070312
2025-02-10,528.75
2025-02-11,481.95001220703125
2025-02-12,507.45001220703125
2025-02-13,492.6000061035156
2025-02-14,501.04998779296875
2025-02-17,477.6000061035156
2025-02-18,457.29998779296875
2025-02-19,488.95001220703125
2025-02-20,489.79998779296875
2025-02-21,478.29998779296875
2025-02-24,470.20001220703125
2025-02-25,463.54998779296875
2025-02-27,453.6000061035156
2025-02-28,433.1000061035156
2025-03-03,424.3999938964844
2025-03-04,438.75
2025-03-05,458.6000061035156
2025-03-06,453.3999938964844
2025-03-07,456.25
2025-03-10,435.0
2025-03-11,438.1499938964844
2025-03-12,423.20001220703125
2025-03-13,414.79998779296875
2025-03-17,406.3999938964844
2025-03-18,418.75
2025-03-19,482.3999938964844
2025-03-20,460.1000061035156
2025-03-21,465.29998779296875
2025-03-24,481.0
2025-03-25,472.5
2025-03-26,459.8500061035156
2025-03-27,465.45001220703125
2025-03-28,472.5
2025-04-01,511.70001220703125
2025-04-02,516.0999755859375
2025-04-03,528.5
2025-04-04,507.95001220703125
2025-04-07,481.45001220703125
2025-04-08,488.1499938964844
2025-04-09,478.0
2025-04-11,500.95001220703125
2025-04-15,518.9000244140625
2025-04-16,515.0999755859375
2025-04-17,517.7000122070312
2025-04-21,523.4000244140625
2025-04-22,531.25
2025-04-23,525.6500244140625
2025-04-24,517.5499877929688
2025-04-25,511.20001220703125
2025-04-28,497.75
2025-04-29,493.8999938964844
2025-04-30,481.95001220703125
2025-05-02,493.3999938964844
2025-05-05,500.29998779296875
2025-05-06,477.6499938964844
2025-05-07,478.8500061035156
2025-05-08,468.5
2025-05-09,468.3999938964844
2025-05-12,505.54998779296875
2025-05-13,506.54998779296875
2025-05-14,569.0499877929688
2025-05-15,577.2000122070312
2025-05-16,568.75
2025-05-19,587.25
2025-05-20,572.5999755859375
2025-05-21,574.0999755859375
2025-05-22,569.25
2025-05-23,576.0999755859375
2025-05-26,555.25
2025-05-27,564.0
2025-05-28,569.4500122070312
2025-05-29,589.7999877929688
2025-05-30,600.2999877929688
2025-06-02,603.1500244140625
2025-06-03,593.2000122070312
2025-06-04,607.3499755859375
2025-06-05,610.3499755859375
2025-06-06,607.0499877929688
2025-06-09,603.6500244140625
2025-06-10,603.7999877929688
2025-06-11,611.0999755859375
2025-06-12,601.2000122070312
2025-06-13,589.4000244140625
2025-06-16,605.5999755859375
2025-06-17,593.2999877929688
2025-06-18,579.2000122070312
2025-06-19,563.5499877929688
2025-06-20,578.4000244140625
2025-06-23,566.2999877929688
2025-06-24,591.1500244140625
2025-06-25,590.0999755859375
2025-06-26,585.4500122070312
2025-06-27,590.9500122070312
2025-06-30,592.9000244140625
2025-07-01,620.4000244140625
2025-07-02,626.8499755859375
2025-07-03,636.0499877929688
2025-07-04,630.4500122070312
2025-07-07,636.7999877929688
2025-07-08,628.0
2025-07-09,619.4500122070312
2025-07-10,622.6500244140625
2025-07-11,611.2000122070312
2025-07-14,599.75
2025-07-15,605.7999877929688
2025-07-16,606.0499877929688
2025-07-17,610.2999877929688
2025-07-18,602.3499755859375
2025-07-21,596.4500122070312
2025-07-22,593.0
2025-07-23,585.25
2025-07-24,588.25
2025-07-25,572.8499755859375
2025-07-28,559.0
2025-07-29,579.5
2025-07-30,582.2000122070312
2025-07-31,587.2000122070312
2025-08-01,599.8499755859375
2025-08-04,610.0
2025-08-05,610.7999877929688
2025-08-06,602.5
2025-08-07,594.75
2025-08-08,599.7999877929688
2025-08-11,683.9500122070312
2025-08-12,692.0
2025-08-13,763.4000244140625
2025-08-14,765.6500244140625
2025-08-18,772.8499755859375
2025-08-19,789.8499755859375
2025-08-20,791.9500122070312
2025-08-21,794.7999877929688
