Date,CMPC.SN
2015-08-24,1530.5501708984375
2015-08-25,1589.392822265625
2015-08-26,1624.1722412109375
2015-08-27,1676.83984375
2015-08-28,1684.4678955078125
2015-08-31,1721.4266357421875
2015-09-01,1693.4578857421875
2015-09-02,1716.885986328125
2015-09-03,1718.7930908203125
2015-09-04,1703.174072265625
2015-09-07,1680.2000732421875
2015-09-08,1659.314453125
2015-09-09,1642.8785400390625
2015-09-10,1674.84228515625
2015-09-11,1648.780517578125
2015-09-14,1647.7818603515625
2015-09-15,1663.12841796875
2015-09-16,1679.2010498046875
2015-09-17,1647.5096435546875
2015-09-21,1644.9669189453125
2015-09-22,1625.2618408203125
2015-09-23,1614.63720703125
2015-09-24,1614.819091796875
2015-09-25,1619.6318359375
2015-09-28,1582.6734619140625
2015-09-29,1580.67578125
2015-09-30,1626.7147216796875
2015-10-01,1623.536376953125
2015-10-02,1608.37158203125
2015-10-05,1658.6785888671875
2015-10-06,1687.7369384765625
2015-10-07,1675.2056884765625
2015-10-08,1705.989013671875
2015-10-09,1683.28759765625
2015-10-13,1680.4722900390625
2015-10-14,1658.9510498046875
2015-10-15,1668.6673583984375
2015-10-16,1658.9510498046875
2015-10-19,1676.2047119140625
2015-10-20,1666.397216796875
2015-10-21,1662.4925537109375
2015-10-22,1674.388427734375
2015-10-23,1694.728759765625
2015-10-26,1703.5372314453125
2015-10-27,1711.5284423828125
2015-10-28,1705.080810546875
2015-10-29,1617.815673828125
2015-10-30,1550.0736083984375
2015-11-02,1526.5545654296875
2015-11-03,1565.6016845703125
2015-11-04,1533.637451171875
2015-11-05,1511.57177734375
2015-11-06,1551.8897705078125
2015-11-09,1525.1016845703125
2015-11-10,1492.5020751953125
2015-11-11,1484.5111083984375
2015-11-12,1455.5435791015625
2015-11-13,1406.0538330078125
2015-11-16,1398.9708251953125
2015-11-17,1392.069580078125
2015-11-18,1449.913818359375
2015-11-19,1479.3350830078125
2015-11-20,1503.943603515625
2015-11-23,1460.2657470703125
2015-11-24,1415.497802734375
2015-11-25,1408.2332763671875
2015-11-26,1401.0594482421875
2015-11-27,1385.7130126953125
2015-11-30,1351.751220703125
2015-12-01,1363.465576171875
2015-12-02,1329.5947265625
2015-12-03,1339.4925537109375
2015-12-04,1339.31103515625
2015-12-07,1314.5203857421875
2015-12-09,1309.8895263671875
2015-12-10,1313.7939453125
2015-12-11,1303.8961181640625
2015-12-14,1333.862548828125
2015-12-15,1395.1571044921875
2015-12-16,1403.3297119140625
2015-12-17,1379.08447265625
2015-12-18,1350.66162109375
2015-12-21,1359.7421875
2015-12-22,1357.290771484375
2015-12-23,1399.9698486328125
2015-12-24,1387.34765625
2015-12-28,1396.0655517578125
2015-12-29,1384.986572265625
2015-12-30,1388.346435546875
2015-12-31,1388.346435546875
2016-01-04,1383.8065185546875
2016-01-05,1378.17626953125
2016-01-06,1343.942138671875
2016-01-07,1324.1461181640625
2016-01-08,1339.9466552734375
2016-01-11,1335.8603515625
2016-01-12,1326.2344970703125
2016-01-13,1338.1304931640625
2016-01-14,1351.29736328125
2016-01-15,1323.96484375
2016-01-18,1320.695556640625
2016-01-19,1326.1439208984375
2016-01-20,1291.0015869140625
2016-01-21,1284.82666015625
2016-01-22,1308.0733642578125
2016-01-25,1321.784912109375
2016-01-26,1362.103271484375
2016-01-27,1381.2635498046875
2016-01-28,1394.975341796875
2016-01-29,1469.8912353515625
2016-02-01,1491.14013671875
2016-02-02,1463.9884033203125
2016-02-03,1455.452880859375
2016-02-04,1493.6826171875
2016-02-05,1487.5079345703125
2016-02-08,1466.5313720703125
2016-02-09,1445.8272705078125
2016-02-10,1457.26904296875
2016-02-11,1442.830810546875
2016-02-12,1442.467529296875
2016-02-15,1457.35986328125
2016-02-16,1460.356689453125
2016-02-17,1460.6290283203125
2016-02-18,1455.7252197265625
2016-02-19,1451.457275390625
2016-02-22,1452.0928955078125
2016-02-23,1443.8297119140625
2016-02-24,1427.30322265625
2016-02-25,1452.546875
2016-02-26,1460.7197265625
2016-02-29,1451.003173828125
2016-03-01,1455.1805419921875
2016-03-02,1452.8197021484375
2016-03-03,1442.739990234375
2016-03-04,1425.6683349609375
2016-03-07,1415.1346435546875
2016-03-08,1383.2613525390625
2016-03-09,1407.143798828125
2016-03-10,1416.042724609375
2016-03-11,1438.835205078125
2016-03-14,1452.0928955078125
2016-03-15,1452.002197265625
2016-03-16,1446.9171142578125
2016-03-17,1451.457275390625
2016-03-18,1474.4315185546875
2016-03-21,1477.6097412109375
2016-03-22,1445.9180908203125
2016-03-23,1434.113525390625
2016-03-24,1430.29931640625
2016-03-28,1429.936279296875
2016-03-29,1426.3038330078125
2016-03-30,1439.5616455078125
2016-03-31,1419.4024658203125
2016-04-01,1435.2030029296875
2016-04-04,1441.5592041015625
2016-04-05,1425.57763671875
2016-04-06,1395.7928466796875
2016-04-07,1382.7164306640625
2016-04-08,1413.5001220703125
2016-04-11,1391.43408203125
2016-04-12,1382.3533935546875
2016-04-13,1388.7099609375
2016-04-14,1371.27490234375
2016-04-15,1367.642578125
2016-04-18,1369.3677978515625
2016-04-19,1362.7388916015625
2016-04-20,1356.382568359375
2016-04-21,1337.5858154296875
2016-04-22,1308.1640625
