Date,NEWGEN.NS
2018-01-29,118.36976623535156
2018-01-30,118.627685546875
2018-01-31,117.03317260742188
2018-02-01,118.627685546875
2018-02-02,109.69367980957031
2018-02-05,109.08401489257812
2018-02-06,106.27015686035156
2018-02-07,109.41230773925781
2018-02-08,111.56959533691406
2018-02-09,110.8192367553711
2018-02-12,116.58765411376953
2018-02-14,116.91593933105469
2018-02-15,112.15580749511719
2018-02-16,109.76405334472656
2018-02-19,107.7708740234375
2018-02-20,107.86467742919922
2018-02-21,107.9584732055664
2018-02-22,110.93647766113281
2018-02-23,109.74058532714844
2018-02-26,112.10891723632812
2018-02-27,114.66484069824219
2018-02-28,114.19586944580078
2018-03-01,114.47724914550781
2018-03-05,113.44550323486328
2018-03-06,111.87443542480469
2018-03-07,110.60819244384766
2018-03-08,111.73373413085938
2018-03-09,111.66339874267578
2018-03-12,114.17240905761719
2018-03-13,113.98483276367188
2018-03-14,112.03856658935547
2018-03-15,111.94477081298828
2018-03-16,112.29651641845703
2018-03-19,109.69367980957031
2018-03-20,107.84122467041016
2018-03-21,108.07571411132812
2018-03-22,107.41915130615234
2018-03-23,105.5197982788086
2018-03-26,106.9970703125
2018-03-27,106.62190246582031
2018-03-28,108.7088394165039
2018-04-02,110.37371063232422
2018-04-03,110.04542541503906
2018-04-04,111.3116683959961
2018-04-05,111.0537338256836
2018-04-06,113.16411590576172
2018-04-09,112.5075454711914
2018-04-10,112.53099822998047
2018-04-11,113.16411590576172
2018-04-12,112.97651672363281
2018-04-13,114.07862091064453
2018-04-16,112.43721008300781
2018-04-17,111.28821563720703
2018-04-18,109.64679718017578
2018-04-19,108.2633056640625
2018-04-20,108.9667739868164
2018-04-23,111.28821563720703
2018-04-24,111.35855865478516
2018-04-25,109.48265075683594
2018-04-26,111.96823120117188
2018-04-27,112.22616577148438
2018-04-30,117.78353881835938
2018-05-02,117.73664855957031
2018-05-03,115.39176177978516
2018-05-04,116.77523803710938
2018-05-07,119.44840240478516
2018-05-08,119.68289184570312
2018-05-09,119.72980499267578
2018-05-10,117.03317260742188
2018-05-11,117.45526123046875
2018-05-14,118.53389739990234
2018-05-15,119.19046783447266
2018-05-16,119.44840240478516
2018-05-17,123.71609497070312
2018-05-18,121.6526107788086
2018-05-21,120.9491195678711
2018-05-22,118.13526916503906
2018-05-23,118.53389739990234
2018-05-24,117.78353881835938
2018-05-25,120.48014831542969
2018-05-28,121.01946258544922
2018-05-29,119.28426361083984
2018-05-30,118.11183166503906
2018-05-31,125.21682739257812
2018-06-01,124.79474639892578
2018-06-04,118.5573501586914
2018-06-05,117.90078735351562
2018-06-06,120.6677474975586
2018-06-07,119.72980499267578
2018-06-08,121.53535461425781
2018-06-11,120.8553466796875
2018-06-12,122.75469970703125
2018-06-13,119.54220581054688
2018-06-14,117.33800506591797
2018-06-15,117.5256118774414
2018-06-18,117.76009368896484
2018-06-19,116.79869079589844
2018-06-20,117.33800506591797
2018-06-21,118.25251007080078
2018-06-22,118.90907287597656
2018-06-25,117.31455993652344
2018-06-26,115.25106811523438
2018-06-27,113.98483276367188
2018-06-28,115.53243255615234
2018-06-29,118.8152847290039
2018-07-02,115.48554992675781
2018-07-03,113.96137237548828
2018-07-04,116.4000473022461
2018-07-05,114.92279052734375
2018-07-06,114.21932220458984
