Date,KIM
2015-08-03,15.4911470413208
2015-08-04,15.379873275756836
2015-08-05,15.237696647644043
2015-08-06,15.342782974243164
2015-08-07,15.398420333862305
2015-08-10,15.250057220458984
2015-08-11,15.392230987548828
2015-08-12,15.552959442138672
2015-08-13,15.651861190795898
2015-08-14,15.701321601867676
2015-08-17,15.794041633605957
2015-08-18,15.862042427062988
2015-08-19,15.701321601867676
2015-08-20,15.565319061279297
2015-08-21,15.175875663757324
2015-08-24,14.40317153930664
2015-08-25,13.970464706420898
2015-08-26,14.557722091674805
2015-08-27,14.718435287475586
2015-08-28,14.57625961303711
2015-08-31,14.248632431030273
2015-09-01,13.933375358581543
2015-09-02,14.069365501403809
2015-09-03,14.112637519836426
2015-09-04,13.772648811340332
2015-09-08,13.995187759399414
2015-09-09,13.760287284851074
2015-09-10,13.88392162322998
2015-09-11,14.217728614807129
2015-09-14,14.19300365447998
2015-09-15,14.384631156921387
2015-09-16,14.58244514465332
2015-09-17,14.736981391906738
2015-09-18,14.916250228881836
2015-09-21,15.015156745910645
2015-09-22,14.87297534942627
2015-09-23,14.97806453704834
2015-09-24,14.79261589050293
2015-09-25,14.910066604614258
2015-09-28,14.638076782226562
2015-09-29,14.885348320007324
2015-09-30,15.101698875427246
2015-10-01,15.288990020751953
2015-10-02,15.538707733154297
2015-10-05,15.769697189331055
2015-10-06,15.61362075805664
2015-10-07,15.838369369506836
2015-10-08,16.050622940063477
2015-10-09,15.888310432434082
2015-10-12,16.144277572631836
2015-10-13,16.187973022460938
2015-10-14,15.769697189331055
2015-10-15,15.86958122253418
2015-10-16,16.131786346435547
2015-10-19,16.34404754638672
2015-10-20,16.28162384033203
2015-10-21,16.175487518310547
2015-10-22,16.475147247314453
2015-10-23,16.431447982788086
2015-10-26,16.556304931640625
2015-10-27,16.7623291015625
2015-10-28,16.918397903442383
2015-10-29,16.924640655517578
2015-10-30,16.712379455566406
2015-11-02,17.049503326416016
2015-11-03,16.962099075317383
2015-11-04,16.793537139892578
2015-11-05,16.81850814819336
2015-11-06,16.3253231048584
2015-11-09,15.932007789611816
2015-11-10,16.12554359436035
2015-11-11,16.306594848632812
2015-11-12,16.16924285888672
2015-11-13,15.913280487060547
2015-11-16,16.100574493408203
2015-11-17,16.162994384765625
2015-11-18,16.387741088867188
2015-11-19,16.43769073486328
2015-11-20,16.550065994262695
2015-11-23,16.350290298461914
2015-11-24,16.28162384033203
2015-11-25,16.29410171508789
2015-11-27,16.468904495239258
2015-11-30,16.287858963012695
2015-12-01,16.637466430664062
2015-12-02,16.21918487548828
2015-12-03,15.775940895080566
2015-12-04,15.981956481933594
2015-12-07,15.975712776184082
2015-12-08,15.894550323486328
2015-12-09,15.90704345703125
2015-12-10,15.744722366333008
2015-12-11,15.688536643981934
2015-12-14,15.782180786132812
2015-12-15,16.144277572631836
2015-12-16,16.493873596191406
2015-12-17,16.36277198791504
2015-12-18,16.094322204589844
2015-12-21,16.287858963012695
2015-12-22,16.306594848632812
2015-12-23,16.537574768066406
2015-12-24,16.53133201599121
2015-12-28,16.643707275390625
2015-12-29,16.83724021911621
2015-12-30,16.821481704711914
2015-12-31,16.67652130126953
2016-01-04,16.229047775268555
2016-01-05,16.73954963684082
2016-01-06,16.588287353515625
2016-01-07,16.172321319580078
2016-01-08,15.895008087158203
2016-01-11,16.147113800048828
2016-01-12,16.07777976989746
2016-01-13,15.888708114624023
2016-01-14,15.932833671569824
2016-01-15,16.008451461791992
2016-01-19,16.203832626342773
2016-01-20,15.976943016052246
2016-01-21,16.386606216430664
2016-01-22,16.752153396606445
2016-01-25,16.506357192993164
2016-01-26,16.852996826171875
2016-01-27,16.663923263549805
2016-01-28,16.663923263549805
2016-01-29,17.13661003112793
2016-02-01,17.199636459350586
2016-02-02,17.130308151245117
2016-02-03,17.483247756958008
2016-02-04,17.527366638183594
2016-02-05,17.376110076904297
2016-02-08,16.928627014160156
2016-02-09,17.029462814331055
2016-02-10,16.852996826171875
2016-02-11,16.56308364868164
2016-02-12,16.56938362121582
2016-02-16,16.714336395263672
2016-02-17,16.871904373168945
2016-02-18,16.878211975097656
2016-02-19,16.953832626342773
2016-02-22,17.060977935791016
2016-02-23,16.947528839111328
2016-02-24,16.73954963684082
2016-02-25,17.092496871948242
2016-02-26,16.821481704711914
2016-02-29,16.859294891357422
2016-03-01,17.262662887573242
2016-03-02,17.33198356628418
2016-03-03,17.413925170898438
2016-03-04,17.40131378173828
2016-03-07,17.30048179626465
2016-03-08,17.224843978881836
2016-03-09,17.25005531311035
2016-03-10,17.224843978881836
2016-03-11,17.50845718383789
2016-03-14,17.521068572998047
2016-03-15,17.70383644104004
2016-03-16,17.874013900756836
2016-03-17,18.308881759643555
2016-03-18,17.95594596862793
2016-03-21,17.571481704711914
2016-03-22,17.64711570739746
2016-03-23,17.5147647857666
2016-03-24,17.521068572998047
2016-03-28,17.65342140197754
2016-03-29,18.157623291015625
2016-03-30,18.063087463378906
2016-03-31,18.138715744018555
2016-04-01,18.205488204956055
2016-04-04,18.05923080444336
2016-04-05,17.900259017944336
2016-04-06,18.05923080444336
2016-04-07,17.862098693847656
2016-04-08,17.919330596923828
2016-04-11,18.027435302734375
2016-04-12,18.205488204956055
2016-04-13,18.243635177612305
2016-04-14,18.13553810119629
2016-04-15,18.218202590942383
2016-04-18,18.211843490600586
2016-04-19,18.224557876586914
2016-04-20,17.982921600341797
2016-04-21,17.73492431640625
2016-04-22,17.944765090942383
2016-04-25,18.08466339111328
2016-04-26,18.167329788208008
2016-04-27,18.262718200683594
