Date,MOTILALOFS.NS
2015-08-21,303.60748291015625
2015-08-24,285.6434020996094
2015-08-25,285.4507751464844
2015-08-26,284.4875183105469
2015-08-27,294.8903503417969
2015-08-28,302.45166015625
2015-08-31,316.322021484375
2015-09-01,292.8194580078125
2015-09-02,287.9551086425781
2015-09-03,293.34912109375
2015-09-04,288.6776123046875
2015-09-07,273.9403076171875
2015-09-08,277.4560241699219
2015-09-09,275.5295715332031
2015-09-10,280.2975158691406
2015-09-11,288.96649169921875
2015-09-14,283.18719482421875
2015-09-15,283.04266357421875
2015-09-16,293.15655517578125
2015-09-18,293.49365234375
2015-09-21,293.2047424316406
2015-09-22,282.512939453125
2015-09-23,280.8755187988281
2015-09-24,295.13116455078125
2015-09-28,289.0628662109375
2015-09-29,284.2948913574219
2015-09-30,282.36846923828125
2015-10-01,276.8781433105469
2015-10-05,274.0847473144531
2015-10-06,279.5269470214844
2015-10-07,275.7703552246094
2015-10-08,269.7984313964844
2015-10-09,265.656494140625
2015-10-12,272.88079833984375
2015-10-13,277.263427734375
2015-10-14,276.10748291015625
2015-10-15,281.983154296875
2015-10-16,274.9998474121094
2015-10-19,277.79315185546875
2015-10-20,314.9735107421875
2015-10-21,318.2003173828125
2015-10-23,322.67926025390625
2015-10-26,319.6451110839844
2015-10-27,315.262451171875
2015-10-28,315.55145263671875
2015-10-29,315.262451171875
2015-10-30,320.31939697265625
2015-11-02,323.0164489746094
2015-11-03,331.20379638671875
2015-11-04,328.1214599609375
2015-11-05,327.35101318359375
2015-11-06,327.15826416015625
2015-11-09,328.50677490234375
2015-11-10,329.0365905761719
2015-11-13,331.0111999511719
2015-11-16,328.60308837890625
2015-11-17,325.9542236328125
2015-11-18,321.86053466796875
2015-11-19,326.580322265625
2015-11-20,326.5321960449219
2015-11-23,334.4787902832031
2015-11-24,330.6258544921875
2015-11-26,323.78692626953125
2015-11-27,320.8973693847656
2015-11-30,327.4953918457031
2015-12-01,332.5041809082031
2015-12-02,337.1757507324219
2015-12-03,333.2747497558594
2015-12-04,332.7930603027344
2015-12-07,327.6398010253906
2015-12-08,325.80975341796875
2015-12-09,325.5207824707031
2015-12-10,327.35101318359375
2015-12-11,324.5575866699219
2015-12-14,322.3421630859375
2015-12-15,325.5689697265625
2015-12-16,320.3675842285156
2015-12-17,311.89117431640625
2015-12-18,312.3727722167969
2015-12-21,317.7668762207031
2015-12-22,319.69329833984375
2015-12-23,318.00762939453125
2015-12-24,317.3334045410156
2015-12-28,318.10400390625
2015-12-29,317.9595031738281
2015-12-30,318.8263854980469
2015-12-31,322.05316162109375
2016-01-01,325.6170654296875
2016-01-04,318.34478759765625
2016-01-05,316.6109924316406
2016-01-06,321.57159423828125
2016-01-07,315.0216369628906
2016-01-08,316.4665222167969
2016-01-11,312.1319885253906
2016-01-12,311.6986083984375
2016-01-13,319.40435791015625
2016-01-14,308.4236145019531
2016-01-15,292.0970153808594
2016-01-18,270.28009033203125
2016-01-19,266.7642517089844
2016-01-20,264.7896423339844
2016-01-21,269.7020263671875
2016-01-22,272.110107421875
2016-01-25,278.6600646972656
2016-01-27,274.759033203125
2016-01-28,276.3483581542969
2016-01-29,278.37109375
2016-02-01,276.01116943359375
2016-02-02,275.7221984863281
2016-02-03,274.0847473144531
2016-02-04,282.17578125
2016-02-05,287.04010009765625
2016-02-08,282.56109619140625
2016-02-09,278.0339660644531
2016-02-10,283.427978515625
2016-02-11,265.28857421875
2016-02-12,258.00384521484375
2016-02-15,265.2403564453125
2016-02-16,261.42919921875
2016-02-17,258.341552734375
2016-02-18,260.8985290527344
2016-02-19,264.227294921875
2016-02-22,257.6180114746094
2016-02-23,259.3065185546875
2016-02-24,256.8460693359375
2016-02-25,258.486328125
