Date,AO.L
2015-08-24,122.80000305175781
2015-08-25,122.9000015258789
2015-08-26,125.19999694824219
2015-08-27,126.69999694824219
2015-08-28,129.39999389648438
2015-09-01,129.39999389648438
2015-09-02,128.89999389648438
2015-09-03,135.0
2015-09-04,133.60000610351562
2015-09-07,137.0
2015-09-08,150.8000030517578
2015-09-09,161.0
2015-09-10,162.0
2015-09-11,153.0
2015-09-14,150.6999969482422
2015-09-15,154.0
2015-09-16,152.0
2015-09-17,155.1999969482422
2015-09-18,169.89999389648438
2015-09-21,162.89999389648438
2015-09-22,152.3000030517578
2015-09-23,156.6999969482422
2015-09-24,160.1999969482422
2015-09-25,160.0
2015-09-28,161.8000030517578
2015-09-29,159.0
2015-09-30,168.39999389648438
2015-10-01,168.0
2015-10-02,163.0
2015-10-05,165.0
2015-10-06,162.10000610351562
2015-10-07,163.5
2015-10-08,162.6999969482422
2015-10-09,161.6999969482422
2015-10-12,155.10000610351562
2015-10-13,153.60000610351562
2015-10-14,153.5
2015-10-15,155.8000030517578
2015-10-16,156.1999969482422
2015-10-19,155.0
2015-10-20,159.5
2015-10-21,164.3000030517578
2015-10-22,162.39999389648438
2015-10-23,158.8000030517578
2015-10-26,156.1999969482422
2015-10-27,160.89999389648438
2015-10-28,160.0
2015-10-29,161.0
2015-10-30,158.39999389648438
2015-11-02,157.1999969482422
2015-11-03,157.8000030517578
2015-11-04,159.8000030517578
2015-11-05,159.60000610351562
2015-11-06,159.1999969482422
2015-11-09,159.8000030517578
2015-11-10,159.5
2015-11-11,162.39999389648438
2015-11-12,156.3000030517578
2015-11-13,156.5
2015-11-16,155.6999969482422
2015-11-17,159.3000030517578
2015-11-18,158.5
2015-11-19,159.10000610351562
2015-11-20,155.5
2015-11-23,163.0
2015-11-24,140.0
2015-11-25,140.3000030517578
2015-11-26,140.0
2015-11-27,144.0
2015-11-30,149.0
2015-12-01,160.0
2015-12-02,161.0
2015-12-03,160.5
2015-12-04,163.0
2015-12-07,169.89999389648438
2015-12-08,162.8000030517578
2015-12-09,159.5
2015-12-10,162.0
2015-12-11,158.89999389648438
2015-12-14,159.3000030517578
2015-12-15,160.0
2015-12-16,160.0
2015-12-17,155.0
2015-12-18,156.60000610351562
2015-12-21,160.0
2015-12-22,156.1999969482422
2015-12-23,158.10000610351562
2015-12-24,160.0
2015-12-29,158.0
2015-12-30,156.10000610351562
2015-12-31,156.10000610351562
2016-01-04,154.89999389648438
2016-01-05,147.39999389648438
2016-01-06,148.0
2016-01-07,147.8000030517578
2016-01-08,146.60000610351562
2016-01-11,146.5
2016-01-12,150.0
2016-01-13,156.3000030517578
2016-01-14,152.0
2016-01-15,148.39999389648438
2016-01-18,147.0
2016-01-19,145.1999969482422
2016-01-20,148.1999969482422
2016-01-21,152.0
2016-01-22,155.1999969482422
2016-01-25,151.89999389648438
2016-01-26,150.60000610351562
2016-01-27,151.0
2016-01-28,152.5
2016-01-29,152.0
2016-02-01,159.60000610351562
2016-02-02,160.0
2016-02-03,159.6999969482422
2016-02-04,160.0
2016-02-05,160.0
2016-02-08,160.3000030517578
2016-02-09,160.6999969482422
2016-02-10,161.0
2016-02-11,163.0
2016-02-12,160.0
2016-02-15,160.0
2016-02-16,161.0
2016-02-17,166.0
2016-02-18,166.0
2016-02-19,180.0
2016-02-22,173.1999969482422
2016-02-23,167.39999389648438
2016-02-24,162.5
2016-02-25,159.3000030517578
2016-02-26,158.8000030517578
2016-02-29,154.0
2016-03-01,162.0
2016-03-02,170.6999969482422
2016-03-03,187.39999389648438
2016-03-04,189.3000030517578
2016-03-07,183.39999389648438
2016-03-08,182.10000610351562
2016-03-09,180.10000610351562
2016-03-10,179.5
2016-03-11,180.0
2016-03-14,175.10000610351562
2016-03-15,174.1999969482422
2016-03-16,171.3000030517578
2016-03-17,167.10000610351562
2016-03-18,170.89999389648438
2016-03-21,172.6999969482422
2016-03-22,171.5
2016-03-23,171.5
2016-03-24,165.89999389648438
2016-03-29,170.3000030517578
2016-03-30,172.8000030517578
2016-03-31,179.0
2016-04-01,175.0
2016-04-04,172.8000030517578
2016-04-05,171.89999389648438
2016-04-06,172.0
2016-04-07,173.1999969482422
2016-04-08,173.6999969482422
2016-04-11,170.10000610351562
2016-04-12,161.8000030517578
2016-04-13,166.89999389648438
2016-04-14,165.89999389648438
2016-04-15,169.0
2016-04-18,168.10000610351562
2016-04-19,169.89999389648438
2016-04-20,173.89999389648438
2016-04-21,171.5
2016-04-22,174.5
2016-04-25,177.5
2016-04-26,184.6999969482422
2016-04-27,187.0
2016-04-28,185.0
2016-04-29,182.3000030517578
2016-05-03,180.0
2016-05-04,180.0
2016-05-05,175.8000030517578
2016-05-06,174.0
2016-05-09,173.10000610351562
2016-05-10,172.5
2016-05-11,171.5
2016-05-12,166.89999389648438
2016-05-13,166.89999389648438
2016-05-16,163.0
2016-05-17,170.0
2016-05-18,170.0
2016-05-19,172.60000610351562
2016-05-20,169.5
2016-05-23,170.0
2016-05-24,175.0
2016-05-25,171.0
2016-05-26,169.89999389648438
2016-05-27,170.0
2016-05-31,170.0
2016-06-01,168.0
2016-06-02,174.0
2016-06-03,175.0
2016-06-06,170.0
2016-06-07,167.10000610351562
2016-06-08,158.0
2016-06-09,159.6999969482422
2016-06-10,157.60000610351562
2016-06-13,155.0
2016-06-14,151.39999389648438
2016-06-15,146.8000030517578
2016-06-16,149.0
2016-06-17,156.3000030517578
2016-06-20,158.10000610351562
2016-06-21,161.10000610351562
2016-06-22,160.0
2016-06-23,158.0
2016-06-24,146.39999389648438
2016-06-27,120.5
2016-06-28,135.0
2016-06-29,145.0
2016-06-30,140.0
2016-07-01,142.5
2016-07-04,147.3000030517578
2016-07-05,137.8000030517578
2016-07-06,141.39999389648438
2016-07-07,142.0
2016-07-08,139.0
2016-07-11,141.1999969482422
2016-07-12,140.39999389648438
2016-07-13,140.0
2016-07-14,138.0
2016-07-15,135.0
2016-07-18,136.39999389648438
2016-07-19,135.3000030517578
2016-07-20,134.39999389648438
2016-07-21,147.60000610351562
2016-07-22,149.0
2016-07-25,153.1999969482422
2016-07-26,151.5
2016-07-27,149.60000610351562
2016-07-28,147.0
2016-07-29,147.0
2016-08-01,142.3000030517578
2016-08-02,144.0
2016-08-03,145.0
2016-08-04,144.89999389648438
2016-08-05,144.3000030517578
2016-08-08,143.5
2016-08-09,147.39999389648438
2016-08-10,148.0
2016-08-11,147.89999389648438
2016-08-12,152.89999389648438
2016-08-15,156.89999389648438
2016-08-16,156.1999969482422
2016-08-17,155.89999389648438
2016-08-18,156.89999389648438
2016-08-19,158.10000610351562
2016-08-22,158.89999389648438
2016-08-23,161.89999389648438
2016-08-24,166.0
2016-08-25,170.1999969482422
2016-08-26,172.8000030517578
2016-08-30,175.0
2016-08-31,175.0
2016-09-01,174.5
2016-09-02,172.0
2016-09-05,170.89999389648438
2016-09-06,170.89999389648438
2016-09-07,169.3000030517578
2016-09-08,169.0
2016-09-09,163.6999969482422
2016-09-12,161.1999969482422
2016-09-13,162.3000030517578
2016-09-14,165.0
2016-09-15,164.3000030517578
2016-09-16,165.0
2016-09-19,163.0
2016-09-20,157.5
2016-09-21,165.8000030517578
2016-09-22,167.10000610351562
2016-09-23,160.6999969482422
2016-09-26,163.39999389648438
2016-09-27,159.0
2016-09-28,159.1999969482422
2016-09-29,168.3000030517578
2016-09-30,169.0
2016-10-03,170.39999389648438
2016-10-04,172.89999389648438
2016-10-05,170.3000030517578
2016-10-06,173.89999389648438
2016-10-07,172.10000610351562
2016-10-10,178.0
2016-10-11,182.10000610351562
2016-10-12,180.0
2016-10-13,180.0
2016-10-14,180.5
2016-10-17,180.8000030517578
2016-10-18,182.39999389648438
2016-10-19,180.3000030517578
2016-10-20,180.0
2016-10-21,175.60000610351562
2016-10-24,174.10000610351562
2016-10-25,166.5
2016-10-26,164.0
2016-10-27,167.0
2016-10-28,163.0
2016-10-31,157.60000610351562
2016-11-01,163.60000610351562
2016-11-02,160.3000030517578
2016-11-03,168.5
2016-11-04,168.60000610351562
2016-11-07,168.3000030517578
2016-11-08,159.0
2016-11-09,164.0
2016-11-10,166.10000610351562
2016-11-11,169.6999969482422
2016-11-14,162.60000610351562
2016-11-15,163.0
2016-11-16,157.6999969482422
2016-11-17,162.0
2016-11-18,164.0
2016-11-21,168.0
2016-11-22,168.5
2016-11-23,168.0
2016-11-24,164.0
2016-11-25,165.0
2016-11-28,171.0
2016-11-29,162.39999389648438
2016-11-30,171.0
2016-12-01,171.10000610351562
2016-12-02,173.0
2016-12-05,172.1999969482422
2016-12-06,174.8000030517578
2016-12-07,175.0
2016-12-08,175.0
2016-12-09,186.10000610351562
2016-12-12,184.0
2016-12-13,184.0
2016-12-14,184.0
2016-12-15,184.0
2016-12-16,183.0
2016-12-19,184.0
2016-12-20,184.0
2016-12-21,181.0
2016-12-22,184.39999389648438
2016-12-23,183.5
2016-12-28,187.3000030517578
2016-12-29,188.0
2016-12-30,181.39999389648438
2017-01-03,181.60000610351562
2017-01-04,178.10000610351562
2017-01-05,180.39999389648438
2017-01-06,180.0
2017-01-09,181.5
2017-01-10,181.1999969482422
2017-01-11,184.3000030517578
2017-01-12,162.3000030517578
2017-01-13,158.5
2017-01-16,160.0
2017-01-17,163.0
2017-01-18,160.0
2017-01-19,159.8000030517578
2017-01-20,158.60000610351562
2017-01-23,162.1999969482422
2017-01-24,161.89999389648438
2017-01-25,161.0
2017-01-26,161.39999389648438
2017-01-27,161.10000610351562
2017-01-30,158.5
2017-01-31,159.89999389648438
2017-02-01,161.3000030517578
2017-02-02,159.6999969482422
2017-02-03,158.0
2017-02-06,153.60000610351562
2017-02-07,160.0
2017-02-08,161.39999389648438
2017-02-09,159.89999389648438
2017-02-10,161.6999969482422
2017-02-13,159.3000030517578
2017-02-14,156.1999969482422
2017-02-15,154.89999389648438
2017-02-16,154.89999389648438
2017-02-17,156.8000030517578
2017-02-20,160.0
2017-02-21,152.5
2017-02-22,151.60000610351562
2017-02-23,150.0
2017-02-24,147.39999389648438
2017-02-27,147.10000610351562
2017-02-28,147.5
2017-03-01,149.5
2017-03-02,147.0
2017-03-03,147.10000610351562
2017-03-06,147.1999969482422
2017-03-07,148.10000610351562
2017-03-08,149.39999389648438
2017-03-09,149.60000610351562
2017-03-10,147.60000610351562
2017-03-13,151.60000610351562
2017-03-14,149.60000610351562
2017-03-15,146.1999969482422
2017-03-16,146.0
2017-03-17,148.0
2017-03-20,147.5
2017-03-21,143.60000610351562
2017-03-22,137.0
2017-03-23,140.0
2017-03-24,141.0
2017-03-27,142.89999389648438
2017-03-28,141.39999389648438
2017-03-29,137.89999389648438
2017-03-30,141.0
2017-03-31,135.0
2017-04-03,135.8000030517578
2017-04-04,137.0
2017-04-05,135.0
2017-04-06,135.1999969482422
2017-04-07,135.0
2017-04-10,135.0
2017-04-11,138.89999389648438
2017-04-12,143.1999969482422
2017-04-13,137.0
2017-04-18,135.6999969482422
2017-04-19,137.0
2017-04-20,135.0
2017-04-21,136.0
2017-04-24,135.6999969482422
2017-04-25,135.10000610351562
2017-04-26,136.0
2017-04-27,135.0
2017-04-28,135.0
2017-05-02,138.89999389648438
2017-05-03,142.89999389648438
2017-05-04,144.3000030517578
2017-05-05,147.0
2017-05-08,146.60000610351562
2017-05-09,150.89999389648438
2017-05-10,148.5
2017-05-11,144.8000030517578
2017-05-12,146.0
2017-05-15,150.0
2017-05-16,150.0
2017-05-17,153.39999389648438
2017-05-18,151.39999389648438
2017-05-19,149.6999969482422
2017-05-22,150.0
2017-05-23,146.60000610351562
2017-05-24,142.0
2017-05-25,141.39999389648438
2017-05-26,142.0
2017-05-30,142.0
2017-05-31,144.0
2017-06-01,145.0
2017-06-02,145.0
2017-06-05,145.0
2017-06-06,129.5
2017-06-07,126.9000015258789
2017-06-08,129.0
2017-06-09,126.30000305175781
2017-06-12,123.5999984741211
2017-06-13,127.5
2017-06-14,129.0
2017-06-15,122.9000015258789
2017-06-16,122.80000305175781
2017-06-19,126.5
2017-06-20,125.0
2017-06-21,125.0
2017-06-22,124.75
2017-06-23,125.25
2017-06-26,125.75
2017-06-27,122.0
2017-06-28,120.0
2017-06-29,115.0
2017-06-30,116.25
2017-07-03,115.0
2017-07-04,117.75
2017-07-05,118.0
2017-07-06,118.5
2017-07-07,120.25
2017-07-10,118.0
2017-07-11,118.0
2017-07-12,117.0
2017-07-13,120.0
2017-07-14,120.5
2017-07-17,121.5
2017-07-18,119.0
2017-07-19,119.5
2017-07-20,119.0
2017-07-21,120.0
2017-07-24,118.75
2017-07-25,118.5
2017-07-26,118.0
2017-07-27,118.25
2017-07-28,117.0
2017-07-31,117.75
2017-08-01,119.5
2017-08-02,119.0
2017-08-03,118.0
2017-08-04,118.5
2017-08-07,117.0
2017-08-08,118.0
2017-08-09,117.75
2017-08-10,118.0
2017-08-11,117.25
2017-08-14,116.5
2017-08-15,117.0
2017-08-16,116.75
2017-08-17,118.5
2017-08-18,115.5
2017-08-21,114.5
2017-08-22,113.75
2017-08-23,112.75
2017-08-24,112.25
2017-08-25,112.0
2017-08-29,109.75
2017-08-30,111.0
2017-08-31,115.5
2017-09-01,113.0
2017-09-04,113.0
2017-09-05,116.25
2017-09-06,118.0
2017-09-07,115.5
2017-09-08,116.5
2017-09-11,115.0
2017-09-12,114.0
2017-09-13,112.5
2017-09-14,112.25
2017-09-15,117.0
2017-09-18,117.5
2017-09-19,112.25
2017-09-20,113.0
2017-09-21,111.0
2017-09-22,111.5
2017-09-25,117.25
2017-09-26,112.0
2017-09-27,111.25
2017-09-28,109.5
2017-09-29,111.5
2017-10-02,112.0
2017-10-03,110.0
2017-10-04,111.5
2017-10-05,112.0
2017-10-06,113.5
2017-10-09,110.25
2017-10-10,111.5
2017-10-11,111.5
2017-10-12,115.0
2017-10-13,111.25
2017-10-16,113.5
2017-10-17,111.0
2017-10-18,111.0
2017-10-19,112.0
2017-10-20,111.0
2017-10-23,111.0
2017-10-24,110.75
2017-10-25,110.25
2017-10-26,110.75
2017-10-27,111.75
2017-10-30,112.0
2017-10-31,110.0
2017-11-01,110.25
2017-11-02,110.0
2017-11-03,110.5
2017-11-06,112.0
2017-11-07,108.75
2017-11-08,105.5
2017-11-09,109.0
2017-11-10,104.5
2017-11-13,103.5
2017-11-14,105.0
2017-11-15,105.25
2017-11-16,110.75
2017-11-17,114.0
2017-11-20,115.0
2017-11-21,112.75
2017-11-22,115.0
2017-11-23,120.75
2017-11-24,129.75
2017-11-27,130.5
2017-11-28,132.0
2017-11-29,134.25
2017-11-30,130.0
2017-12-01,130.0
2017-12-04,123.75
2017-12-05,124.5
2017-12-06,117.25
2017-12-07,116.5
2017-12-08,116.25
2017-12-11,116.0
2017-12-12,114.75
2017-12-13,111.25
2017-12-14,112.25
2017-12-15,109.0
2017-12-18,111.5
2017-12-19,113.5
2017-12-20,111.0
2017-12-21,111.0
2017-12-22,108.75
2017-12-27,111.0
2017-12-28,109.75
2017-12-29,110.0
2018-01-02,107.5999984741211
2018-01-03,111.0
2018-01-04,114.5999984741211
2018-01-05,120.0
2018-01-08,122.0
2018-01-09,126.0
2018-01-10,131.0
2018-01-11,141.0
2018-01-12,141.39999389648438
2018-01-15,143.1999969482422
2018-01-16,141.39999389648438
2018-01-17,141.39999389648438
2018-01-18,145.0
2018-01-19,145.1999969482422
2018-01-22,145.60000610351562
2018-01-23,147.39999389648438
2018-01-24,148.0
2018-01-25,147.39999389648438
2018-01-26,145.0
2018-01-29,144.0
2018-01-30,140.8000030517578
2018-01-31,141.0
2018-02-01,140.0
2018-02-02,133.0
2018-02-05,134.0
2018-02-06,131.8000030517578
2018-02-07,135.0
2018-02-08,136.0
2018-02-09,137.0
2018-02-12,141.0
2018-02-13,138.0
2018-02-14,135.0
2018-02-15,132.60000610351562
2018-02-16,133.60000610351562
2018-02-19,133.8000030517578
2018-02-20,131.1999969482422
2018-02-21,132.0
2018-02-22,131.60000610351562
2018-02-23,139.1999969482422
2018-02-26,137.8000030517578
2018-02-27,140.60000610351562
2018-02-28,138.8000030517578
2018-03-01,137.1999969482422
2018-03-02,138.1999969482422
2018-03-05,140.0
2018-03-06,138.0
2018-03-07,132.39999389648438
2018-03-08,140.0
2018-03-09,135.39999389648438
2018-03-12,138.60000610351562
2018-03-13,138.0
2018-03-14,138.8000030517578
2018-03-15,139.0
2018-03-16,139.60000610351562
2018-03-19,137.8000030517578
2018-03-20,134.0
2018-03-21,126.19999694824219
2018-03-22,127.0
2018-03-23,127.4000015258789
2018-03-26,117.5999984741211
2018-03-27,114.80000305175781
2018-03-28,114.5999984741211
2018-03-29,115.5999984741211
2018-04-03,115.80000305175781
2018-04-04,113.4000015258789
2018-04-05,114.80000305175781
2018-04-06,129.8000030517578
2018-04-09,125.0
2018-04-10,126.80000305175781
2018-04-11,126.4000015258789
2018-04-12,128.60000610351562
2018-04-13,133.1999969482422
2018-04-16,135.0
2018-04-17,137.1999969482422
2018-04-18,139.0
2018-04-19,139.0
2018-04-20,143.39999389648438
2018-04-23,145.8000030517578
2018-04-24,146.60000610351562
2018-04-25,148.39999389648438
2018-04-26,154.0
2018-04-27,153.1999969482422
2018-04-30,156.0
2018-05-01,154.0
2018-05-02,150.0
2018-05-03,148.0
2018-05-04,146.39999389648438
2018-05-08,147.60000610351562
2018-05-09,147.8000030517578
2018-05-10,149.0
2018-05-11,150.0
2018-05-14,148.60000610351562
2018-05-15,147.60000610351562
2018-05-16,147.1999969482422
2018-05-17,156.39999389648438
2018-05-18,169.39999389648438
2018-05-21,174.8000030517578
2018-05-22,180.0
2018-05-23,180.0
2018-05-24,168.60000610351562
2018-05-25,175.0
2018-05-29,164.60000610351562
2018-05-30,164.0
2018-05-31,169.1999969482422
2018-06-01,160.0
2018-06-04,152.60000610351562
2018-06-05,162.0
2018-06-06,167.0
2018-06-07,165.1999969482422
2018-06-08,155.8000030517578
2018-06-11,154.0
2018-06-12,153.0
2018-06-13,149.8000030517578
2018-06-14,151.39999389648438
2018-06-15,151.8000030517578
2018-06-18,152.0
2018-06-19,151.1999969482422
2018-06-20,149.60000610351562
2018-06-21,151.0
2018-06-22,153.1999969482422
2018-06-25,155.0
2018-06-26,157.1999969482422
2018-06-27,155.8000030517578
2018-06-28,151.8000030517578
2018-06-29,149.60000610351562
2018-07-02,147.60000610351562
2018-07-03,149.39999389648438
2018-07-04,147.0
2018-07-05,150.0
2018-07-06,146.1999969482422
2018-07-09,150.0
2018-07-10,150.0
2018-07-11,146.8000030517578
