Date,DRX.L
2015-08-24,269.4019775390625
2015-08-25,277.4720764160156
2015-08-26,277.4720764160156
2015-08-27,287.13623046875
2015-08-28,291.52008056640625
2015-09-01,278.6676330566406
2015-09-02,279.5643615722656
2015-09-03,277.4720764160156
2015-09-04,273.58648681640625
2015-09-07,271.8926696777344
2015-09-08,273.8854064941406
2015-09-09,272.19171142578125
2015-09-10,265.0181884765625
2015-09-11,258.7414855957031
2015-09-14,261.23223876953125
2015-09-15,266.2137756347656
2015-09-16,272.6897888183594
2015-09-17,271.1953125
2015-09-18,278.1694030761719
2015-09-21,276.973876953125
2015-09-22,265.1178283691406
2015-09-23,258.34295654296875
2015-09-24,239.26084899902344
2015-09-25,241.75210571289062
2015-09-28,233.58078002929688
2015-09-29,236.76963806152344
2015-09-30,243.147216796875
2015-10-01,246.23641967773438
2015-10-02,250.42169189453125
2015-10-05,261.28363037109375
2015-10-06,249.1262969970703
2015-10-07,262.97772216796875
2015-10-08,269.8536071777344
2015-10-09,284.2032775878906
2015-10-12,282.5091247558594
2015-10-13,279.6193542480469
2015-10-14,279.81854248046875
2015-10-15,284.0039367675781
2015-10-16,279.3203430175781
2015-10-19,284.0039367675781
2015-10-20,274.8360900878906
2015-10-21,268.059814453125
2015-10-22,281.6123046875
2015-10-23,282.3098449707031
2015-10-26,278.7224426269531
2015-10-27,264.7713928222656
2015-10-28,266.764404296875
2015-10-29,256.00213623046875
2015-10-30,259.6892395019531
2015-11-02,260.38671875
2015-11-03,264.372802734375
2015-11-04,279.51971435546875
2015-11-05,284.1036376953125
2015-11-06,270.75042724609375
2015-11-09,258.1944274902344
2015-11-10,236.66993713378906
2015-11-11,233.87973022460938
2015-11-12,227.0038604736328
2015-11-13,230.2923126220703
2015-11-16,230.49159240722656
2015-11-17,225.70834350585938
2015-11-18,216.3412322998047
2015-11-19,227.30279541015625
2015-11-20,233.18222045898438
2015-11-23,232.38497924804688
2015-11-24,242.74864196777344
2015-11-25,229.79405212402344
2015-11-26,235.87277221679688
2015-11-27,233.18222045898438
2015-11-30,224.3132781982422
2015-12-01,252.2154083251953
2015-12-02,251.11927795410156
2015-12-03,243.5458221435547
2015-12-04,228.996826171875
2015-12-07,226.80453491210938
2015-12-08,217.9356231689453
2015-12-09,223.41639709472656
2015-12-10,219.53005981445312
