Date,UHR.SW
2015-08-24,282.57769775390625
2015-08-25,290.9026184082031
2015-08-26,286.5830993652344
2015-08-27,290.11724853515625
2015-08-28,293.7300109863281
2015-08-31,290.8240966796875
2015-09-01,286.3475036621094
2015-09-02,289.489013671875
2015-09-03,295.4578552246094
2015-09-04,290.9026184082031
2015-09-07,292.0021667480469
2015-09-08,295.4578552246094
2015-09-09,297.8139953613281
2015-09-10,291.452392578125
2015-09-11,288.4679870605469
2015-09-14,285.9548034667969
2015-09-15,291.7665710449219
2015-09-16,299.3061828613281
2015-09-17,300.79840087890625
2015-09-18,298.4422302246094
2015-09-21,299.1490783691406
2015-09-22,286.6616516113281
2015-09-23,284.22698974609375
2015-09-24,275.11663818359375
2015-09-25,280.37860107421875
2015-09-28,277.0800476074219
2015-09-29,276.45172119140625
2015-09-30,283.5201416015625
2015-10-01,282.891845703125
2015-10-02,283.67718505859375
2015-10-05,295.7720031738281
2015-10-06,304.0968933105469
2015-10-07,308.4950256347656
2015-10-08,309.5945739746094
2015-10-09,314.3853759765625
2015-10-12,316.1131896972656
2015-10-13,309.6730651855469
2015-10-14,309.201904296875
2015-10-15,309.201904296875
2015-10-16,298.7564392089844
2015-10-19,294.7510070800781
2015-10-20,291.6094665527344
2015-10-21,290.3529357910156
2015-10-22,300.40570068359375
2015-10-23,306.7672424316406
2015-10-26,305.1179504394531
2015-10-27,300.79840087890625
2015-10-28,299.6203308105469
2015-10-29,301.583740234375
2015-10-30,303.861328125
2015-11-02,300.2486267089844
2015-11-03,303.7042541503906
2015-11-04,313.2857666015625
2015-11-05,312.5789794921875
2015-11-06,299.3061828613281
2015-11-09,294.98663330078125
2015-11-10,288.4679870605469
2015-11-11,291.6880187988281
2015-11-12,289.25335693359375
2015-11-13,281.16400146484375
2015-11-16,277.9439697265625
2015-11-17,286.3475036621094
2015-11-18,287.9967956542969
2015-11-19,284.7767028808594
2015-11-20,290.19586181640625
2015-11-23,284.1484375
2015-11-24,277.62982177734375
2015-11-25,279.82891845703125
2015-11-26,279.357666015625
2015-11-27,280.69281005859375
2015-11-30,284.1484375
2015-12-01,286.1903991699219
2015-12-02,288.0753173828125
2015-12-03,285.4050598144531
2015-12-04,282.1064453125
2015-12-07,283.91278076171875
2015-12-08,275.5093078613281
2015-12-09,270.48291015625
2015-12-10,270.48291015625
2015-12-11,261.2154846191406
2015-12-14,255.40374755859375
2015-12-15,264.90679931640625
2015-12-16,270.1688232421875
2015-12-17,267.9697265625
