Date,BALKRISIND.NS
2015-08-21,300.384765625
2015-08-24,293.4056396484375
2015-08-25,294.3038635253906
2015-08-26,290.3421630859375
2015-08-27,290.2269287109375
2015-08-28,290.31915283203125
2015-08-31,295.6629943847656
2015-09-01,294.90277099609375
2015-09-02,297.1141357421875
2015-09-03,305.29107666015625
2015-09-04,302.61920166015625
2015-09-07,301.8820495605469
2015-09-08,302.29669189453125
2015-09-09,311.164794921875
2015-09-10,314.3203430175781
2015-09-11,317.40692138671875
2015-09-14,318.6507568359375
2015-09-15,314.04400634765625
2015-09-16,314.3434753417969
2015-09-18,314.8962097167969
2015-09-21,313.76751708984375
2015-09-22,308.14727783203125
2015-09-23,301.90521240234375
2015-09-24,305.40643310546875
2015-09-28,308.70013427734375
2015-09-29,309.27593994140625
2015-09-30,308.7231750488281
2015-10-01,306.8112487792969
2015-10-05,305.0377502441406
2015-10-06,308.14727783203125
2015-10-07,304.1164245605469
2015-10-08,306.21240234375
2015-10-09,305.2449645996094
2015-10-12,304.8764953613281
2015-10-13,305.65966796875
2015-10-14,304.2085266113281
2015-10-15,304.5079040527344
2015-10-16,301.74383544921875
2015-10-19,307.27203369140625
2015-10-20,307.2491455078125
2015-10-21,306.281494140625
2015-10-23,305.98211669921875
2015-10-26,306.4428405761719
2015-10-27,306.74224853515625
2015-10-28,307.1108093261719
2015-10-29,301.92816162109375
2015-10-30,300.7073059082031
2015-11-02,302.9185791015625
2015-11-03,307.34112548828125
2015-11-04,311.2799072265625
2015-11-05,309.9439697265625
2015-11-06,307.5945129394531
2015-11-09,303.7478332519531
2015-11-10,297.0910339355469
2015-11-13,294.373046875
2015-11-16,288.82196044921875
2015-11-17,296.3079833984375
2015-11-18,294.94891357421875
2015-11-19,303.1719970703125
2015-11-20,303.7939147949219
2015-11-23,300.4310607910156
2015-11-24,299.9012145996094
2015-11-26,299.5096740722656
2015-11-27,302.1124267578125
2015-11-30,305.98211669921875
2015-12-01,301.1449890136719
2015-12-02,299.5556335449219
2015-12-03,298.6343688964844
2015-12-04,301.46746826171875
2015-12-07,299.739990234375
2015-12-08,298.3810119628906
2015-12-09,299.3945007324219
2015-12-10,298.173583984375
2015-12-11,290.9870910644531
2015-12-14,293.0370788574219
2015-12-15,298.5420837402344
2015-12-16,299.0028076171875
2015-12-17,299.83203125
2015-12-18,299.9703369140625
2015-12-21,299.4175109863281
2015-12-22,298.9798278808594
2015-12-23,299.1871643066406
2015-12-24,300.384765625
2015-12-28,301.4905090332031
2015-12-29,301.1220703125
2015-12-30,300.84552001953125
2015-12-31,298.3117370605469
2016-01-01,299.5096740722656
2016-01-04,300.384765625
2016-01-05,300.5230712890625
2016-01-06,300.98382568359375
2016-01-07,300.61517333984375
2016-01-08,300.3157958984375
2016-01-11,295.15625
