Date,RNO.PA
2015-08-24,52.5750617980957
2015-08-25,56.00238037109375
2015-08-26,55.248382568359375
2015-08-27,57.990230560302734
2015-08-28,57.74651336669922
2015-08-31,56.42889404296875
2015-09-01,54.66191864013672
2015-09-02,53.82413101196289
2015-09-03,55.636802673339844
2015-09-04,53.94599151611328
2015-09-07,54.532447814941406
2015-09-08,56.45174026489258
2015-09-09,58.00545883178711
2015-09-10,56.94679260253906
2015-09-11,56.38319396972656
2015-09-14,55.72819519042969
2015-09-15,56.51267623901367
2015-09-16,57.90644836425781
2015-09-17,58.84325408935547
2015-09-18,56.360347747802734
2015-09-21,54.570526123046875
2015-09-22,50.68622970581055
2015-09-23,49.505714416503906
2015-09-24,48.61460876464844
2015-09-25,49.67327117919922
2015-09-28,47.3579216003418
2015-09-29,47.76920700073242
2015-09-30,48.744083404541016
2015-10-01,49.39146423339844
2015-10-02,49.10966873168945
2015-10-05,50.03884506225586
2015-10-06,52.91780090332031
2015-10-07,56.50505828857422
2015-10-08,55.971920013427734
2015-10-09,56.931575775146484
2015-10-12,58.60715103149414
2015-10-13,58.65284729003906
2015-10-14,57.90644836425781
2015-10-15,59.81814193725586
2015-10-16,59.064125061035156
2015-10-19,59.48301696777344
2015-10-20,59.43731689453125
2015-10-21,60.107540130615234
2015-10-22,61.82120895385742
2015-10-23,63.001731872558594
2015-10-26,62.331485748291016
2015-10-27,62.07253646850586
2015-10-28,61.99637985229492
2015-10-29,62.03446578979492
2015-10-30,65.29422760009766
2015-11-02,68.05130767822266
2015-11-03,68.72915649414062
2015-11-04,69.3079833984375
2015-11-05,70.73985290527344
2015-11-06,70.8160171508789
2015-11-09,68.3331069946289
2015-11-10,68.67584228515625
2015-11-11,68.54635620117188
2015-11-12,67.83805084228516
2015-11-13,68.31788635253906
2015-11-16,68.43974304199219
2015-11-17,69.90968322753906
2015-11-18,70.08484649658203
2015-11-19,70.50375366210938
2015-11-20,70.84647369384766
2015-11-23,71.0521240234375
2015-11-24,69.4831771850586
2015-11-25,68.95003509521484
2015-11-26,71.34915924072266
2015-11-27,71.65380859375
2015-11-30,72.74292755126953
2015-12-01,72.40020751953125
2015-12-02,72.19457244873047
2015-12-03,69.64311981201172
2015-12-04,70.71700286865234
2015-12-07,71.85944366455078
2015-12-08,70.2143325805664
2015-12-09,70.09247589111328
2015-12-10,70.63323211669922
2015-12-11,66.90126037597656
2015-12-14,65.11905670166016
2015-12-15,67.00788879394531
2015-12-16,67.67810821533203
2015-12-17,69.62788391113281
2015-12-18,70.00868225097656
2015-12-21,69.78019714355469
2015-12-22,69.97823333740234
2015-12-23,71.85182189941406
2015-12-24,72.54490661621094
2015-12-28,71.13590240478516
2015-12-29,71.83658599853516
2015-12-30,71.84420776367188
2016-01-04,67.9827651977539
2016-01-05,68.11985778808594
2016-01-06,66.5737533569336
2016-01-07,65.09619903564453
2016-01-08,63.80143356323242
2016-01-11,64.5554428100586
2016-01-12,66.4290542602539
2016-01-13,66.0025405883789
2016-01-14,59.21644592285156
2016-01-15,57.220985412597656
2016-01-18,56.48982620239258
2016-01-19,58.35580825805664
2016-01-20,56.74116134643555
2016-01-21,59.2316780090332
2016-01-22,60.229400634765625
2016-01-25,59.90953826904297
2016-01-26,61.646034240722656
2016-01-27,61.912601470947266
2016-01-28,59.315460205078125
2016-01-29,59.35354232788086
2016-02-01,59.894283294677734
2016-02-02,58.76708984375
2016-02-03,57.403770446777344
2016-02-04,55.507328033447266
2016-02-05,55.918601989746094
2016-02-08,52.71977233886719
2016-02-09,52.54459762573242
2016-02-10,54.585750579833984
2016-02-11,52.4379768371582
2016-02-12,52.04193115234375
2016-02-15,56.0328483581543
2016-02-16,56.406044006347656
2016-02-17,60.876792907714844
2016-02-18,61.394691467285156
2016-02-19,60.57213592529297
2016-02-22,61.98115158081055
2016-02-23,61.12812805175781
2016-02-24,59.36115646362305
2016-02-25,59.947608947753906
2016-02-26,63.03981018066406
2016-02-29,64.08324432373047
2016-03-01,65.21044158935547
2016-03-02,65.97207641601562
2016-03-03,65.74358367919922
2016-03-04,66.23102569580078
2016-03-07,66.6423110961914
2016-03-08,63.74812316894531
2016-03-09,63.519630432128906
2016-03-10,60.4578971862793
2016-03-11,62.780860900878906
2016-03-14,64.1441650390625
2016-03-15,64.01469421386719
2016-03-16,65.52271270751953
2016-03-17,64.73824310302734
2016-03-18,65.30945587158203
2016-03-21,65.12667083740234
2016-03-22,67.07642364501953
2016-03-23,66.2995834350586
2016-03-24,64.43357849121094
2016-03-29,65.14950561523438
2016-03-30,66.90126037597656
2016-03-31,66.5052261352539
2016-04-01,64.92102813720703
2016-04-04,65.52271270751953
2016-04-05,62.31626510620117
2016-04-06,62.47620391845703
2016-04-07,61.036739349365234
2016-04-08,62.30104446411133
2016-04-11,62.75801086425781
2016-04-12,63.892826080322266
2016-04-13,66.2234115600586
2016-04-14,67.09927368164062
2016-04-15,65.85782623291016
2016-04-18,67.04596710205078
2016-04-19,68.54635620117188
2016-04-20,67.82282257080078
2016-04-21,66.80224609375
2016-04-22,66.52043914794922
2016-04-25,67.02311706542969
2016-04-26,67.35061645507812
2016-04-27,67.41155242919922
2016-04-28,67.22114562988281
2016-04-29,64.18987274169922
2016-05-02,64.15178680419922
2016-05-03,62.4152717590332
2016-05-04,61.965919494628906
2016-05-05,61.25760269165039
2016-05-06,61.714576721191406
2016-05-09,61.40992736816406
2016-05-10,62.65138626098633
2016-05-11,61.90498352050781
2016-05-12,62.590450286865234
2016-05-13,63.35144805908203
2016-05-16,62.95918655395508
