Date,J
2015-08-03,32.7205696105957
2015-08-04,32.620601654052734
2015-08-05,32.78209686279297
2015-08-06,33.44343566894531
2015-08-07,33.243492126464844
2015-08-10,34.2970085144043
2015-08-11,34.09706497192383
2015-08-12,33.95866012573242
2015-08-13,33.674129486083984
2015-08-14,33.95866012573242
2015-08-17,33.78947830200195
2015-08-18,33.34346389770508
2015-08-19,33.097373962402344
2015-08-20,32.10538101196289
2015-08-21,30.998027801513672
2015-08-24,29.421606063842773
2015-08-25,28.49112319946289
2015-08-26,28.906370162963867
2015-08-27,30.298242568969727
2015-08-28,30.728885650634766
2015-08-31,31.07493782043457
2015-09-01,30.359766006469727
2015-09-02,30.736568450927734
2015-09-03,31.02109146118164
2015-09-04,30.321321487426758
2015-09-08,30.813472747802734
2015-09-09,30.598161697387695
2015-09-10,30.636594772338867
2015-09-11,30.905757904052734
2015-09-14,30.182907104492188
2015-09-15,30.144454956054688
2015-09-16,30.198280334472656
2015-09-17,30.144454956054688
2015-09-18,29.1370792388916
2015-09-21,29.20628547668457
2015-09-22,28.767955780029297
2015-09-23,28.452674865722656
2015-09-24,28.721818923950195
2015-09-25,28.729509353637695
2015-09-28,28.18352508544922
2015-09-29,28.691062927246094
2015-09-30,28.783340454101562
2015-10-01,28.26811408996582
2015-10-02,28.76026725769043
2015-10-05,30.244428634643555
2015-10-06,30.575090408325195
2015-10-07,31.059558868408203
2015-10-08,31.728578567504883
2015-10-09,31.79779052734375
2015-10-12,31.459426879882812
2015-10-13,31.43635368347168
2015-10-14,31.259483337402344
2015-10-15,31.197961807250977
2015-10-16,30.23672866821289
2015-10-19,30.04448127746582
2015-10-20,30.25210952758789
2015-10-21,29.93682289123535
2015-10-22,30.129072189331055
2015-10-23,30.567398071289062
2015-10-26,30.505882263183594
2015-10-27,29.121700286865234
2015-10-28,29.90606689453125
2015-10-29,30.021413803100586
2015-10-30,30.867305755615234
2015-11-02,31.713180541992188
2015-11-03,31.982351303100586
2015-11-04,31.966957092285156
2015-11-05,32.174583435058594
2015-11-06,31.69013786315918
2015-11-09,31.605533599853516
2015-11-10,31.913129806518555
2015-11-11,31.95158576965332
2015-11-12,31.090312957763672
2015-11-13,31.31331443786621
2015-11-16,31.88237953186035
2015-11-17,31.474811553955078
2015-11-18,32.166893005371094
2015-11-19,32.866676330566406
2015-11-20,32.589847564697266
2015-11-23,33.48188018798828
2015-11-24,33.812530517578125
2015-11-25,33.25886917114258
2015-11-27,33.42804718017578
2015-11-30,33.943275451660156
2015-12-01,34.573848724365234
2015-12-02,33.943275451660156
2015-12-03,34.396968841552734
2015-12-04,34.2970085144043
2015-12-07,33.75871658325195
2015-12-08,33.08199691772461
2015-12-09,32.889747619628906
2015-12-10,32.87438201904297
2015-12-11,32.19765853881836
2015-12-14,32.066925048828125
2015-12-15,32.41297149658203
2015-12-16,32.735958099365234
2015-12-17,31.990013122558594
2015-12-18,31.359453201293945
2015-12-21,31.482501983642578
2015-12-22,32.28225326538086
2015-12-23,33.34346389770508
2015-12-24,33.29731369018555
2015-12-28,32.81285095214844
2015-12-29,33.12044906616211
2015-12-30,32.620601654052734
2015-12-31,32.259185791015625
2016-01-04,32.23611068725586
2016-01-05,31.782400131225586
2016-01-06,31.167224884033203
2016-01-07,30.32900619506836
2016-01-08,29.798404693603516
2016-01-11,29.529260635375977
2016-01-12,30.03679084777832
2016-01-13,29.413908004760742
2016-01-14,29.51388168334961
2016-01-15,28.944822311401367
2016-01-19,28.02203369140625
2016-01-20,28.28349494934082
2016-01-21,28.16045379638672
2016-01-22,28.767955780029297
2016-01-25,28.237354278564453
2016-01-26,28.80640983581543
2016-01-27,28.80640983581543
2016-01-28,29.006345748901367
2016-01-29,30.167524337768555
2016-02-01,30.090621948242188
2016-02-02,29.72920036315918
2016-02-03,28.721818923950195
2016-02-04,28.76026725769043
2016-02-05,28.49112319946289
2016-02-08,27.46067237854004
2016-02-09,27.299184799194336
2016-02-10,27.222286224365234
2016-02-11,26.960830688476562
2016-02-12,27.745203018188477
2016-02-16,28.614158630371094
2016-02-17,29.55233383178711
2016-02-18,29.22166633605957
2016-02-19,29.213973999023438
2016-02-22,29.706130981445312
2016-02-23,29.39853858947754
2016-02-24,29.613845825195312
2016-02-25,29.583087921142578
2016-02-26,29.882999420166016
2016-02-29,29.72150421142578
2016-03-01,30.498184204101562
2016-03-02,30.744272232055664
2016-03-03,31.205657958984375
2016-03-04,31.321014404296875
2016-03-07,32.10538101196289
2016-03-08,31.34408187866211
2016-03-09,31.336387634277344
2016-03-10,31.221046447753906
2016-03-11,32.10538101196289
2016-03-14,31.905447006225586
2016-03-15,31.805477142333984
2016-03-16,32.589847564697266
2016-03-17,33.72795486450195
2016-03-18,33.897125244140625
2016-03-21,33.943275451660156
2016-03-22,34.289306640625
2016-03-23,33.574161529541016
2016-03-24,33.27424240112305
2016-03-28,33.08199691772461
2016-03-29,33.474178314208984
2016-03-30,33.65874099731445
2016-03-31,33.489559173583984
2016-04-01,33.65104293823242
2016-04-04,33.097373962402344
2016-04-05,32.6282958984375
2016-04-06,32.512939453125
2016-04-07,31.520950317382812
2016-04-08,31.682432174682617
2016-04-11,31.890056610107422
2016-04-12,32.14382553100586
2016-04-13,33.028167724609375
2016-04-14,32.589847564697266
2016-04-15,32.4206657409668
2016-04-18,32.7590217590332
2016-04-19,33.035850524902344
2016-04-20,33.35884094238281
2016-04-21,33.35884094238281
2016-04-22,33.65874099731445
2016-04-25,33.535701751708984
2016-04-26,34.12782669067383
2016-04-27,34.5661506652832
2016-04-28,34.22011947631836
2016-04-29,34.2816162109375
2016-05-02,34.512325286865234
2016-05-03,34.6584358215332
2016-05-04,34.181644439697266
2016-05-05,35.82729721069336
