Date,CRM
2015-08-03,71.81076049804688
2015-08-04,71.26551818847656
2015-08-05,71.89997100830078
2015-08-06,69.81820678710938
2015-08-07,69.79838562011719
2015-08-10,70.65090942382812
2015-08-11,71.0077896118164
2015-08-12,70.42291259765625
2015-08-13,70.77979278564453
2015-08-14,72.35597229003906
2015-08-17,73.39685821533203
2015-08-18,71.94953918457031
2015-08-19,71.41423034667969
2015-08-20,67.23088073730469
2015-08-21,68.54933166503906
2015-08-24,64.60389709472656
2015-08-25,64.61382293701172
2015-08-26,67.92481231689453
2015-08-27,69.33247375488281
2015-08-28,69.63978576660156
2015-08-31,68.75751495361328
2015-09-01,66.05121612548828
2015-09-02,67.38949584960938
2015-09-03,67.65715789794922
2015-09-04,66.546875
2015-09-08,70.14535522460938
2015-09-09,68.43036651611328
2015-09-10,69.13420867919922
2015-09-11,69.44152069091797
2015-09-14,69.28289794921875
2015-09-15,70.65090942382812
2015-09-16,71.255615234375
2015-09-17,71.6917953491211
2015-09-18,70.77979278564453
2015-09-21,71.51335906982422
2015-09-22,71.02761840820312
2015-09-23,71.36466217041016
2015-09-24,71.08709716796875
2015-09-25,71.81076049804688
2015-09-28,68.4402847290039
2015-09-29,67.78601837158203
2015-09-30,68.826904296875
2015-10-01,72.27667999267578
2015-10-02,73.28781127929688
2015-10-05,74.61616516113281
2015-10-06,73.7735595703125
2015-10-07,74.34851837158203
2015-10-08,74.43772888183594
2015-10-09,74.59634399414062
2015-10-12,75.22087097167969
2015-10-13,75.96435546875
2015-10-14,74.9234848022461
2015-10-15,77.02506256103516
2015-10-16,78.08576965332031
2015-10-19,77.2530746459961
2015-10-20,76.8565444946289
2015-10-21,75.17131805419922
2015-10-22,76.69792938232422
2015-10-23,77.8775863647461
2015-10-26,77.5405502319336
2015-10-27,77.07463073730469
2015-10-28,77.84783935546875
2015-10-29,77.46124267578125
2015-10-30,77.03497314453125
2015-11-02,78.51203155517578
2015-11-03,77.94698333740234
2015-11-04,77.70906829833984
2015-11-05,78.02629852294922
2015-11-06,78.72021484375
2015-11-09,77.5405502319336
2015-11-10,77.5702896118164
2015-11-11,78.02629852294922
2015-11-12,77.61984252929688
2015-11-13,74.94331359863281
2015-11-16,75.59757232666016
2015-11-17,76.56906127929688
2015-11-18,76.67811584472656
2015-11-19,79.93952941894531
2015-11-20,80.2864761352539
2015-11-23,80.07830810546875
2015-11-24,79.69169616699219
2015-11-25,79.71153259277344
2015-11-27,79.27533721923828
2015-11-30,78.9977798461914
2015-12-01,80.30631256103516
2015-12-02,80.17743682861328
2015-12-03,79.23570251464844
2015-12-04,81.4264907836914
2015-12-07,79.97917175292969
2015-12-08,80.37571716308594
2015-12-09,79.01759338378906
2015-12-10,78.69046783447266
2015-12-11,76.20227813720703
2015-12-14,76.32122802734375
2015-12-15,76.69792938232422
2015-12-16,78.20472717285156
2015-12-17,77.74872589111328
2015-12-18,76.36088562011719
2015-12-21,76.6186294555664
2015-12-22,77.18367767333984
2015-12-23,77.36211395263672
2015-12-24,77.15393829345703
2015-12-28,77.52072143554688
2015-12-29,78.74994659423828
2015-12-30,78.45256042480469
2015-12-31,77.71898651123047
2016-01-04,76.04367065429688
2016-01-05,76.38072204589844
2016-01-06,75.6273193359375
2016-01-07,73.65460205078125
2016-01-08,72.59388732910156
2016-01-11,72.5443344116211
2016-01-12,73.8132095336914
2016-01-13,71.7215347290039
2016-01-14,72.4352798461914
2016-01-15,70.24446868896484
2016-01-19,70.18500518798828
2016-01-20,69.71908569335938
2016-01-21,68.90621185302734
2016-01-22,70.9284896850586
2016-01-25,69.31263732910156
2016-01-26,69.26307678222656
2016-01-27,66.84428405761719
2016-01-28,65.11940002441406
2016-01-29,67.46880340576172
2016-02-01,67.84549713134766
2016-02-02,63.95955276489258
2016-02-03,64.77242279052734
2016-02-04,66.61627197265625
2016-02-05,58.00175476074219
2016-02-08,53.580501556396484
2016-02-09,56.83200454711914
2016-02-10,58.24958038330078
2016-02-11,58.72541809082031
2016-02-12,59.161598205566406
2016-02-16,59.20125198364258
2016-02-17,62.938499450683594
2016-02-18,61.16405487060547
2016-02-19,61.60022735595703
2016-02-22,63.42424392700195
2016-02-23,62.3536262512207
2016-02-24,61.97692108154297
2016-02-25,68.81698608398438
2016-02-26,69.11437225341797
2016-02-29,67.16149139404297
2016-03-01,69.41177368164062
2016-03-02,69.81820678710938
2016-03-03,70.18500518798828
2016-03-04,70.44273376464844
2016-03-07,69.87769317626953
2016-03-08,69.21351623535156
2016-03-09,70.42291259765625
2016-03-10,70.08586883544922
2016-03-11,71.0077896118164
2016-03-14,71.59266662597656
2016-03-15,71.07717895507812
2016-03-16,72.09825134277344
2016-03-17,72.08832550048828
2016-03-18,72.01892852783203
2016-03-21,71.6224136352539
2016-03-22,72.21719360351562
2016-03-23,71.15648651123047
2016-03-24,71.81076049804688
2016-03-28,71.32500457763672
2016-03-29,71.67196655273438
2016-03-30,73.65460205078125
2016-03-31,73.18869018554688
2016-04-01,75.07218170166016
2016-04-04,75.03252410888672
2016-04-05,73.93216705322266
2016-04-06,74.9234848022461
2016-04-07,74.6657485961914
2016-04-08,74.19982147216797
2016-04-11,73.51582336425781
2016-04-12,73.6248550415039
2016-04-13,75.29025268554688
2016-04-14,75.48853302001953
2016-04-15,75.64714050292969
2016-04-18,76.59879302978516
2016-04-19,75.52819061279297
2016-04-20,75.4786148071289
2016-04-21,76.47984313964844
2016-04-22,75.81568145751953
2016-04-25,75.84539794921875
2016-04-26,75.54800415039062
2016-04-27,75.03252410888672
