Date,GRINDWELL.NS
2015-08-21,341.9660949707031
2015-08-24,337.8795166015625
2015-08-25,340.8017578125
2015-08-26,344.3175354003906
2015-08-27,341.92041015625
2015-08-28,348.03875732421875
2015-08-31,339.5689697265625
2015-09-01,333.9756774902344
2015-09-02,347.21685791015625
2015-09-03,346.6918029785156
2015-09-04,343.8609619140625
2015-09-07,343.5641784667969
2015-09-08,333.9756774902344
2015-09-09,332.69720458984375
2015-09-10,337.69683837890625
2015-09-11,333.2451477050781
2015-09-14,331.6241760253906
2015-09-15,329.70648193359375
2015-09-16,334.52362060546875
2015-09-18,331.6013488769531
2015-09-21,332.1036376953125
2015-09-22,330.6653747558594
2015-09-23,330.8251953125
2015-09-24,330.2087707519531
2015-09-28,336.05316162109375
2015-09-29,331.96661376953125
2015-09-30,331.41876220703125
2015-10-01,335.5965881347656
2015-10-05,335.9846496582031
2015-10-06,333.7702331542969
2015-10-07,339.3862609863281
2015-10-08,342.0117492675781
2015-10-09,342.2628479003906
2015-10-12,348.7464904785156
2015-10-13,349.2944030761719
2015-10-14,348.8606262207031
2015-10-15,344.956787109375
2015-10-16,349.3399963378906
2015-10-19,371.4163513183594
2015-10-20,362.1475524902344
2015-10-21,355.5040588378906
2015-10-23,361.0060729980469
2015-10-26,352.9927673339844
2015-10-27,360.11572265625
2015-10-28,356.75970458984375
2015-10-29,355.3442687988281
2015-10-30,337.1033020019531
2015-11-02,340.6191101074219
2015-11-03,324.84381103515625
2015-11-04,337.9023742675781
2015-11-05,333.9300537109375
2015-11-06,324.02197265625
2015-11-09,332.0579833984375
2015-11-10,330.55126953125
2015-11-13,330.89361572265625
2015-11-16,329.660888671875
2015-11-17,328.6106872558594
2015-11-18,332.400390625
2015-11-19,332.46893310546875
2015-11-20,333.4277648925781
2015-11-23,333.1766052246094
2015-11-24,329.8434753417969
2015-11-26,326.03094482421875
2015-11-27,331.1676330566406
2015-11-30,335.1171875
2015-12-01,326.8756408691406
2015-12-02,331.053466796875
2015-12-03,330.9393310546875
2015-12-04,336.60113525390625
2015-12-07,334.7747497558594
2015-12-08,329.090087890625
2015-12-09,324.3643798828125
2015-12-10,328.7476501464844
2015-12-11,326.89849853515625
2015-12-14,331.2589416503906
2015-12-15,331.0306091308594
2015-12-16,333.1537780761719
2015-12-17,333.35931396484375
