Date,RTO.L
2015-08-24,140.7991943359375
2015-08-25,145.7921142578125
2015-08-26,144.79351806640625
2015-08-27,146.3912353515625
2015-08-28,148.08885192871094
2015-09-01,151.48394775390625
2015-09-02,151.08453369140625
2015-09-03,151.98324584960938
2015-09-04,149.187255859375
2015-09-07,149.98609924316406
2015-09-08,150.4853973388672
2015-09-09,151.3841094970703
2015-09-10,150.2856903076172
2015-09-11,149.48684692382812
2015-09-14,149.187255859375
2015-09-15,149.68650817871094
2015-09-16,149.287109375
2015-09-17,148.48828125
2015-09-18,146.29136657714844
2015-09-21,146.09169006347656
2015-09-22,143.495361328125
2015-09-23,144.79351806640625
2015-09-24,143.59523010253906
2015-09-25,146.7906951904297
2015-09-28,147.78924560546875
2015-09-29,145.1929473876953
2015-09-30,146.8905487060547
2015-10-01,147.88912963867188
2015-10-02,147.9889373779297
2015-10-05,149.78640747070312
2015-10-06,149.187255859375
2015-10-07,146.09169006347656
2015-10-08,145.39266967773438
2015-10-09,145.1929473876953
2015-10-12,145.2928009033203
2015-10-13,145.39266967773438
2015-10-14,143.59523010253906
2015-10-15,144.79351806640625
2015-10-16,145.4925079345703
2015-10-19,146.3912353515625
2015-10-20,148.18869018554688
2015-10-21,149.187255859375
2015-10-22,147.68939208984375
2015-10-23,149.78640747070312
2015-10-26,150.5852508544922
2015-10-27,149.68650817871094
2015-10-28,151.3841094970703
2015-10-29,152.78208923339844
2015-10-30,154.2799835205078
2015-11-02,154.87911987304688
2015-11-03,154.87911987304688
2015-11-04,154.87911987304688
2015-11-05,154.0802764892578
2015-11-06,154.0802764892578
2015-11-09,152.58241271972656
2015-11-10,151.3841094970703
2015-11-11,152.98184204101562
2015-11-12,152.3827362060547
2015-11-13,152.0831298828125
2015-11-16,153.08169555664062
2015-11-17,154.97897338867188
2015-11-18,155.17869567871094
2015-11-19,156.17730712890625
2015-11-20,156.57672119140625
2015-11-23,156.3769989013672
2015-11-24,154.97897338867188
2015-11-25,156.2771453857422
2015-11-26,157.37559509277344
2015-11-27,158.27426147460938
2015-11-30,159.37271118164062
2015-12-01,160.4711456298828
2015-12-02,160.37127685546875
2015-12-03,157.97471618652344
2015-12-04,157.87486267089844
2015-12-07,159.1730194091797
2015-12-08,157.17588806152344
2015-12-09,155.77786254882812
2015-12-10,155.27857971191406
2015-12-11,153.8805694580078
2015-12-14,152.6822509765625
2015-12-15,154.2799835205078
2015-12-16,155.17869567871094
2015-12-17,157.17588806152344
2015-12-18,155.57815551757812
2015-12-21,155.17869567871094
2015-12-22,156.67652893066406
2015-12-23,158.57388305664062
2015-12-24,159.57244873046875
2015-12-29,161.66944885253906
2015-12-30,160.571044921875
2015-12-31,159.07315063476562
2016-01-04,157.0759735107422
2016-01-05,156.7764434814453
2016-01-06,155.97755432128906
2016-01-07,156.07745361328125
2016-01-08,154.37986755371094
2016-01-11,154.37986755371094
2016-01-12,154.77926635742188
2016-01-13,155.078857421875
2016-01-14,153.78070068359375
2016-01-15,152.28282165527344
2016-01-18,149.88629150390625
2016-01-19,152.1829833984375
2016-01-20,149.78640747070312
2016-01-21,150.2856903076172
2016-01-22,152.78208923339844
2016-01-25,153.78070068359375
2016-01-26,154.47972106933594
2016-01-27,154.2799835205078
2016-01-28,154.67942810058594
2016-01-29,156.47686767578125
2016-02-01,156.57672119140625
2016-02-02,156.87631225585938
2016-02-03,154.87911987304688
2016-02-04,157.37559509277344
2016-02-05,156.7764434814453
2016-02-08,150.6851043701172
2016-02-09,151.68370056152344
2016-02-10,153.6808319091797
2016-02-11,151.48394775390625
2016-02-12,154.87911987304688
2016-02-15,155.57815551757812
2016-02-16,155.47828674316406
2016-02-17,159.97190856933594
2016-02-18,161.07032775878906
2016-02-19,161.07032775878906
2016-02-22,162.56814575195312
2016-02-23,164.1658935546875
2016-02-24,163.16732788085938
2016-02-25,168.8592071533203
2016-02-26,168.55963134765625
2016-02-29,165.6637725830078
2016-03-01,167.16163635253906
2016-03-02,163.76644897460938
2016-03-03,163.9661865234375
2016-03-04,164.56532287597656
2016-03-07,163.2671661376953
2016-03-08,161.07032775878906
2016-03-09,160.77072143554688
2016-03-10,159.1730194091797
2016-03-11,161.56961059570312
2016-03-14,162.06890869140625
2016-03-15,161.96902465820312
2016-03-16,163.2671661376953
2016-03-17,170.65664672851562
2016-03-18,170.55679321289062
2016-03-21,170.35708618164062
2016-03-22,172.0546417236328
2016-03-23,174.95050048828125
2016-03-24,171.85491943359375
2016-03-29,174.151611328125
2016-03-30,177.44692993164062
2016-03-31,176.54823303222656
2016-04-01,176.24867248535156
2016-04-04,177.8463592529297
2016-04-05,179.7436981201172
2016-04-06,180.04322814941406
2016-04-07,177.36737060546875
2016-04-08,177.86668395996094
2016-04-11,177.4672088623047
2016-04-12,177.766845703125
2016-04-13,177.36737060546875
2016-04-14,175.8693389892578
2016-04-15,174.97048950195312
2016-04-18,175.17022705078125
2016-04-19,176.4685516357422
2016-04-20,181.86148071289062
2016-04-21,180.962646484375
2016-04-22,178.3660125732422
2016-04-25,179.06512451171875
2016-04-26,177.36737060546875
2016-04-27,178.26617431640625
2016-04-28,176.66824340820312
2016-04-29,175.8693389892578
2016-05-03,177.16763305664062
2016-05-04,178.16632080078125
2016-05-05,178.76553344726562
2016-05-06,177.96658325195312
2016-05-09,177.56710815429688
2016-05-10,177.36737060546875
2016-05-11,178.76553344726562
2016-05-12,177.766845703125
2016-05-13,174.97048950195312
2016-05-16,175.76947021484375
2016-05-17,176.1688995361328
2016-05-18,175.66958618164062
2016-05-19,175.2700958251953
2016-05-20,176.4685516357422
2016-05-23,177.36737060546875
2016-05-24,176.9678955078125
2016-05-25,178.86541748046875
2016-05-26,178.76553344726562
2016-05-27,179.06512451171875
2016-05-31,179.86412048339844
2016-06-01,177.66696166992188
2016-06-02,179.36474609375
2016-06-03,178.26617431640625
2016-06-06,183.15975952148438
2016-06-07,182.36082458496094
2016-06-08,183.5592498779297
2016-06-09,185.0572967529297
2016-06-10,184.3582000732422
2016-06-13,182.86013793945312
2016-06-14,179.76422119140625
2016-06-15,181.36212158203125
2016-06-16,181.46200561523438
2016-06-17,183.15975952148438
2016-06-20,186.55532836914062
2016-06-21,184.45803833007812
2016-06-22,183.15975952148438
2016-06-23,184.9573974609375
2016-06-24,185.25701904296875
2016-06-27,179.06512451171875
2016-06-28,182.56053161621094
2016-06-29,187.6538848876953
2016-06-30,192.94688415527344
2016-07-01,194.7445526123047
2016-07-04,195.5435333251953
2016-07-05,194.84445190429688
2016-07-06,196.0428466796875
2016-07-07,202.63418579101562
2016-07-08,202.13487243652344
2016-07-11,209.92465209960938
2016-07-12,204.7314453125
2016-07-13,204.33200073242188
2016-07-14,204.33200073242188
2016-07-15,205.43051147460938
2016-07-18,207.52780151367188
2016-07-19,208.7262420654297
2016-07-20,209.72491455078125
2016-07-21,208.02719116210938
2016-07-22,207.12832641601562
2016-07-25,210.22425842285156
2016-07-26,211.52259826660156
2016-07-27,211.7222900390625
2016-07-28,214.41873168945312
2016-07-29,214.71835327148438
2016-08-01,215.51731872558594
2016-08-02,217.015380859375
2016-08-03,215.8169403076172
2016-08-04,217.91415405273438
2016-08-05,216.91551208496094
2016-08-08,216.51602172851562
2016-08-09,215.9167938232422
2016-08-10,217.81430053710938
2016-08-11,220.32102966308594
2016-08-12,220.7205352783203
2016-08-15,219.12255859375
2016-08-16,217.5245819091797
2016-08-17,216.92535400390625
2016-08-18,219.02267456054688
2016-08-19,219.02267456054688
2016-08-22,217.724365234375
2016-08-23,217.02523803710938
2016-08-24,215.6269989013672
2016-08-25,215.527099609375
2016-08-26,215.527099609375
2016-08-30,214.7281036376953
2016-08-31,213.62948608398438
2016-09-01,214.22879028320312
2016-09-02,217.724365234375
2016-09-05,217.82418823242188
2016-09-06,216.62570190429688
2016-09-07,219.32232666015625
2016-09-08,219.82168579101562
2016-09-09,219.22239685058594
2016-09-12,216.92535400390625
2016-09-13,219.72181701660156
2016-09-14,219.72181701660156
2016-09-15,220.9202880859375
2016-09-16,222.91773986816406
2016-09-19,221.71926879882812
