Date,SPX.L
2015-08-24,3016.305908203125
2015-08-25,3109.16162109375
2015-08-26,3051.251220703125
2015-08-27,3093.185791015625
2015-08-28,3149.098876953125
2015-09-01,3053.247802734375
2015-09-02,3082.203369140625
2015-09-03,3105.167236328125
2015-09-04,3045.26123046875
2015-09-07,3054.2470703125
2015-09-08,3072.21923828125
2015-09-09,3086.197021484375
2015-09-10,3042.265380859375
2015-09-11,3032.28076171875
2015-09-14,3011.313720703125
2015-09-15,3005.32275390625
2015-09-16,3014.30859375
2015-09-17,2980.36181640625
2015-09-18,2898.488525390625
2015-09-21,2861.546142578125
2015-09-22,2772.68505859375
2015-09-23,2785.663818359375
2015-09-24,2745.726806640625
2015-09-25,2816.616455078125
2015-09-28,2807.63037109375
2015-09-29,2773.68359375
2015-09-30,2796.64697265625
2015-10-01,2828.598388671875
2015-10-02,2855.5556640625
2015-10-05,2912.467041015625
2015-10-06,2914.4638671875
2015-10-07,2923.4501953125
2015-10-08,2939.634521484375
2015-10-09,3003.5390625
2015-10-12,2983.569091796875
2015-10-13,2937.636962890625
2015-10-14,2929.648681640625
2015-10-15,2944.626708984375
2015-10-16,2920.662841796875
2015-10-19,2924.65625
2015-10-20,2932.64453125
2015-10-21,2952.615234375
2015-10-22,2960.60400390625
2015-10-23,3031.498046875
2015-10-26,3012.525634765625
2015-10-27,2988.5615234375
2015-10-28,3030.4990234375
2015-10-29,3035.491455078125
2015-10-30,3036.490234375
2015-11-02,3061.453369140625
2015-11-03,3074.43359375
2015-11-04,3105.3876953125
2015-11-05,3102.392333984375
2015-11-06,3126.357177734375
2015-11-09,3125.35888671875
2015-11-10,3118.368408203125
2015-11-11,3108.383544921875
2015-11-12,2951.616455078125
2015-11-13,2926.6533203125
2015-11-16,2903.6875
2015-11-17,3018.51708984375
2015-11-18,2985.566162109375
2015-11-19,2986.564697265625
2015-11-20,3018.51708984375
2015-11-23,3018.51708984375
2015-11-24,2997.548095703125
2015-11-25,3048.472900390625
2015-11-26,3059.456298828125
2015-11-27,3085.41748046875
2015-11-30,3115.373291015625
2015-12-01,3129.3525390625
2015-12-02,3105.3876953125
2015-12-03,3091.4091796875
2015-12-04,3091.4091796875
2015-12-07,3107.3857421875
2015-12-08,3062.4521484375
2015-12-09,3092.407470703125
2015-12-10,3104.389404296875
2015-12-11,3054.46337890625
2015-12-14,3012.525634765625
2015-12-15,3052.46630859375
2015-12-16,3076.43115234375
2015-12-17,3087.4150390625
2015-12-18,3191.260009765625
2015-12-21,3183.272705078125
2015-12-22,3201.245849609375
2015-12-23,3251.17138671875
2015-12-24,3304.093017578125
2015-12-29,3272.140380859375
2015-12-30,3288.1171875
2015-12-31,3278.131591796875
2016-01-04,3185.269287109375
2016-01-05,3220.217529296875
2016-01-06,3186.26806640625
2016-01-07,3170.291015625
2016-01-08,3124.359375
2016-01-11,3109.38232421875
2016-01-12,3133.346435546875
2016-01-13,3061.453369140625
2016-01-14,2993.554443359375
2016-01-15,2944.626708984375
2016-01-18,2911.6767578125
2016-01-19,2942.630126953125
2016-01-20,2891.70556640625
2016-01-21,2902.68896484375
2016-01-22,2983.569091796875
2016-01-25,2977.578125
2016-01-26,2961.601318359375
2016-01-27,2981.57177734375
2016-01-28,2987.562744140625
2016-01-29,3047.4736328125
2016-02-01,3002.541015625
2016-02-02,2913.672607421875
2016-02-03,2883.716796875
2016-02-04,2895.699462890625
2016-02-05,2898.69482421875
2016-02-08,2752.911865234375
2016-02-09,2770.884765625
2016-02-10,2758.90283203125
2016-02-11,2720.958984375
2016-02-12,2807.829833984375
2016-02-15,2910.677490234375
2016-02-16,2924.65625
2016-02-17,3003.5390625
2016-02-18,3055.462158203125
2016-02-19,3033.49462890625
2016-02-22,3077.42919921875
2016-02-23,3067.4443359375
2016-02-24,3045.47705078125
2016-02-25,3051.4677734375
2016-02-26,3103.39111328125
2016-02-29,3140.336181640625
2016-03-01,3222.21435546875
2016-03-02,3235.195556640625
2016-03-03,3317.073974609375
2016-03-04,3446.88037109375
2016-03-07,3450.875
2016-03-08,3449.876708984375
2016-03-09,3442.88671875
2016-03-10,3394.957763671875
2016-03-11,3440.889404296875
2016-03-14,3457.864013671875
2016-03-15,3433.899658203125
2016-03-16,3460.860107421875
2016-03-17,3476.83642578125
2016-03-18,3494.81005859375
2016-03-21,3485.82373046875
2016-03-22,3540.741455078125
2016-03-23,3556.71728515625
2016-03-24,3524.7646484375
2016-03-29,3547.73095703125
2016-03-30,3645.58544921875
2016-03-31,3634.602294921875
2016-04-01,3556.71728515625
2016-04-04,3585.6748046875
2016-04-05,3544.735107421875
2016-04-06,3561.7109375
2016-04-07,3543.737060546875
2016-04-08,3569.69921875
2016-04-11,3551.725341796875
2016-04-12,3580.682373046875
2016-04-13,3624.6171875
2016-04-14,3596.658447265625
2016-04-15,3597.656982421875
2016-04-18,3544.735107421875
2016-04-19,3553.7216796875
2016-04-20,3551.725341796875
2016-04-21,3534.75
2016-04-22,3537.745849609375
2016-04-25,3524.7646484375
2016-04-26,3509.78759765625
2016-04-27,3499.80224609375
2016-04-28,3419.39208984375
2016-04-29,3410.405029296875
2016-05-03,3384.43994140625
2016-05-04,3370.458740234375
2016-05-05,3381.444091796875
2016-05-06,3436.36962890625
2016-05-09,3438.3671875
2016-05-10,3451.349609375
2016-05-11,3482.307861328125
2016-05-12,3423.38720703125
2016-05-13,3426.383056640625
2016-05-16,3454.345458984375
2016-05-17,3447.3544921875
2016-05-18,3452.34765625
2016-05-19,3394.42578125
2016-05-20,3438.3671875
2016-05-23,3462.334716796875
2016-05-24,3468.326416015625
2016-05-25,3473.31982421875
2016-05-26,3460.337646484375
2016-05-27,3440.3642578125
2016-05-31,3445.35791015625
2016-06-01,3452.34765625
2016-06-02,3472.321044921875
2016-06-03,3454.345458984375
2016-06-06,3513.266357421875
2016-06-07,3502.28076171875
2016-06-08,3500.283447265625
2016-06-09,3465.330322265625
2016-06-10,3399.41943359375
2016-06-13,3350.4853515625
2016-06-14,3336.50390625
2016-06-15,3381.444091796875
2016-06-16,3284.57421875
2016-06-17,3378.447265625
2016-06-20,3486.30322265625
2016-06-21,3445.35791015625
2016-06-22,3466.32958984375
2016-06-23,3530.242919921875
2016-06-24,3455.343994140625
2016-06-27,3428.380615234375
2016-06-28,3527.247314453125
2016-06-29,3640.094970703125
2016-06-30,3734.967529296875
2016-07-01,3769.920654296875
2016-07-04,3739.960205078125
2016-07-05,3685.034423828125
2016-07-06,3728.9755859375
2016-07-07,3742.95654296875
2016-07-08,3803.87451171875
2016-07-11,3878.7734375
2016-07-12,3879.772705078125
2016-07-13,3901.742431640625
2016-07-14,3885.7646484375
2016-07-15,3874.779296875
2016-07-18,3846.816162109375
2016-07-19,3863.7939453125
2016-07-20,3860.797607421875
2016-07-21,3858.80078125
2016-07-22,3875.77783203125
2016-07-25,3923.712646484375
2016-07-26,3952.674072265625
2016-07-27,4006.6015625
2016-07-28,3983.63232421875
2016-07-29,3977.640380859375
2016-08-01,3959.664794921875
2016-08-02,3943.685791015625
2016-08-03,3964.65771484375
2016-08-04,4009.596923828125
2016-08-05,4053.5380859375
2016-08-08,4096.48046875
2016-08-09,4342.14892578125
2016-08-10,4409.0595703125
2016-08-11,4479.96337890625
2016-08-12,4438.02001953125
2016-08-15,4436.02197265625
2016-08-16,4403.06689453125
2016-08-17,4364.1201171875
2016-08-18,4383.09375
2016-08-19,4380.09765625
2016-08-22,4375.10546875
2016-08-23,4435.0234375
2016-08-24,4406.06298828125
2016-08-25,4404.06494140625
2016-08-26,4431.029296875
2016-08-30,4368.11376953125
2016-08-31,4328.16748046875
2016-09-01,4326.17138671875
2016-09-02,4395.07861328125
2016-09-05,4398.07421875
2016-09-06,4398.07421875
2016-09-07,4399.072265625
2016-09-08,4380.09765625
2016-09-09,4322.1748046875
2016-09-12,4295.212890625
2016-09-13,4280.232421875
2016-09-14,4359.1259765625
2016-09-15,4422.0419921875
2016-09-16,4411.05615234375
2016-09-19,4448.00634765625
2016-09-20,4483.9580078125
2016-09-21,4456.994140625
2016-09-22,4494.94384765625
2016-09-23,4465.9814453125
2016-09-26,4407.060546875
2016-09-27,4406.06298828125
2016-09-28,4441.015625
2016-09-29,4483.9580078125
2016-09-30,4488.95068359375
2016-10-03,4529.896484375
2016-10-04,4662.71728515625
2016-10-05,4588.81689453125
2016-10-06,4571.83935546875
2016-10-07,4554.86279296875
2016-10-10,4578.830078125
2016-10-11,4565.84765625
2016-10-12,4546.87451171875
2016-10-13,4507.15087890625
2016-10-14,4556.0859375
2016-10-17,4545.1005859375
2016-10-18,4611.0146484375
2016-10-19,4606.021484375
2016-10-20,4533.11572265625
2016-10-21,4561.080078125
2016-10-24,4535.1142578125
2016-10-25,4489.1728515625
2016-10-26,4447.22705078125
2016-10-27,4388.30419921875
2016-10-28,4388.30419921875
2016-10-31,4406.2802734375
2016-11-01,4368.32958984375
2016-11-02,4362.33837890625
2016-11-03,4318.3955078125
2016-11-04,4255.4755859375
2016-11-07,4310.404296875
2016-11-08,4322.388671875
2016-11-09,4378.3173828125
2016-11-10,4366.3330078125
2016-11-11,4199.5478515625
2016-11-14,4168.58935546875
2016-11-15,4225.51513671875
2016-11-16,4138.62890625
2016-11-17,4184.568359375
2016-11-18,4170.5859375
2016-11-21,4215.52734375
2016-11-22,4237.5
2016-11-23,4312.40234375
2016-11-24,4291.4287109375
2016-11-25,4255.4755859375
2016-11-28,4227.5126953125
2016-11-29,4193.55712890625
2016-11-30,4265.46337890625
2016-12-01,4226.51416015625
2016-12-02,4185.56787109375
2016-12-05,4256.4755859375
2016-12-06,4192.5576171875
2016-12-07,4272.45458984375
2016-12-08,4235.50244140625
2016-12-09,4297.4208984375
2016-12-12,4223.51806640625
2016-12-13,4194.5556640625
2016-12-14,4205.5419921875
2016-12-15,4213.5322265625
2016-12-16,4197.55126953125
2016-12-19,4195.5546875
2016-12-20,4119.65380859375
2016-12-21,4136.6298828125
2016-12-22,4159.599609375
2016-12-23,4138.62890625
2016-12-28,4244.49072265625
2016-12-29,4179.57373046875
2016-12-30,4178.57568359375
2017-01-03,4202.54443359375
2017-01-04,4199.5478515625
2017-01-05,4201.5478515625
2017-01-06,4238.498046875
2017-01-09,4241.49462890625
2017-01-10,4276.44970703125
2017-01-11,4365.33447265625
2017-01-12,4345.3603515625
2017-01-13,4353.349609375
2017-01-16,4320.39208984375
2017-01-17,4246.48828125
2017-01-18,4253.478515625
2017-01-19,4332.3759765625
2017-01-20,4318.3955078125
2017-01-23,4305.412109375
2017-01-24,4282.44189453125
2017-01-25,4347.357421875
2017-01-26,4336.37158203125
2017-01-27,4363.33642578125
2017-01-30,4332.3759765625
2017-01-31,4299.419921875
2017-02-01,4332.3759765625
2017-02-02,4357.34423828125
2017-02-03,4418.2646484375
2017-02-06,4442.234375
2017-02-07,4506.1513671875
2017-02-08,4450.22412109375
2017-02-09,4399.28955078125
2017-02-10,4412.27197265625
2017-02-13,4439.23876953125
2017-02-14,4421.26171875
2017-02-15,4463.20751953125
2017-02-16,4442.234375
2017-02-17,4412.27197265625
2017-02-20,4434.2431640625
2017-02-21,4445.22998046875
2017-02-22,4392.298828125
2017-02-23,4382.31298828125
2017-02-24,4365.33447265625
2017-02-27,4422.26025390625
2017-02-28,4443.23291015625
2017-03-01,4548.09765625
2017-03-02,4578.0576171875
2017-03-03,4557.0849609375
2017-03-06,4562.07861328125
2017-03-07,4579.056640625
2017-03-08,4615.009765625
2017-03-09,4599.03076171875
2017-03-10,4660.94970703125
2017-03-13,4677.92724609375
2017-03-14,4697.90283203125
2017-03-15,4780.79541015625
2017-03-16,4775.80078125
2017-03-17,4800.76904296875
2017-03-20,4815.75
2017-03-21,4745.83984375
2017-03-22,4696.904296875
2017-03-23,4785.78857421875
2017-03-24,4775.80078125
2017-03-27,4742.84375
2017-03-28,4758.82421875
2017-03-29,4771.80712890625
2017-03-30,4795.775390625
2017-03-31,4762.81787109375
2017-04-03,4886.65673828125
2017-04-04,4915.619140625
2017-04-05,4931.5986328125
2017-04-06,4964.556640625
2017-04-07,5003.50537109375
2017-04-10,5003.50537109375
2017-04-11,5023.47998046875
2017-04-12,5103.3759765625
2017-04-13,5133.337890625
2017-04-18,5068.42138671875
2017-04-19,5113.36376953125
2017-04-20,5123.349609375
2017-04-21,5153.3115234375
2017-04-24,5208.240234375
2017-04-25,5198.25244140625
2017-04-26,5278.1484375
2017-04-27,5243.7255859375
2017-04-28,5193.78515625
2017-05-02,5318.634765625
2017-05-03,5268.6953125
2017-05-04,5238.73193359375
2017-05-05,5233.73681640625
2017-05-08,5178.802734375
2017-05-09,5143.84423828125
2017-05-10,5163.81982421875
2017-05-11,5178.802734375
2017-05-12,5173.80810546875
2017-05-15,5163.81982421875
2017-05-16,5218.75439453125
2017-05-17,5143.84423828125
2017-05-18,5148.8388671875
2017-05-19,5218.75439453125
2017-05-22,5223.7490234375
2017-05-23,5248.71923828125
2017-05-24,5253.712890625
2017-05-25,5303.654296875
2017-05-26,5753.11572265625
2017-05-30,5653.23486328125
2017-05-31,5668.21728515625
2017-06-01,5618.2763671875
2017-06-02,5618.2763671875
2017-06-05,5563.34228515625
2017-06-06,5493.4267578125
2017-06-07,5438.4921875
2017-06-08,5423.509765625
2017-06-09,5453.474609375
2017-06-12,5388.55224609375
2017-06-13,5418.51611328125
2017-06-14,5378.56396484375
2017-06-15,5283.67724609375
2017-06-16,5473.44873046875
2017-06-19,5523.390625
2017-06-20,5458.46826171875
2017-06-21,5458.46826171875
2017-06-22,5453.474609375
2017-06-23,5478.44384765625
2017-06-26,5469.5302734375
2017-06-27,5445.90380859375
2017-06-28,5433.4970703125
2017-06-29,5308.646484375
2017-06-30,5343.60546875
2017-07-03,5383.5576171875
2017-07-04,5308.646484375
2017-07-05,5388.55224609375
2017-07-06,5353.59375
2017-07-07,5373.5703125
2017-07-10,5458.46826171875
2017-07-11,5458.46826171875
2017-07-12,5533.37939453125
2017-07-13,5553.35400390625
2017-07-14,5563.34228515625
2017-07-17,5573.330078125
2017-07-18,5598.30029296875
2017-07-19,5613.28369140625
2017-07-20,5613.28369140625
2017-07-21,5638.2529296875
2017-07-24,5513.40283203125
2017-07-25,5533.37939453125
2017-07-26,5593.306640625
2017-07-27,5593.306640625
2017-07-28,5548.361328125
2017-07-31,5553.35400390625
2017-08-01,5548.361328125
2017-08-02,5503.41552734375
2017-08-03,5468.4560546875
2017-08-04,5563.34228515625
2017-08-07,5628.265625
2017-08-08,5568.33740234375
2017-08-09,5828.02587890625
2017-08-10,5743.126953125
2017-08-11,5688.19287109375
2017-08-14,5623.271484375
2017-08-15,5628.265625
2017-08-16,5653.23486328125
2017-08-17,5658.22998046875
2017-08-18,5603.294921875
2017-08-21,5603.294921875
2017-08-22,5648.24169921875
2017-08-23,5638.2529296875
2017-08-24,5683.19921875
2017-08-25,5663.2236328125
2017-08-29,5583.31884765625
2017-08-30,5598.30029296875
2017-08-31,5613.28369140625
2017-09-01,5613.28369140625
2017-09-04,5573.330078125
2017-09-05,5613.28369140625
2017-09-06,5608.2890625
2017-09-07,5648.24169921875
2017-09-08,5723.1513671875
2017-09-11,5703.17578125
2017-09-12,5723.1513671875
2017-09-13,5738.13330078125
2017-09-14,5733.13916015625
2017-09-15,5533.37939453125
2017-09-18,5573.330078125
2017-09-19,5613.28369140625
2017-09-20,5543.3662109375
2017-09-21,5443.48583984375
2017-09-22,5503.41552734375
2017-09-25,5443.48583984375
2017-09-26,5433.4970703125
2017-09-27,5453.474609375
2017-09-28,5498.4208984375
2017-09-29,5518.396484375
2017-10-02,5558.34912109375
