Date,TORNTPHARM.NS
2015-08-21,724.2344360351562
2015-08-24,650.8599853515625
2015-08-25,681.2818603515625
2015-08-26,692.7314453125
2015-08-27,708.2183227539062
2015-08-28,712.40966796875
2015-08-31,709.034423828125
2015-09-01,721.7415771484375
2015-09-02,717.1969604492188
2015-09-03,728.0067138671875
2015-09-04,701.2470703125
2015-09-07,674.4871826171875
2015-09-08,677.002197265625
2015-09-09,657.0151977539062
2015-09-10,624.6077270507812
2015-09-11,627.0786743164062
2015-09-14,643.491943359375
2015-09-15,662.4861450195312
2015-09-16,649.3377685546875
2015-09-18,625.1593627929688
2015-09-21,634.4247436523438
2015-09-22,618.1881713867188
2015-09-23,611.062255859375
2015-09-24,618.011474609375
2015-09-28,616.2245483398438
2015-09-29,621.0560302734375
2015-09-30,662.817138671875
2015-10-01,658.5814819335938
2015-10-05,696.1288452148438
2015-10-06,692.5770874023438
2015-10-07,682.3849487304688
2015-10-08,665.9276733398438
2015-10-09,673.6709594726562
2015-10-12,674.4652099609375
2015-10-13,665.9496459960938
2015-10-14,681.2158203125
2015-10-15,671.2222290039062
2015-10-16,675.038818359375
2015-10-19,673.7371215820312
2015-10-20,675.8770751953125
2015-10-21,698.0703125
2015-10-23,697.7393188476562
2015-10-26,693.7022094726562
2015-10-27,705.4384765625
2015-10-28,705.3281860351562
2015-10-29,696.5259399414062
2015-10-30,679.9804077148438
2015-11-02,677.9507446289062
2015-11-03,691.4739990234375
2015-11-04,691.1431274414062
2015-11-05,683.421875
2015-11-06,682.8260498046875
2015-11-09,683.9512329101562
2015-11-10,683.201171875
2015-11-13,682.6276245117188
2015-11-16,675.0828857421875
2015-11-17,674.6416015625
2015-11-18,679.6495361328125
2015-11-19,676.9580688476562
2015-11-20,677.002197265625
2015-11-23,677.1343994140625
2015-11-24,666.6557006835938
2015-11-26,668.817626953125
2015-11-27,671.7295532226562
2015-11-30,634.0277709960938
2015-12-01,647.9921875
2015-12-02,654.7427978515625
2015-12-03,648.5656127929688
2015-12-04,657.1917114257812
2015-12-07,651.0585327148438
2015-12-08,643.9771118164062
2015-12-09,636.6088256835938
2015-12-10,638.9692993164062
2015-12-11,632.306884765625
2015-12-14,616.4453125
2015-12-15,612.0991821289062
2015-12-16,620.1514282226562
2015-12-17,636.343994140625
2015-12-18,638.0648193359375
2015-12-21,648.6319580078125
2015-12-22,643.778564453125
2015-12-23,645.91845703125
2015-12-24,642.1680908203125
2015-12-28,645.719970703125
2015-12-29,646.5362548828125
2015-12-30,643.33740234375
2015-12-31,640.4915161132812
2016-01-01,652.5147094726562
2016-01-04,639.0355224609375
