Date,TATACOMM.NS
2015-08-21,223.56912231445312
2015-08-24,197.3706512451172
2015-08-25,206.5668487548828
2015-08-26,203.17173767089844
2015-08-27,217.2066192626953
2015-08-28,210.5768280029297
2015-08-31,209.8550262451172
2015-09-01,204.72225952148438
2015-09-02,202.15589904785156
2015-09-03,207.79656982421875
2015-09-04,203.62620544433594
2015-09-07,198.73406982421875
2015-09-08,203.57273864746094
2015-09-09,212.1005859375
2015-09-10,212.0738983154297
2015-09-11,212.84912109375
2015-09-14,215.33531188964844
2015-09-15,208.5450897216797
2015-09-16,210.22930908203125
2015-09-18,211.7530975341797
2015-09-21,216.56504821777344
2015-09-22,216.83238220214844
2015-09-23,218.69525146484375
2015-09-24,219.40582275390625
2015-09-28,218.9412078857422
2015-09-29,218.91390991210938
2015-09-30,226.0743865966797
2015-10-01,219.76112365722656
2015-10-05,225.93771362304688
2015-10-06,224.3252410888672
2015-10-07,228.47946166992188
2015-10-08,230.77513122558594
2015-10-09,232.05966186523438
2015-10-12,226.89427185058594
2015-10-13,230.66586303710938
2015-10-14,227.30422973632812
2015-10-15,230.80247497558594
2015-10-16,230.17388916015625
2015-10-19,234.4373779296875
2015-10-20,235.3119659423828
2015-10-21,234.54669189453125
2015-10-23,229.2720184326172
2015-10-26,233.48081970214844
2015-10-27,233.6175079345703
2015-10-28,232.7975616455078
2015-10-29,236.32313537597656
2015-10-30,234.4920654296875
2015-11-02,236.56915283203125
2015-11-03,237.08836364746094
2015-11-04,238.04495239257812
2015-11-05,236.84242248535156
2015-11-06,236.70578002929688
2015-11-09,234.79269409179688
2015-11-10,230.337890625
2015-11-13,227.90550231933594
2015-11-16,230.11920166015625
2015-11-17,227.1949005126953
2015-11-18,226.0743865966797
2015-11-19,230.66586303710938
2015-11-20,238.29092407226562
2015-11-23,237.607666015625
2015-11-24,236.04986572265625
2015-11-26,242.0897674560547
2015-11-27,235.4485626220703
2015-11-30,235.91319274902344
2015-12-01,232.68826293945312
2015-12-02,231.26707458496094
2015-12-03,229.59996032714844
2015-12-04,226.12901306152344
2015-12-07,224.89920043945312
2015-12-08,226.62095642089844
2015-12-09,222.05685424804688
2015-12-10,221.31893920898438
2015-12-11,218.91390991210938
2015-12-14,220.60838317871094
2015-12-15,222.22084045410156
2015-12-16,223.6693115234375
2015-12-17,228.94403076171875
2015-12-18,228.2061309814453
2015-12-21,230.337890625
2015-12-22,230.1465606689453
2015-12-23,233.56280517578125
2015-12-24,238.09957885742188
2015-12-28,237.580322265625
2015-12-29,237.27967834472656
2015-12-30,238.09957885742188
2015-12-31,238.2362518310547
2016-01-01,237.3890838623047
2016-01-04,234.60137939453125
2016-01-05,238.86485290527344
2016-01-06,240.9419708251953
2016-01-07,233.26220703125
2016-01-08,238.37290954589844
2016-01-11,236.70578002929688
2016-01-12,236.5144805908203
2016-01-13,237.7443084716797
2016-01-14,236.45980834960938
2016-01-15,226.45701599121094
2016-01-18,218.8045654296875
2016-01-19,221.51023864746094
2016-01-20,213.88516235351562
2016-01-21,217.0281219482422
2016-01-22,220.25306701660156
2016-01-25,221.26431274414062
2016-01-27,218.01199340820312
2016-01-28,219.1872100830078
2016-01-29,218.6405792236328
2016-02-01,224.35260009765625
2016-02-02,221.67422485351562
2016-02-03,207.9272003173828
2016-02-04,201.0400390625
2016-02-05,206.2327423095703
2016-02-08,209.43038940429688
2016-02-09,208.8291015625
2016-02-10,203.28109741210938
2016-02-11,196.8858642578125
2016-02-12,195.71067810058594
2016-02-15,197.2958221435547
2016-02-16,192.81369018554688
2016-02-17,190.65460205078125
2016-02-18,186.66441345214844
2016-02-19,188.7141571044922
2016-02-22,191.28318786621094
2016-02-23,188.9054718017578
2016-02-24,186.60977172851562
2016-02-25,180.76112365722656
2016-02-26,182.29159545898438
2016-02-29,180.8704376220703
2016-03-01,181.82699584960938
2016-03-02,186.2271270751953
2016-03-03,194.9727325439453
2016-03-04,193.36026000976562
2016-03-08,187.6756134033203
2016-03-09,193.1143035888672
2016-03-10,196.5032501220703
2016-03-11,196.31192016601562
2016-03-14,196.8858642578125
2016-03-15,196.83120727539062
2016-03-16,196.66720581054688
2016-03-17,197.59645080566406
2016-03-18,199.53689575195312
2016-03-21,200.3841094970703
2016-03-22,200.22012329101562
2016-03-23,204.56561279296875
2016-03-28,203.90969848632812
2016-03-29,201.39529418945312
2016-03-30,208.74710083007812
2016-03-31,206.396728515625
2016-04-01,209.9496307373047
2016-04-04,211.23414611816406
2016-04-05,210.60557556152344
2016-04-06,212.2726593017578
2016-04-07,208.20050048828125
2016-04-08,210.22291564941406
2016-04-11,212.32736206054688
2016-04-12,214.62307739257812
2016-04-13,221.1002960205078
2016-04-18,220.2257537841797
2016-04-20,226.2930145263672
2016-04-21,223.77867126464844
2016-04-22,223.3413848876953
2016-04-25,227.65951538085938
2016-04-26,229.65464782714844
2016-04-27,229.19000244140625
2016-04-28,225.1724853515625
2016-04-29,225.85572814941406
2016-05-02,229.4633026123047
2016-05-03,232.5242919921875
2016-05-04,232.77023315429688
2016-05-05,231.84104919433594
2016-05-06,231.45838928222656
2016-05-09,234.08209228515625
2016-05-10,238.94686889648438
2016-05-11,235.09335327148438
2016-05-12,237.9083251953125
2016-05-13,239.9307403564453
2016-05-16,237.7716522216797
2016-05-17,236.37782287597656
2016-05-18,246.35330200195312
2016-05-19,242.74571228027344
2016-05-20,243.8389129638672
2016-05-23,245.77932739257812
2016-05-24,244.76817321777344
2016-05-25,250.80807495117188
2016-05-26,250.09750366210938
2016-05-27,251.10873413085938
