Date,CAG
2015-08-03,24.472270965576172
2015-08-04,24.527812957763672
2015-08-05,24.849884033203125
2015-08-06,24.972043991088867
2015-08-07,25.072002410888672
2015-08-10,24.983154296875
2015-08-11,24.972043991088867
2015-08-12,24.81656265258789
2015-08-13,24.677738189697266
2015-08-14,25.12753677368164
2015-08-17,25.060901641845703
2015-08-18,24.89986228942871
2015-08-19,24.727720260620117
2015-08-20,24.4056339263916
2015-08-21,23.87254524230957
2015-08-24,23.039588928222656
2015-08-25,22.400991439819336
2015-08-26,23.2061824798584
2015-08-27,23.26726531982422
2015-08-28,23.172863006591797
2015-08-31,23.145099639892578
2015-09-01,22.69530487060547
2015-09-02,22.823020935058594
2015-09-03,23.16731071472168
2015-09-04,22.895206451416016
2015-09-08,23.17841911315918
2015-09-09,22.839679718017578
2015-09-10,22.850786209106445
2015-09-11,23.139543533325195
2015-09-14,22.956296920776367
2015-09-15,23.245052337646484
2015-09-16,23.589336395263672
2015-09-17,23.739273071289062
2015-09-18,23.444955825805664
2015-09-21,23.544912338256836
2015-09-22,21.879009246826172
2015-09-23,21.934537887573242
2015-09-24,22.80636215209961
2015-09-25,23.061796188354492
2015-09-28,22.445409774780273
2015-09-29,22.24550437927246
2015-09-30,22.495386123657227
2015-10-01,22.71750831604004
2015-10-02,23.2283935546875
2015-10-05,23.522706985473633
2015-10-06,23.272815704345703
2015-10-07,22.734172821044922
2015-10-08,23.1950740814209
2015-10-09,23.189516067504883
2015-10-12,23.34501075744629
2015-10-13,23.05069351196289
2015-10-14,22.61200523376465
2015-10-15,22.95073699951172
2015-10-16,23.150651931762695
2015-10-19,23.095125198364258
2015-10-20,22.80636215209961
2015-10-21,22.93408203125
2015-10-22,23.53936195373535
2015-10-23,22.922975540161133
2015-10-26,22.972951889038086
2015-10-27,22.500940322875977
2015-10-28,22.595928192138672
2015-10-29,22.741207122802734
2015-10-30,22.657390594482422
2015-11-02,22.858539581298828
2015-11-03,22.886484146118164
2015-11-04,22.920007705688477
2015-11-05,23.054107666015625
2015-11-06,22.735620498657227
2015-11-09,23.087636947631836
2015-11-10,22.99264144897461
2015-11-11,22.847370147705078
2015-11-12,21.908668518066406
2015-11-13,21.701927185058594
2015-11-16,22.2215633392334
2015-11-17,21.992475509643555
2015-11-18,22.869718551635742
2015-11-19,22.964710235595703
2015-11-20,22.82502555847168
2015-11-23,23.238502502441406
2015-11-24,23.216142654418945
2015-11-25,23.24967384338379
2015-11-27,23.272024154663086
2015-11-30,22.869718551635742
2015-12-01,22.847370147705078
2015-12-02,22.80266761779785
2015-12-03,22.350080490112305
2015-12-04,22.99264144897461
2015-12-07,22.78032684326172
2015-12-08,22.662982940673828
2015-12-09,22.57358169555664
2015-12-10,22.528879165649414
2015-12-11,21.964540481567383
2015-12-14,21.953365325927734
2015-12-15,22.132173538208008
2015-12-16,22.79707908630371
2015-12-17,22.70209503173828
2015-12-18,22.679746627807617
2015-12-21,22.903244018554688
2015-12-22,23.149097442626953
2015-12-23,23.702260971069336
