Date,AJG
2015-08-03,39.85313034057617
2015-08-04,39.79490280151367
2015-08-05,39.81155014038086
2015-08-06,39.47881317138672
2015-08-07,39.595272064208984
2015-08-10,39.86144256591797
2015-08-11,39.69508743286133
2015-08-12,39.237571716308594
2015-08-13,39.12112808227539
2015-08-14,39.345726013183594
2015-08-17,39.686763763427734
2015-08-18,39.65350341796875
2015-08-19,39.195987701416016
2015-08-20,38.53884506225586
2015-08-21,37.274444580078125
2015-08-24,35.84368896484375
2015-08-25,35.45274353027344
2015-08-26,36.018375396728516
2015-08-27,36.800315856933594
2015-08-28,36.49252700805664
2015-08-31,36.36775588989258
2015-09-01,35.21151351928711
2015-09-02,35.58912658691406
2015-09-03,35.58074951171875
2015-09-04,34.968143463134766
2015-09-08,35.63108444213867
2015-09-09,35.4296875
2015-09-10,35.32899856567383
2015-09-11,35.24507522583008
2015-09-14,35.25345993041992
2015-09-15,35.4632453918457
2015-09-16,35.64786911010742
2015-09-17,35.63949203491211
2015-09-18,35.11919403076172
2015-09-21,35.52201461791992
2015-09-22,35.480037689208984
2015-09-23,35.3373908996582
2015-09-24,35.144371032714844
2015-09-25,35.236671447753906
2015-09-28,34.52339553833008
2015-09-29,34.221275329589844
2015-09-30,34.640869140625
2015-10-01,34.607303619384766
2015-10-02,35.08563232421875
2015-10-05,35.3373908996582
2015-10-06,35.35417175292969
2015-10-07,35.40451431274414
2015-10-08,35.706607818603516
2015-10-09,35.71500778198242
2015-10-12,35.824092864990234
2015-10-13,35.4632453918457
2015-10-14,35.62269973754883
2015-10-15,35.656272888183594
2015-10-16,35.95836639404297
2015-10-19,35.84089279174805
2015-10-20,36.46186447143555
2015-10-21,36.18494415283203
2015-10-22,36.570960998535156
2015-10-23,36.554176330566406
2015-10-26,36.68843460083008
2015-10-27,36.62970733642578
2015-10-28,36.96536636352539
2015-10-29,37.049285888671875
2015-10-30,36.696834564208984
2015-11-02,36.654876708984375
2015-11-03,36.85626983642578
2015-11-04,36.93179702758789
2015-11-05,36.99893569946289
2015-11-06,36.97377014160156
2015-11-09,36.62970733642578
2015-11-10,36.9401969909668
2015-11-11,37.11641311645508
2015-11-12,36.310821533203125
2015-11-13,36.06745529174805
2015-11-16,36.537391662597656
2015-11-17,36.27724838256836
2015-11-18,36.76396942138672
2015-11-19,36.81431579589844
2015-11-20,37.08285140991211
2015-11-23,37.015716552734375
2015-11-24,37.03250503540039
2015-11-25,36.881446838378906
2015-11-27,36.92340850830078
2015-11-30,36.713619232177734
2015-12-01,36.80592727661133
2015-12-02,36.7805290222168
2015-12-03,36.357383728027344
2015-12-04,37.16984558105469
2015-12-07,37.25446701049805
2015-12-08,36.67052459716797
2015-12-09,36.56050109863281
2015-12-10,36.772064208984375
2015-12-11,36.73822784423828
2015-12-14,36.213504791259766
2015-12-15,36.86516571044922
2015-12-16,35.99347686767578
2015-12-17,34.91865921020508
2015-12-18,33.92000961303711
2015-12-21,34.11466598510742
2015-12-22,34.283931732177734
2015-12-23,34.715545654296875
2015-12-24,34.825557708740234
2015-12-28,34.96944046020508
2015-12-29,35.18101501464844
2015-12-30,35.020206451416016
2015-12-31,34.64784240722656
2016-01-04,34.021575927734375
2016-01-05,34.11466598510742
2016-01-06,33.454551696777344
2016-01-07,32.76057052612305
2016-01-08,32.4135856628418
2016-01-11,31.871952056884766
2016-01-12,32.058135986328125
2016-01-13,31.313386917114258
2016-01-14,31.905807495117188
2016-01-15,31.829626083374023
2016-01-19,31.47418212890625
2016-01-20,31.1525936126709
2016-01-21,31.101810455322266
2016-01-22,31.863479614257812
2016-01-25,31.21183204650879
2016-01-26,31.609586715698242
2016-01-27,31.372623443603516
2016-01-28,30.670194625854492
2016-01-29,31.85502815246582
2016-02-01,32.01582336425781
2016-02-02,31.728078842163086
2016-02-03,32.61670684814453
2016-02-04,32.735191345214844
2016-02-05,32.430511474609375
2016-02-08,32.312042236328125
2016-02-09,32.00736618041992
2016-02-10,32.15969467163086
2016-02-11,32.00736618041992
2016-02-12,32.57438278198242
2016-02-16,33.00601577758789
2016-02-17,33.336063385009766
2016-02-18,33.6153450012207
2016-02-19,33.36991500854492
2016-02-22,33.79307556152344
2016-02-23,33.47146987915039
2016-02-24,33.55610275268555
2016-02-25,33.860774993896484
2016-02-26,33.90309143066406
2016-02-29,33.725364685058594
2016-03-01,34.36854934692383
2016-03-02,34.4369010925293
2016-03-03,34.76153564453125
2016-03-04,35.02635955810547
2016-03-07,35.180152893066406
2016-03-08,34.923858642578125
2016-03-09,35.10325622558594
2016-03-10,35.462059020996094
2016-03-11,36.39325714111328
2016-03-14,36.26510238647461
2016-03-15,36.45305633544922
2016-03-16,36.7093391418457
2016-03-17,37.341522216796875
2016-03-18,37.315887451171875
2016-03-21,37.674713134765625
2016-03-22,37.674713134765625
2016-03-23,37.606361389160156
2016-03-24,37.57218551635742
2016-03-28,37.52947998046875
2016-03-29,37.8199348449707
2016-03-30,37.905364990234375
2016-03-31,37.99934005737305
2016-04-01,38.12749099731445
2016-04-04,37.96516418457031
2016-04-05,37.35860824584961
2016-04-06,37.589271545410156
2016-04-07,37.102317810058594
2016-04-08,37.2390022277832
2016-04-11,37.41841125488281
2016-04-12,37.6661491394043
2016-04-13,38.272708892822266
2016-04-14,38.17874526977539
2016-04-15,38.39231872558594
2016-04-18,38.699867248535156
2016-04-19,38.725494384765625
2016-04-20,38.759666442871094
2016-04-21,38.22999954223633
2016-04-22,38.469215393066406
2016-04-25,38.36668395996094
2016-04-26,38.50337219238281
2016-04-27,38.56317138671875
