Date,BATAINDIA.NS
2015-08-21,530.9952392578125
2015-08-24,480.1966552734375
2015-08-25,477.7945861816406
2015-08-26,490.0173034667969
2015-08-27,525.7670288085938
2015-08-28,506.2436828613281
2015-08-31,505.20745849609375
2015-09-01,508.2218017578125
2015-09-02,494.9393615722656
2015-09-03,484.7419738769531
2015-09-04,487.6622009277344
2015-09-07,472.1659851074219
2015-09-08,476.9702453613281
2015-09-09,481.7274475097656
2015-09-10,482.2220153808594
2015-09-11,483.4938049316406
2015-09-14,500.0969543457031
2015-09-15,517.9718627929688
2015-09-16,527.0858764648438
2015-09-18,537.2362060546875
2015-09-21,540.2742919921875
2015-09-22,531.8666381835938
2015-09-23,522.7525634765625
2015-09-24,529.2760620117188
2015-09-28,521.1746826171875
2015-09-29,503.11138916015625
2015-09-30,507.86859130859375
2015-10-01,498.37774658203125
2015-10-05,506.59698486328125
2015-10-06,517.6185913085938
2015-10-07,517.8776245117188
2015-10-08,520.7508544921875
2015-10-09,513.4501342773438
2015-10-12,504.736328125
2015-10-13,494.6096496582031
2015-10-14,504.8777770996094
2015-10-15,496.25823974609375
2015-10-16,498.4720458984375
2015-10-19,494.4212341308594
2015-10-20,496.16400146484375
2015-10-21,495.36322021484375
2015-10-23,495.36322021484375
2015-10-26,489.47564697265625
2015-10-27,493.5733947753906
2015-10-28,495.22198486328125
2015-10-29,474.5916442871094
2015-10-30,473.7909851074219
2015-11-02,474.3561096191406
2015-11-03,464.9359130859375
2015-11-04,456.12799072265625
2015-11-05,437.71142578125
2015-11-06,439.0302734375
2015-11-09,456.12799072265625
2015-11-10,443.2222595214844
2015-11-13,444.6824035644531
2015-11-16,445.2947082519531
2015-11-17,444.9178771972656
2015-11-18,448.8273010253906
2015-11-19,450.5700378417969
2015-11-20,463.7583923339844
2015-11-23,459.7547607421875
2015-11-24,458.0120544433594
2015-11-26,483.9176940917969
2015-11-27,467.6677551269531
2015-11-30,470.5409240722656
2015-12-01,457.3055114746094
2015-12-02,452.5954284667969
2015-12-03,451.8888854980469
2015-12-04,455.60986328125
2015-12-07,457.39971923828125
2015-12-08,466.11346435546875
2015-12-09,452.07733154296875
2015-12-10,445.8599853515625
2015-12-11,442.0918273925781
2015-12-14,445.01202392578125
2015-12-15,457.1641540527344
2015-12-16,451.6062316894531
2015-12-17,469.88153076171875
2015-12-18,461.5917053222656
2015-12-21,457.63519287109375
2015-12-22,465.4540100097656
2015-12-23,469.97576904296875
2015-12-24,466.3018798828125
2015-12-28,476.9937438964844
2015-12-29,479.2076110839844
2015-12-30,475.8633728027344
2015-12-31,491.689453125
