Date,ITC.NS
2015-08-21,162.96450805664062
2015-08-24,157.76637268066406
2015-08-25,157.61859130859375
2015-08-26,156.5099639892578
2015-08-27,160.47630310058594
2015-08-28,161.11680603027344
2015-08-31,160.2052764892578
2015-09-01,155.42599487304688
2015-09-02,157.71710205078125
2015-09-03,157.66783142089844
2015-09-04,156.2389373779297
2015-09-07,154.44056701660156
2015-09-08,154.16958618164062
2015-09-09,154.90866088867188
2015-09-10,154.3912811279297
2015-09-11,154.58836364746094
2015-09-14,154.5391082763672
2015-09-15,156.21434020996094
2015-09-16,158.7271728515625
2015-09-18,156.68240356445312
2015-09-21,154.83474731445312
2015-09-22,153.800048828125
2015-09-23,155.7462921142578
2015-09-24,158.92425537109375
2015-09-28,157.29830932617188
2015-09-29,157.86492919921875
2015-09-30,162.00369262695312
2015-10-01,161.9790802001953
2015-10-05,162.3486328125
2015-10-06,168.92633056640625
2015-10-07,171.09426879882812
2015-10-08,167.0786590576172
2015-10-09,169.22190856933594
2015-10-12,167.89163208007812
2015-10-13,169.517578125
2015-10-14,169.5421905517578
2015-10-15,172.153564453125
2015-10-16,171.88258361816406
2015-10-19,172.94195556640625
2015-10-20,171.7840576171875
2015-10-21,171.73477172851562
2015-10-23,176.56336975097656
2015-10-26,175.65182495117188
2015-10-27,175.40545654296875
2015-10-28,175.0113067626953
2015-10-29,172.44918823242188
2015-10-30,164.8860626220703
2015-11-02,166.14248657226562
2015-11-03,164.98460388183594
2015-11-04,165.40342712402344
2015-11-05,166.1178436279297
2015-11-06,166.38880920410156
2015-11-09,169.0248565673828
2015-11-10,165.9207763671875
2015-11-13,162.49642944335938
2015-11-16,166.6844940185547
2015-11-17,172.0057830810547
2015-11-18,171.38987731933594
2015-11-19,173.4592742919922
2015-11-20,169.7146453857422
2015-11-23,166.16712951660156
2015-11-24,165.50196838378906
2015-11-26,168.90167236328125
2015-11-27,169.66539001464844
2015-11-30,170.55226135253906
2015-12-01,170.60153198242188
2015-12-02,172.153564453125
2015-12-03,169.17263793945312
2015-12-04,165.52658081054688
2015-12-07,154.48980712890625
2015-12-08,155.0811004638672
2015-12-09,156.38681030273438
2015-12-10,158.2837371826172
2015-12-11,158.16055297851562
2015-12-14,157.71710205078125
2015-12-15,159.12130737304688
2015-12-16,157.29830932617188
2015-12-17,157.91421508789062
2015-12-18,156.2389373779297
2015-12-21,160.89511108398438
2015-12-22,157.79103088378906
2015-12-23,158.4069366455078
2015-12-24,159.4908905029297
2015-12-28,160.72262573242188
2015-12-29,160.05752563476562
2015-12-30,160.89511108398438
2015-12-31,161.51101684570312
2016-01-01,161.3631591796875
2016-01-04,160.18067932128906
2016-01-05,160.05752563476562
2016-01-06,155.25355529785156
2016-01-07,152.54364013671875
2016-01-08,154.5391082763672
2016-01-11,155.72164916992188
2016-01-12,155.27818298339844
2016-01-13,155.57382202148438
2016-01-14,156.31289672851562
2016-01-15,154.66229248046875
2016-01-18,155.4013671875
2016-01-19,154.7362060546875
2016-01-20,152.22337341308594
2016-01-21,150.96697998046875
2016-01-22,152.1248321533203
2016-01-25,152.4451141357422
2016-01-27,154.1942138671875
2016-01-28,156.9534149169922
2016-01-29,157.76637268066406
2016-02-01,160.00820922851562
2016-02-02,159.76187133789062
2016-02-03,158.62864685058594
2016-02-04,158.55470275878906
2016-02-05,159.61402893066406
2016-02-08,155.32748413085938
2016-02-09,153.9232177734375
2016-02-10,152.2480010986328
2016-02-11,147.09918212890625
2016-02-12,147.86288452148438
2016-02-15,149.63662719726562
2016-02-16,145.59640502929688
2016-02-17,147.7397003173828
2016-02-18,150.49887084960938
2016-02-19,150.05543518066406
2016-02-22,147.7397003173828
2016-02-23,144.75880432128906
2016-02-24,141.7039794921875
2016-02-25,141.01417541503906
2016-02-26,143.3545684814453
2016-02-29,145.67027282714844
2016-03-01,160.30384826660156
2016-03-02,157.44615173339844
2016-03-03,156.75634765625
2016-03-04,155.30282592773438
2016-03-08,157.79103088378906
2016-03-09,157.61859130859375
2016-03-10,155.7462921142578
2016-03-11,158.3083953857422
2016-03-14,160.15602111816406
2016-03-15,155.94334411621094
2016-03-16,158.67788696289062
2016-03-17,159.46624755859375
2016-03-18,160.00820922851562
2016-03-21,163.3093719482422
2016-03-22,159.2198944091797
2016-03-23,159.76187133789062
2016-03-28,158.87498474121094
2016-03-29,157.66783142089844
2016-03-30,161.28929138183594
2016-03-31,161.73269653320312
2016-04-01,165.57589721679688
2016-04-04,162.9398651123047
2016-04-05,160.84584045410156
2016-04-06,160.57481384277344
2016-04-07,157.39683532714844
2016-04-08,158.2591094970703
2016-04-11,161.24002075195312
2016-04-12,158.850341796875
2016-04-13,163.2108612060547
2016-04-18,165.255615234375
2016-04-20,165.3048553466797
2016-04-21,162.57034301757812
2016-04-22,160.52557373046875
2016-04-25,158.13589477539062
2016-04-26,161.31390380859375
2016-04-27,164.34408569335938
2016-04-28,159.09671020507812
2016-04-29,160.1067657470703
2016-05-02,158.23446655273438
2016-05-03,155.72164916992188
2016-05-04,154.04641723632812
2016-05-05,156.5099639892578
2016-05-06,156.53460693359375
2016-05-09,160.03286743164062
2016-05-10,159.392333984375
2016-05-11,156.68240356445312
2016-05-12,156.7809295654297
2016-05-13,157.34759521484375
2016-05-16,162.2993621826172
2016-05-17,162.84133911132812
2016-05-18,163.92527770996094
2016-05-19,160.05752563476562
2016-05-20,162.7674102783203
2016-05-23,170.8971710205078
2016-05-24,171.48841857910156
2016-05-25,175.4301300048828
2016-05-26,178.58348083496094
2016-05-27,177.0314178466797
2016-05-30,176.63504028320312
2016-05-31,173.9347381591797
2016-06-01,179.0628662109375
2016-06-02,177.37823486328125
2016-06-03,175.34681701660156
2016-06-06,176.18910217285156
2016-06-07,179.73171997070312
2016-06-08,179.75650024414062
2016-06-09,175.4459228515625
2016-06-10,173.76132202148438
2016-06-13,173.3649444580078
2016-06-14,175.049560546875
2016-06-15,178.146240234375
2016-06-16,175.84228515625
2016-06-17,178.29486083984375
2016-06-20,177.40304565429688
2016-06-21,177.62599182128906
2016-06-22,175.74317932128906
2016-06-23,178.49305725097656
2016-06-24,175.4459228515625
2016-06-27,177.84893798828125
2016-06-28,182.58070373535156
2016-06-29,181.4906463623047
2016-06-30,182.53114318847656
2016-07-01,187.54779052734375
2016-07-04,182.01089477539062
2016-07-05,181.007568359375
2016-07-07,183.57164001464844
2016-07-08,182.71693420410156
2016-07-11,185.16949462890625
2016-07-12,184.6121063232422
2016-07-13,183.64593505859375
2016-07-14,184.8350830078125
2016-07-15,184.94654846191406
2016-07-18,184.9836883544922
2016-07-19,185.09519958496094
2016-07-20,185.9870147705078
2016-07-21,186.2471923828125
2016-07-22,185.68975830078125
