Date,PARAUCO.SN
2015-08-24,1040.45849609375
2015-08-25,1041.3468017578125
2015-08-26,1075.3773193359375
2015-08-27,1088.6162109375
2015-08-28,1074.3109130859375
2015-08-31,1075.8216552734375
2015-09-01,1061.78271484375
2015-09-02,1069.779541015625
2015-09-03,1071.6453857421875
2015-09-04,1065.0703125
2015-09-07,1065.0703125
2015-09-08,1072.9783935546875
2015-09-09,1066.2254638671875
2015-09-10,1057.4290771484375
2015-09-11,1066.669677734375
2015-09-14,1054.763427734375
2015-09-15,1056.36279296875
2015-09-16,1056.4517822265625
2015-09-17,1047.7442626953125
2015-09-21,1056.80712890625
2015-09-22,1047.388916015625
2015-09-23,1048.9881591796875
2015-09-24,1048.8104248046875
2015-09-25,1048.454833984375
2015-09-28,1041.7911376953125
2015-09-29,1040.5469970703125
2015-09-30,1061.516357421875
2015-10-01,1043.3016357421875
2015-10-02,1060.272216796875
2015-10-05,1051.1204833984375
2015-10-06,1052.7198486328125
2015-10-07,1056.8961181640625
2015-10-08,1057.3402099609375
2015-10-09,1057.2513427734375
2015-10-13,1058.228515625
2015-10-14,1057.8734130859375
2015-10-15,1065.9588623046875
2015-10-16,1063.648681640625
2015-10-19,1062.049560546875
2015-10-20,1065.7811279296875
2015-10-21,1074.932861328125
2015-10-22,1076.354736328125
2015-10-23,1075.1995849609375
2015-10-26,1074.7552490234375
2015-10-27,1070.490234375
2015-10-28,1032.1063232421875
2015-10-29,1012.9142456054688
2015-10-30,1026.68603515625
2015-11-02,1017.3568725585938
2015-11-03,1030.8621826171875
2015-11-04,1027.307861328125
2015-11-05,1016.0239868164062
2015-11-06,1007.3163452148438
2015-11-09,1004.2955932617188
2015-11-10,1007.8494873046875
2015-11-11,1006.6946411132812
2015-11-12,999.5864868164062
2015-11-13,980.6610107421875
2015-11-16,977.373291015625
2015-11-17,977.5509033203125
2015-11-18,972.9306640625
2015-11-19,964.93408203125
2015-11-20,994.2551879882812
2015-11-23,985.0144653320312
2015-11-24,989.9014282226562
2015-11-25,981.8159790039062
2015-11-26,981.8159790039062
2015-11-27,930.0153198242188
2015-11-30,947.6966552734375
2015-12-01,940.7662353515625
2015-12-02,963.6901245117188
2015-12-03,936.0571899414062
2015-12-04,932.9473876953125
2015-12-07,925.8389892578125
2015-12-09,928.5045776367188
2015-12-10,929.9263305664062
2015-12-11,933.2138061523438
2015-12-14,966.8887939453125
2015-12-15,978.0841674804688
2015-12-16,971.0648193359375
2015-12-17,1002.429443359375
2015-12-18,987.9466552734375
2015-12-21,968.5768432617188
2015-12-22,978.6173095703125
2015-12-23,968.4879760742188
2015-12-24,968.4879760742188
2015-12-28,964.93408203125
2015-12-29,958.8920288085938
2015-12-30,992.389404296875
2015-12-31,992.389404296875
2016-01-04,959.3363037109375
2016-01-05,942.7210083007812
2016-01-06,937.7453002929688
2016-01-07,941.47705078125
2016-01-08,952.0504760742188
2016-01-11,954.6271362304688
2016-01-12,968.2215576171875
2016-01-13,964.756103515625
2016-01-14,950.4509887695312
2016-01-15,952.6724243164062
2016-01-18,964.0455322265625
2016-01-19,968.5768432617188
2016-01-20,959.6029663085938
2016-01-21,979.5946655273438
2016-01-22,959.6029663085938
2016-01-25,972.9306640625
2016-01-26,977.9063720703125
2016-01-27,975.7740478515625
2016-01-28,972.9306640625
2016-01-29,987.1470336914062
2016-02-01,976.5736083984375
2016-02-02,960.402587890625
2016-02-03,965.6449584960938
2016-02-04,973.1972045898438
2016-02-05,959.6029663085938
2016-02-08,977.0178833007812
2016-02-09,974.8853759765625
2016-02-10,987.4136962890625
2016-02-11,1008.4716796875
2016-02-12,992.478271484375
2016-02-15,990.8047485351562
2016-02-16,980.1433715820312
2016-02-17,995.3738403320312
2016-02-18,1002.182861328125
2016-02-19,1002.6310424804688
2016-02-22,1003.4370727539062
2016-02-23,1010.2462768554688
2016-02-24,1006.66259765625
2016-02-25,1005.8563842773438
2016-02-26,1018.1304931640625
2016-02-29,1023.1475830078125
2016-03-01,1030.225341796875
2016-03-02,1051.8173828125
2016-03-03,1071.2587890625
2016-03-04,1118.653564453125
2016-03-07,1128.6878662109375
2016-03-08,1101.09326171875
2016-03-09,1090.8797607421875
2016-03-10,1098.5845947265625
2016-03-11,1090.521240234375
2016-03-14,1075.6488037109375
2016-03-15,1065.9730224609375
2016-03-16,1066.2415771484375
2016-03-17,1088.460693359375
2016-03-18,1104.4080810546875
2016-03-21,1099.2115478515625
2016-03-22,1103.781005859375
2016-03-23,1096.613525390625
